# Multiplication encoding benchmark results
# Date: 2026-04-23T11:16:11+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-250-g3db825a832-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
cbmc	cadical	comba	brent-kung	comm_11	T/O
cbmc	cadical	comba	g-only	comm_11	1.80151
cbmc	cadical	comba	ripple	comm_11	3.86654
cbmc	cadical	comba-cs	brent-kung	comm_11	0.965181
cbmc	cadical	comba-cs	g-only	comm_11	0.963899
cbmc	cadical	comba-cs	ripple	comm_11	0.961212
cbmc	cadical	dadda	brent-kung	comm_11	T/O
cbmc	cadical	dadda	g-only	comm_11	3.58528
cbmc	cadical	dadda	ripple	comm_11	5.08588
cbmc	cadical	shift-add	brent-kung	comm_11	69.0199
cbmc	cadical	shift-add	g-only	comm_11	68.6217
cbmc	cadical	shift-add	ripple	comm_11	68.8509
cbmc	cryptominisat	comba	brent-kung	comm_11	T/O
cbmc	cryptominisat	comba	g-only	comm_11	66.6683
cbmc	cryptominisat	comba	ripple	comm_11	65.3137
cbmc	cryptominisat	comba-cs	brent-kung	comm_11	62.2516
cbmc	cryptominisat	comba-cs	g-only	comm_11	62.0012
cbmc	cryptominisat	comba-cs	ripple	comm_11	62.4897
cbmc	cryptominisat	dadda	brent-kung	comm_11	T/O
cbmc	cryptominisat	dadda	g-only	comm_11	101.808
cbmc	cryptominisat	dadda	ripple	comm_11	81.547
cbmc	cryptominisat	shift-add	brent-kung	comm_11	T/O
cbmc	cryptominisat	shift-add	g-only	comm_11	T/O
cbmc	cryptominisat	shift-add	ripple	comm_11	T/O
cbmc	mergesat	comba	brent-kung	comm_11	T/O
cbmc	mergesat	comba	g-only	comm_11	31.3205
cbmc	mergesat	comba	ripple	comm_11	31.1155
cbmc	mergesat	comba-cs	brent-kung	comm_11	14.0699
cbmc	mergesat	comba-cs	g-only	comm_11	14.0233
cbmc	mergesat	comba-cs	ripple	comm_11	13.7963
cbmc	mergesat	dadda	brent-kung	comm_11	T/O
cbmc	mergesat	dadda	g-only	comm_11	22.6953
cbmc	mergesat	dadda	ripple	comm_11	60.7009
cbmc	mergesat	shift-add	brent-kung	comm_11	T/O
cbmc	mergesat	shift-add	g-only	comm_11	T/O
cbmc	mergesat	shift-add	ripple	comm_11	T/O
cbmc	minisat	comba	brent-kung	comm_11	T/O
