# Item 7 (expression normalisation) ablation on Martin's benchmarks.
# Same stratified random sample as martin-subpoly-results.md.
# Time in seconds; T/O = 10 s
benchmark	default	expr_norm
bitwidth-8-degree-15-seed-23-addition-original-native-encoding	1.81	1.84
bitwidth-16-degree-13-seed-23-addition-original-native-encoding	0.24	0.24
bitwidth-8-degree-7-seed-23-addition-original-native-encoding	0.02	0.02
bitwidth-32-degree-15-seed-23-addition-original-native-encoding	1.33	1.34
bitwidth-32-degree-4-seed-23-addition-original-native-encoding	0.09	0.09
bitwidth-16-degree-8-seed-23-addition-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-31-seed-23-addition-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-21-seed-23-addition-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-20-seed-23-addition-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-2-seed-23-addition-original-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-6-seed-23-addition-reduced-native-encoding	0.96	0.95
bitwidth-16-degree-31-seed-23-addition-reduced-native-encoding	T/O	T/O
bitwidth-16-degree-26-seed-23-addition-reduced-native-encoding	T/O	T/O
bitwidth-16-degree-30-seed-23-addition-reduced-native-encoding	T/O	T/O
bitwidth-32-degree-8-seed-23-addition-reduced-native-encoding	0.37	0.37
bitwidth-8-degree-8-seed-23-addition-reduced-subpolynomial-encoding	0.91	0.92
bitwidth-16-degree-32-seed-23-addition-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-21-seed-23-addition-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-13-seed-23-addition-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-5-seed-23-addition-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-21-seed-23-bounding-original-native-encoding	1.18	1.18
bitwidth-8-degree-5-seed-23-bounding-original-native-encoding	0.00	0.00
bitwidth-32-degree-4-seed-23-bounding-original-native-encoding	0.03	0.03
bitwidth-32-degree-28-seed-23-bounding-original-native-encoding	2.04	2.09
bitwidth-16-degree-14-seed-23-bounding-original-native-encoding	0.11	0.11
bitwidth-32-degree-17-seed-23-bounding-original-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-10-seed-23-bounding-original-subpolynomial-encoding	0.06	0.06
bitwidth-16-degree-23-seed-23-bounding-original-subpolynomial-encoding	6.12	6.08
bitwidth-16-degree-15-seed-23-bounding-original-subpolynomial-encoding	5.97	5.92
bitwidth-32-degree-9-seed-23-bounding-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-8-seed-23-bounding-reduced-native-encoding	0.15	0.15
bitwidth-32-degree-5-seed-23-bounding-reduced-native-encoding	0.05	0.05
bitwidth-32-degree-19-seed-23-bounding-reduced-native-encoding	0.92	0.91
bitwidth-8-degree-4-seed-23-bounding-reduced-native-encoding	0.00	0.00
bitwidth-16-degree-6-seed-23-bounding-reduced-native-encoding	0.02	0.02
bitwidth-32-degree-7-seed-23-bounding-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-17-seed-23-bounding-reduced-subpolynomial-encoding	5.47	5.52
bitwidth-32-degree-13-seed-23-bounding-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-20-seed-23-bounding-reduced-subpolynomial-encoding	5.18	5.18
bitwidth-32-degree-9-seed-23-bounding-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-16-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-13-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	0.26	0.26
bitwidth-32-degree-22-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-3-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	0.03	0.03
bitwidth-16-degree-10-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-6-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	0.14	0.14
bitwidth-16-degree-11-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	T/O	T/O
bitwidth-8-degree-11-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	0.02	0.02
bitwidth-32-degree-7-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	T/O	T/O
bitwidth-16-degree-10-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	0.10	0.10
bitwidth-16-degree-21-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-9-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-27-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-13-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-19-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-32-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-10-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-5-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
