# External solver comparison on QF_BV benchmarks
# Date: 2026-04-27T16:05:34+00:00
# Timeout: 120s, Runs: 3 (median), Jobs: 8
# CBMC smt2_solver: ?
# Bitwuzla: 0.9.0-dev-main@72ecd081
# cvc5: This is cvc5 version 1.3.3 [git 8ff882e on branch HEAD]
#
solver	benchmark	time
bitwuzla	add_chain_16	.005828
cbmc-cadical	add_chain_16	.187066
cbmc-minisat	add_chain_16	.365456
cvc5	add_chain_16	.006914
bitwuzla	add_chain_32	.005645
cbmc-cadical	add_chain_32	.336644
cbmc-minisat	add_chain_32	3.117237
cvc5	add_chain_32	.006890
bitwuzla	add_overflow_16	.004691
cbmc-cadical	add_overflow_16	.006191
cbmc-minisat	add_overflow_16	.006091
cvc5	add_overflow_16	.006640
bitwuzla	add_sub_cancel_16	.004719
cbmc-cadical	add_sub_cancel_16	.008254
cbmc-minisat	add_sub_cancel_16	.007424
cvc5	add_sub_cancel_16	.005787
bitwuzla	assoc_8	.005036
cbmc-cadical	assoc_8	.009936
cbmc-minisat	assoc_8	.009689
cvc5	assoc_8	.005958
bitwuzla	barrett_red_8	.006907
cbmc-cadical	barrett_red_8	.012528
cbmc-minisat	barrett_red_8	.006794
cvc5	barrett_red_8	.009123
bitwuzla	bf16_mul_comm	T/O
cbmc-cadical	bf16_mul_comm	.009089
cbmc-minisat	bf16_mul_comm	.039967
cvc5	bf16_mul_comm	T/O
bitwuzla	bf16_mul_comm_v2	T/O
cbmc-cadical	bf16_mul_comm_v2	11.561788
cbmc-minisat	bf16_mul_comm_v2	T/O
cvc5	bf16_mul_comm_v2	T/O
bitwuzla	bf16_mul_const	T/O
cbmc-cadical	bf16_mul_const	.028886
cbmc-minisat	bf16_mul_const	.021487
cvc5	bf16_mul_const	T/O
bitwuzla	bf16_mul_mono	T/O
cbmc-cadical	bf16_mul_mono	30.258125
cbmc-minisat	bf16_mul_mono	T/O
cvc5	bf16_mul_mono	T/O
bitwuzla	checked_mul_16	.004948
cbmc-cadical	checked_mul_16	.008783
cbmc-minisat	checked_mul_16	.008017
cvc5	checked_mul_16	.014662
bitwuzla	comm_16	.004740
cbmc-cadical	comm_16	.009228
cbmc-minisat	comm_16	.008605
cvc5	comm_16	.005936
bitwuzla	comm_20	.004954
cbmc-cadical	comm_20	.010975
cbmc-minisat	comm_20	.010068
cvc5	comm_20	.006049
bitwuzla	comm_32	.004854
cbmc-cadical	comm_32	.013333
cbmc-minisat	comm_32	.011414
cvc5	comm_32	.005936
bitwuzla	comm_8	.004811
cbmc-cadical	comm_8	.006699
