# External solver comparison on QF_BV benchmarks
# Date: 2026-04-26T21:19:49+00:00
# Timeout: 120s, Runs: 3 (median), Jobs: 8
# CBMC smt2_solver: ?
# Bitwuzla: 0.9.0-dev-main@72ecd081
# cvc5: This is cvc5 version 1.3.3 [git 8ff882e on branch HEAD]
#
solver	benchmark	time
bitwuzla	add_chain_16	.004629
cbmc-cadical	add_chain_16	.185274
cbmc-minisat	add_chain_16	.356867
cvc5	add_chain_16	.005628
bitwuzla	add_chain_32	.004686
cbmc-cadical	add_chain_32	.334904
cbmc-minisat	add_chain_32	3.028070
cvc5	add_chain_32	.005689
bitwuzla	add_overflow_16	.004817
cbmc-cadical	add_overflow_16	.006072
cbmc-minisat	add_overflow_16	.006050
cvc5	add_overflow_16	.006646
bitwuzla	add_sub_cancel_16	.004722
cbmc-cadical	add_sub_cancel_16	.008179
cbmc-minisat	add_sub_cancel_16	.007463
cvc5	add_sub_cancel_16	.005694
bitwuzla	assoc_8	.004945
cbmc-cadical	assoc_8	.009989
cbmc-minisat	assoc_8	.009690
cvc5	assoc_8	.005898
bitwuzla	barrett_red_8	.007005
cbmc-cadical	barrett_red_8	.012317
cbmc-minisat	barrett_red_8	.006677
cvc5	barrett_red_8	.008997
bitwuzla	bf16_mul_comm	T/O
cbmc-cadical	bf16_mul_comm	.008904
cbmc-minisat	bf16_mul_comm	.039726
cvc5	bf16_mul_comm	T/O
bitwuzla	bf16_mul_comm_v2	T/O
cbmc-cadical	bf16_mul_comm_v2	11.585636
cbmc-minisat	bf16_mul_comm_v2	T/O
cvc5	bf16_mul_comm_v2	T/O
bitwuzla	bf16_mul_const	T/O
cbmc-cadical	bf16_mul_const	.029024
cbmc-minisat	bf16_mul_const	.022140
cvc5	bf16_mul_const	T/O
bitwuzla	bf16_mul_mono	T/O
cbmc-cadical	bf16_mul_mono	30.392988
cbmc-minisat	bf16_mul_mono	T/O
cvc5	bf16_mul_mono	T/O
bitwuzla	checked_mul_16	.005024
cbmc-cadical	checked_mul_16	.008999
cbmc-minisat	checked_mul_16	.008403
cvc5	checked_mul_16	.014784
bitwuzla	comm_16	.004788
cbmc-cadical	comm_16	.009453
cbmc-minisat	comm_16	.008719
cvc5	comm_16	.006113
bitwuzla	comm_20	.005401
cbmc-cadical	comm_20	.011210
cbmc-minisat	comm_20	.010228
cvc5	comm_20	.006170
bitwuzla	comm_32	.004736
cbmc-cadical	comm_32	.013458
cbmc-minisat	comm_32	.011620
cvc5	comm_32	.006004
bitwuzla	comm_8	.004903
cbmc-cadical	comm_8	.006725
cbmc-minisat	comm_8	.006699
cvc5	comm_8	.006029
bitwuzla	crypto_square_mod	.017149
cbmc-cadical	crypto_square_mod	.021060
cbmc-minisat	crypto_square_mod	.039490
cvc5	crypto_square_mod	.091912
bitwuzla	distrib_16	.005245
cbmc-cadical	distrib_16	.009582
cbmc-minisat	distrib_16	.008693
cvc5	distrib_16	.006068
bitwuzla	distrib_8	.005038
cbmc-cadical	distrib_8	.007304
cbmc-minisat	distrib_8	.006938
cvc5	distrib_8	.006037
bitwuzla	div_mul_roundtrip_12	5.243839
cbmc-cadical	div_mul_roundtrip_12	4.134572
cbmc-minisat	div_mul_roundtrip_12	10.865908
cvc5	div_mul_roundtrip_12	6.257384
bitwuzla	equiv_unsat_8add_16	.005021
cbmc-cadical	equiv_unsat_8add_16	.008109
cbmc-minisat	equiv_unsat_8add_16	.007756
cvc5	equiv_unsat_8add_16	.006329
bitwuzla	factor_12	.006158
cbmc-cadical	factor_12	.006918
cbmc-minisat	factor_12	.008368
cvc5	factor_12	.008343
bitwuzla	factor_16	.006635
cbmc-cadical	factor_16	.007592
cbmc-minisat	factor_16	.010303
cvc5	factor_16	.010047
bitwuzla	factor_20	.007576
cbmc-cadical	factor_20	.008931
cbmc-minisat	factor_20	.013189
cvc5	factor_20	.012505
bitwuzla	fixedpoint_mul_16	.008174
cbmc-cadical	fixedpoint_mul_16	.009115
cbmc-minisat	fixedpoint_mul_16	.008315
cvc5	fixedpoint_mul_16	.015012
bitwuzla	float_mul_comm	.007877
cbmc-cadical	float_mul_comm	.022291
cbmc-minisat	float_mul_comm	.052045
cvc5	float_mul_comm	.049180
bitwuzla	float_mul_comm_v2	.004880
cbmc-cadical	float_mul_comm_v2	T/O
cbmc-minisat	float_mul_comm_v2	T/O
cvc5	float_mul_comm_v2	.006171
bitwuzla	gf256_mul_assoc	.025380
cbmc-cadical	gf256_mul_assoc	.054737
cbmc-minisat	gf256_mul_assoc	.033415
cvc5	gf256_mul_assoc	.054282
bitwuzla	half_mul_comm	.007256
cbmc-cadical	half_mul_comm	.010074
cbmc-minisat	half_mul_comm	.023810
cvc5	half_mul_comm	T/O
bitwuzla	half_mul_comm_v2	.004698
cbmc-cadical	half_mul_comm_v2	T/O
cbmc-minisat	half_mul_comm_v2	T/O
cvc5	half_mul_comm_v2	T/O
bitwuzla	hw_mul_equiv_12	T/O
cbmc-cadical	hw_mul_equiv_12	T/O
cbmc-minisat	hw_mul_equiv_12	T/O
cvc5	hw_mul_equiv_12	T/O
bitwuzla	mixed_arith_8	.005051
cbmc-cadical	mixed_arith_8	.011324
cbmc-minisat	mixed_arith_8	.011167
cvc5	mixed_arith_8	T/O
bitwuzla	mul_ineq_12	1.383562
cbmc-cadical	mul_ineq_12	T/O
cbmc-minisat	mul_ineq_12	T/O
cvc5	mul_ineq_12	1.862665
bitwuzla	mul_no_overflow_16	.010003
cbmc-cadical	mul_no_overflow_16	.011713
cbmc-minisat	mul_no_overflow_16	.017283
cvc5	mul_no_overflow_16	.030237
bitwuzla	overflow_detect_16	.005021
cbmc-cadical	overflow_detect_16	.008802
cbmc-minisat	overflow_detect_16	.008365
cvc5	overflow_detect_16	.014838
bitwuzla	strength_chain_16	.005326
cbmc-cadical	strength_chain_16	1.511553
cbmc-minisat	strength_chain_16	3.129290
cvc5	strength_chain_16	.007793
bitwuzla	strength_red_16	.005371
cbmc-cadical	strength_red_16	.016935
cbmc-minisat	strength_red_16	.012707
cvc5	strength_red_16	.007426
