# Bitwuzla 0.9.0-dev and cvc5 1.3.3 on Martin's 210-benchmark sample
# 10 s timeout; T/O denotes timeout or unknown
# Used to validate the "wins beyond all current solvers" claim
benchmark	bitwuzla	cvc5
bitwidth-32-degree-14-seed-23-addition-original-native-encoding	0.00	0.01
bitwidth-32-degree-11-seed-23-addition-original-native-encoding	0.00	0.01
bitwidth-16-degree-14-seed-23-addition-original-native-encoding	0.00	0.01
bitwidth-16-degree-32-seed-23-addition-original-native-encoding	0.00	0.01
bitwidth-16-degree-19-seed-23-addition-original-native-encoding	0.00	0.01
bitwidth-16-degree-11-seed-23-addition-original-subpolynomial-encoding	5.29	4.84
bitwidth-16-degree-18-seed-23-addition-original-subpolynomial-encoding	5.55	5.77
bitwidth-8-degree-10-seed-23-addition-original-subpolynomial-encoding	0.02	0.04
bitwidth-32-degree-5-seed-23-addition-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-7-seed-23-addition-original-subpolynomial-encoding	4.43	3.44
bitwidth-32-degree-14-seed-23-addition-reduced-native-encoding	0.17	0.26
bitwidth-16-degree-3-seed-23-addition-reduced-native-encoding	0.00	0.01
bitwidth-16-degree-20-seed-23-addition-reduced-native-encoding	0.71	9.99
bitwidth-16-degree-32-seed-23-addition-reduced-native-encoding	0.27	0.53
bitwidth-8-degree-12-seed-23-addition-reduced-native-encoding	0.00	0.03
bitwidth-32-degree-24-seed-23-addition-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-17-seed-23-addition-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-7-seed-23-addition-reduced-subpolynomial-encoding	4.42	4.24
bitwidth-8-degree-9-seed-23-addition-reduced-subpolynomial-encoding	0.03	0.04
bitwidth-8-degree-8-seed-23-addition-reduced-subpolynomial-encoding	0.02	0.05
bitwidth-16-degree-10-seed-23-bounding-original-native-encoding	0.02	0.06
bitwidth-32-degree-20-seed-23-bounding-original-native-encoding	0.26	0.70
bitwidth-16-degree-21-seed-23-bounding-original-native-encoding	0.04	0.12
bitwidth-16-degree-26-seed-23-bounding-original-native-encoding	0.06	0.19
bitwidth-16-degree-22-seed-23-bounding-original-native-encoding	0.04	0.13
bitwidth-16-degree-24-seed-23-bounding-original-subpolynomial-encoding	0.06	0.27
bitwidth-32-degree-2-seed-23-bounding-original-subpolynomial-encoding	0.05	0.08
bitwidth-8-degree-11-seed-23-bounding-original-subpolynomial-encoding	0.00	0.01
