# Martin's subpolynomial-encoding benchmarks (random poly identities)
# Source: github.com/martin-cs/subpolynomial-encoding
# Stratified random sample (both seeds, all categories)
# Time in seconds; T/O = 10 s
benchmark	shift_add	comba_cs	pair_detect	p2_algebraic	all_combined
bitwidth-32-degree-14-seed-23-addition-original-native-encoding	T/O	T/O	T/O	1.16	0.08
bitwidth-32-degree-11-seed-23-addition-original-native-encoding	T/O	T/O	T/O	0.70	0.06
bitwidth-16-degree-14-seed-23-addition-original-native-encoding	T/O	T/O	T/O	0.28	0.02
bitwidth-16-degree-32-seed-23-addition-original-native-encoding	T/O	T/O	T/O	1.55	0.07
bitwidth-16-degree-19-seed-23-addition-original-native-encoding	T/O	T/O	T/O	0.53	0.03
bitwidth-16-degree-11-seed-23-addition-original-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-16-degree-18-seed-23-addition-original-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-8-degree-10-seed-23-addition-original-subpolynomial-encoding	1.08	1.08	1.09	1.09	1.08
bitwidth-32-degree-5-seed-23-addition-original-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-16-degree-7-seed-23-addition-original-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-32-degree-14-seed-23-addition-reduced-native-encoding	T/O	T/O	T/O	1.17	0.08
bitwidth-16-degree-3-seed-23-addition-reduced-native-encoding	T/O	T/O	T/O	0.01	0.00
bitwidth-16-degree-20-seed-23-addition-reduced-native-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-16-degree-32-seed-23-addition-reduced-native-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-8-degree-12-seed-23-addition-reduced-native-encoding	0.31	0.32	0.14	0.28	0.11
bitwidth-32-degree-24-seed-23-addition-reduced-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-32-degree-17-seed-23-addition-reduced-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-16-degree-7-seed-23-addition-reduced-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
