# Martin's subpolynomial-encoding benchmarks (random poly identities)
# Source: github.com/martin-cs/subpolynomial-encoding
# Stratified sample: 5 per (bw, degree-bucket, category)
# Time in seconds; T/O = 10 s
benchmark	shift_add	comba_cs	pair_detect	p2_algebraic	all_combined
bitwidth-8-degree-5-seed-23-addition-original-native-encoding                             	0.11	0.13	T/O	0.93	T/O
bitwidth-8-degree-2-seed-23-addition-original-native-encoding                             	0.03	0.03	2.89	0.00	0.00
bitwidth-8-degree-4-seed-23-multiplication-original-native-encoding                       	0.12	0.12	0.13	1.03	1.03
bitwidth-8-degree-5-seed-23-multiplication-original-native-encoding                       	0.18	0.22	0.20	0.02	0.00
bitwidth-8-degree-5-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	0.07	0.07	0.07	0.07	0.07
bitwidth-8-degree-2-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	0.02	0.02	0.02	0.02	0.02
bitwidth-8-degree-8-seed-23-addition-original-native-encoding                             	0.22	0.24	T/O	0.22	T/O
bitwidth-8-degree-12-seed-23-addition-original-native-encoding                            	0.56	0.59	T/O	1.43	T/O
bitwidth-8-degree-12-seed-23-multiplication-original-native-encoding                      	1.15	1.15	0.48	2.03	1.34
bitwidth-8-degree-8-seed-23-multiplication-original-native-encoding                       	0.47	0.58	0.28	T/O	T/O
bitwidth-8-degree-10-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	0.20	0.21	0.16	0.21	0.18
bitwidth-8-degree-8-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	0.15	0.15	0.14	0.14	0.13
bitwidth-16-degree-5-seed-23-addition-original-native-encoding                            	T/O	T/O	T/O	0.03	0.01
bitwidth-16-degree-4-seed-23-addition-original-native-encoding                            	T/O	T/O	T/O	0.02	0.00
bitwidth-16-degree-2-seed-23-multiplication-original-native-encoding                      	T/O	T/O	T/O	0.01	0.00
bitwidth-16-degree-3-seed-23-multiplication-original-native-encoding                      	T/O	T/O	T/O	0.03	0.01
bitwidth-16-degree-2-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	5.49	4.01	9.01	4.13	7.98
bitwidth-16-degree-4-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-16-degree-12-seed-23-addition-original-native-encoding                           	T/O	T/O	T/O	0.21	0.02
bitwidth-16-degree-10-seed-23-addition-original-native-encoding                           	T/O	T/O	T/O	0.14	0.02
bitwidth-16-degree-10-seed-23-multiplication-original-native-encoding                     	T/O	T/O	T/O	0.29	0.02
bitwidth-16-degree-8-seed-23-multiplication-original-native-encoding                      	T/O	T/O	T/O	0.19	0.02
bitwidth-16-degree-9-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-16-degree-8-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-16-degree-22-seed-23-addition-original-native-encoding                           	T/O	T/O	T/O	0.73	0.04
bitwidth-16-degree-20-seed-23-addition-original-native-encoding                           	T/O	T/O	T/O	0.58	0.04
bitwidth-16-degree-20-seed-23-multiplication-original-native-encoding                     	T/O	T/O	T/O	1.15	0.06
bitwidth-16-degree-22-seed-23-multiplication-original-native-encoding                     	T/O	T/O	T/O	1.48	0.06
bitwidth-16-degree-22-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-16-degree-20-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	T/O	T/O	T/O	T/O	T/O
bitwidth-16-degree-30-seed-23-addition-original-native-encoding                           	T/O	T/O	T/O	1.29	0.06
bitwidth-16-degree-32-seed-23-addition-original-native-encoding                           	T/O	T/O	T/O	1.55	0.07
bitwidth-16-degree-32-seed-23-multiplication-original-native-encoding                     	T/O	T/O	T/O	3.14	0.11
bitwidth-16-degree-30-seed-23-multiplication-original-native-encoding                     	T/O	T/O	T/O	2.60	0.10
