pattern	w	with_s	with_pairs	without_s	ratio
widen_mul	4	0.03	1	0.05	1.6
widen_mul	6	0.03	1	0.25	8.3
widen_mul	8	0.03	1	21.72	724.0
widen_mul	10	0.03	1	TIMEOUT	-
widen_mul	12	0.03	1	TIMEOUT	-
widen_mul	14	0.03	1	TIMEOUT	-
widen_mul	16	0.03	1	TIMEOUT	-
widen_mul	20	0.03	1	TIMEOUT	-
widen_mul	24	0.03	1	TIMEOUT	-
widen_mul	28	0.03	1	TIMEOUT	-
widen_mul	32	0.03	1	TIMEOUT	-
stored_widen	4	1.17	1	1.18	1.0
stored_widen	6	1.16	1	1.43	1.2
stored_widen	8	1.16	1	13.63	11.7
stored_widen	10	1.22	1	TIMEOUT	-
stored_widen	12	1.23	1	TIMEOUT	-
stored_widen	14	1.22	1	TIMEOUT	-
stored_widen	16	1.22	1	TIMEOUT	-
stored_widen	20	1.33	1	TIMEOUT	-
stored_widen	24	1.33	1	TIMEOUT	-
stored_widen	28	1.34	1	TIMEOUT	-
stored_widen	32	1.33	1	TIMEOUT	-
three_term_widen	4	0.07	3	2.60	37.1
three_term_widen	6	0.06	3	TIMEOUT	-
three_term_widen	8	0.05	3	TIMEOUT	-
three_term_widen	10	0.09	3	TIMEOUT	-
three_term_widen	12	0.09	3	TIMEOUT	-
three_term_widen	14	0.09	3	TIMEOUT	-
three_term_widen	16	0.09	3	TIMEOUT	-
three_term_widen	20	0.19	3	TIMEOUT	-
three_term_widen	24	0.17	3	TIMEOUT	-
three_term_widen	28	0.16	3	TIMEOUT	-
three_term_widen	32	0.16	3	TIMEOUT	-
assoc_widen	4	1.20	1	1.60	1.3
assoc_widen	6	1.20	1	TIMEOUT	-
assoc_widen	8	1.20	1	TIMEOUT	-
assoc_widen	10	1.27	1	TIMEOUT	-
assoc_widen	12	1.27	1	TIMEOUT	-
assoc_widen	14	1.26	1	TIMEOUT	-
assoc_widen	16	1.26	1	TIMEOUT	-
assoc_widen	20	1.38	1	TIMEOUT	-
assoc_widen	24	1.38	1	TIMEOUT	-
assoc_widen	28	1.39	1	TIMEOUT	-
assoc_widen	32	1.38	1	TIMEOUT	-
