# Bitwuzla 0.9.0-dev on the SMT-COMP QF_BV 66-benchmark sample
# 60s timeout, matching the cbmc / cvc5 measurements.
benchmark	time	result
2017-BuchwaldFried_counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005	0.08	unsat
2018-Goel-hwbench_QF_BV_collision.1.prop1_cc_reg_max	0.01	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1184	0.00	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1219	0.00	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	0.00	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_796	0.00	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_986	0.00	unsat
20190429-UltimateAutomizerSvcomp2019_s3_srvr_1_alt_true-unreach-call_true-no-overflow.BV.c.cil.c_AllErrorsAtOnce_Iteration21_TraceCheck_0	0.02	unsat
20200328-Favaro_mul_mba_synthesis	60	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	60	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	60	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_14	60	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_15	0.12	unsat
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_7	1.49	unsat
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i22.948dd618	0.02	sat
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i30.969e0c8a	0.02	sat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_0	0.00	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_1	0.00	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_2	60	T/O
20230321-UltimateAutomizerSvcomp2023_cohencu.c_3	60	T/O
20230321-UltimateAutomizerSvcomp2023_geo3.c_5	60	T/O
Sage2_bench_1351	7.52	sat
Sage2_bench_15251	0.08	unsat
Sage2_bench_1621	1.20	sat
Sage2_bench_17485	0.10	unsat
Sage2_bench_9381	5.27	unsat
VS3_VS3-benchmark-A11	60	T/O
VS3_VS3-benchmark-S1	2.74	sat
bmc-bv_ex13	0.00	sat
bmc-bv_matrixsqrt	0.09	sat
bmc-bv_send-more-money	0.03	sat
brummayerbiere2_smulov2bw256	14.23	unsat
brummayerbiere2_smulov4bw0640	4.47	sat
brummayerbiere2_umulov1bw064	3.91	unsat
brummayerbiere2_umulov1bw080	8.00	unsat
brummayerbiere2_umulov2bw0512	2.68	unsat
brummayerbiere3_isqrtadd	34.21	unsat
brummayerbiere4_unconstrained04	0.30	sat
brummayerbiere4_unconstrained05	0.88	sat
brummayerbiere4_unconstrained06	0.97	sat
brummayerbiere4_unconstrained08	0.47	sat
brummayerbiere4_unconstrained10	0.14	sat
calypto_problem_15	7.39	unsat
calypto_problem_16	60	T/O
calypto_problem_24	0.00	sat
crafted_bit-reversal	0.01	unsat
crafted_bitops3	0.00	unsat
crafted_bitops7	0.00	sat
galois_iffyInterleavedModMult-32	60	T/O
galois_iffyInterleavedModMult-4	0.16	unsat
galois_iffyInterleavedModMult-8	60	T/O
log-slicing_bvsdiv_16	58.50	unsat
log-slicing_bvsrem_17	60	T/O
log-slicing_bvudiv_15	50.36	unsat
log-slicing_bvudiv_17	60	T/O
log-slicing_bvudiv_23	60	T/O
sage_app1_bench_292	0.03	unsat
sage_app7_bench_5744	0.02	unsat
spear_wget_v1.10.2_src_wget_vc18190	0.05	sat
spear_zebra_v0.95a_bgpd_bgpd_vc75772	0.01	sat
tacas07_s-40-50-bv	0.75	sat
wienand-cav2008_Booth_mult_ub_8x8_1.sf	7.99	unsat
wienand-cav2008_Commute_commute08.sf	0.00	unsat
wienand-cav2008_Commute_commute16.sf	0.00	unsat
wienand-cav2008_Commute_commute32.sf	0.00	unsat
wienand-cav2008_Distrib_distrib08.sf	0.00	unsat
