# Multiplication encoding benchmark results
# Date: 2026-04-23T11:16:11+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-250-g3db825a832-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	cadical	comba	brent-kung	add_chain_16	.918633
smt2	cadical	comba	g-only	add_chain_16	.180220
smt2	cadical	comba	ripple	add_chain_16	.180303
smt2	cadical	comba-cs	brent-kung	add_chain_16	.918530
smt2	cadical	comba-cs	g-only	add_chain_16	.180945
smt2	cadical	comba-cs	ripple	add_chain_16	.180027
smt2	cadical	dadda	brent-kung	add_chain_16	.918059
smt2	cadical	dadda	g-only	add_chain_16	.180598
smt2	cadical	dadda	ripple	add_chain_16	.179820
smt2	cadical	shift-add	brent-kung	add_chain_16	.920056
smt2	cadical	shift-add	g-only	add_chain_16	.180107
smt2	cadical	shift-add	ripple	add_chain_16	.180195
smt2	cryptominisat	comba	brent-kung	add_chain_16	4.939095
smt2	cryptominisat	comba	g-only	add_chain_16	.560601
smt2	cryptominisat	comba	ripple	add_chain_16	.563173
smt2	cryptominisat	comba-cs	brent-kung	add_chain_16	4.908824
smt2	cryptominisat	comba-cs	g-only	add_chain_16	.561878
smt2	cryptominisat	comba-cs	ripple	add_chain_16	.561526
smt2	cryptominisat	dadda	brent-kung	add_chain_16	4.916633
smt2	cryptominisat	dadda	g-only	add_chain_16	.564557
smt2	cryptominisat	dadda	ripple	add_chain_16	.561101
smt2	cryptominisat	shift-add	brent-kung	add_chain_16	4.914497
smt2	cryptominisat	shift-add	g-only	add_chain_16	.561366
smt2	cryptominisat	shift-add	ripple	add_chain_16	.560321
smt2	mergesat	comba	brent-kung	add_chain_16	1.807920
smt2	mergesat	comba	g-only	add_chain_16	.391595
