# Multiplication encoding benchmark results
# Date: 2026-04-25T18:26:53+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-274-gd3b768edcb-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	cadical	comba	brent-kung	add_chain_16	.918250
smt2	cadical	comba	g-only	add_chain_16	.180383
smt2	cadical	comba	ripple	add_chain_16	.180582
smt2	cadical	comba-cs	brent-kung	add_chain_16	.919048
smt2	cadical	comba-cs	g-only	add_chain_16	.180086
smt2	cadical	comba-cs	ripple	add_chain_16	.180284
smt2	cadical	dadda	brent-kung	add_chain_16	.918034
smt2	cadical	dadda	g-only	add_chain_16	.179997
smt2	cadical	dadda	ripple	add_chain_16	.180025
smt2	cadical	shift-add	brent-kung	add_chain_16	.917467
smt2	cadical	shift-add	g-only	add_chain_16	.180276
smt2	cadical	shift-add	ripple	add_chain_16	.180858
smt2	cryptominisat	comba	brent-kung	add_chain_16	4.851991
smt2	cryptominisat	comba	g-only	add_chain_16	.556323
smt2	cryptominisat	comba	ripple	add_chain_16	.558959
smt2	cryptominisat	comba-cs	brent-kung	add_chain_16	4.827760
smt2	cryptominisat	comba-cs	g-only	add_chain_16	.557264
smt2	cryptominisat	comba-cs	ripple	add_chain_16	.558390
smt2	cryptominisat	dadda	brent-kung	add_chain_16	4.847098
smt2	cryptominisat	dadda	g-only	add_chain_16	.560001
smt2	cryptominisat	dadda	ripple	add_chain_16	.556879
smt2	cryptominisat	shift-add	brent-kung	add_chain_16	4.856424
smt2	cryptominisat	shift-add	g-only	add_chain_16	.558390
smt2	cryptominisat	shift-add	ripple	add_chain_16	.557637
smt2	mergesat	comba	brent-kung	add_chain_16	1.795183
smt2	mergesat	comba	g-only	add_chain_16	.390348
smt2	mergesat	comba	ripple	add_chain_16	.390759
smt2	mergesat	comba-cs	brent-kung	add_chain_16	1.795967
smt2	mergesat	comba-cs	g-only	add_chain_16	.390851
smt2	mergesat	comba-cs	ripple	add_chain_16	.390699
smt2	mergesat	dadda	brent-kung	add_chain_16	1.795621
smt2	mergesat	dadda	g-only	add_chain_16	.391203
smt2	mergesat	dadda	ripple	add_chain_16	.390468
smt2	mergesat	shift-add	brent-kung	add_chain_16	1.792049
smt2	mergesat	shift-add	g-only	add_chain_16	.391493
smt2	mergesat	shift-add	ripple	add_chain_16	.392026
smt2	minisat	comba	brent-kung	add_chain_16	2.624308
smt2	minisat	comba	g-only	add_chain_16	.355638
smt2	minisat	comba	ripple	add_chain_16	.356254
smt2	minisat	comba-cs	brent-kung	add_chain_16	2.621940
