# Multiplication encoding benchmark results
# Date: 2026-04-27T16:05:34+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-302-g0f31443ad1-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	cadical	comba	brent-kung	add_chain_16	.954761
smt2	cadical	comba	g-only	add_chain_16	.186374
smt2	cadical	comba	ripple	add_chain_16	.185758
smt2	cadical	comba-cs	brent-kung	add_chain_16	.958197
smt2	cadical	comba-cs	g-only	add_chain_16	.185751
smt2	cadical	comba-cs	ripple	add_chain_16	.185697
smt2	cadical	dadda	brent-kung	add_chain_16	.959025
smt2	cadical	dadda	g-only	add_chain_16	.185627
smt2	cadical	dadda	ripple	add_chain_16	.185629
smt2	cadical	shift-add	brent-kung	add_chain_16	.957680
smt2	cadical	shift-add	g-only	add_chain_16	.185838
smt2	cadical	shift-add	ripple	add_chain_16	.185850
smt2	cryptominisat	comba	brent-kung	add_chain_16	4.948518
smt2	cryptominisat	comba	g-only	add_chain_16	.560508
smt2	cryptominisat	comba	ripple	add_chain_16	.559689
smt2	cryptominisat	comba-cs	brent-kung	add_chain_16	4.948283
smt2	cryptominisat	comba-cs	g-only	add_chain_16	.559919
smt2	cryptominisat	comba-cs	ripple	add_chain_16	.559370
smt2	cryptominisat	dadda	brent-kung	add_chain_16	4.947237
smt2	cryptominisat	dadda	g-only	add_chain_16	.561136
smt2	cryptominisat	dadda	ripple	add_chain_16	.559062
smt2	cryptominisat	shift-add	brent-kung	add_chain_16	4.942641
smt2	cryptominisat	shift-add	g-only	add_chain_16	.558693
smt2	cryptominisat	shift-add	ripple	add_chain_16	.566785
smt2	mergesat	comba	brent-kung	add_chain_16	1.806105
smt2	mergesat	comba	g-only	add_chain_16	.392156
smt2	mergesat	comba	ripple	add_chain_16	.391677
smt2	mergesat	comba-cs	brent-kung	add_chain_16	1.807505
smt2	mergesat	comba-cs	g-only	add_chain_16	.391528
smt2	mergesat	comba-cs	ripple	add_chain_16	.392174
smt2	mergesat	dadda	brent-kung	add_chain_16	1.806088
smt2	mergesat	dadda	g-only	add_chain_16	.391434
smt2	mergesat	dadda	ripple	add_chain_16	.392010
smt2	mergesat	shift-add	brent-kung	add_chain_16	1.801830
smt2	mergesat	shift-add	g-only	add_chain_16	.392470
smt2	mergesat	shift-add	ripple	add_chain_16	.391511
smt2	minisat	comba	brent-kung	add_chain_16	2.679916
smt2	minisat	comba	g-only	add_chain_16	.363122
smt2	minisat	comba	ripple	add_chain_16	.363077
smt2	minisat	comba-cs	brent-kung	add_chain_16	2.680059
smt2	minisat	comba-cs	g-only	add_chain_16	.362046
smt2	minisat	comba-cs	ripple	add_chain_16	.362317
smt2	minisat	dadda	brent-kung	add_chain_16	2.683260
smt2	minisat	dadda	g-only	add_chain_16	.363304
smt2	minisat	dadda	ripple	add_chain_16	.362924
smt2	minisat	shift-add	brent-kung	add_chain_16	2.679762
smt2	minisat	shift-add	g-only	add_chain_16	.363231
