# SMT-COMP 2024 sample: real-world third-party submitters (66 benchmarks)
# Time in seconds; T/O = 15 s
# Source: doc/paper-bitblasting/data/smt-comp-sample/*.smt2
benchmark	shift_add	comba_cs	pair_detect	p2_algebraic	all_combined
2017-BuchwaldFried_counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005	T/O	T/O	T/O	T/O	T/O
2018-Goel-hwbench_QF_BV_collision.1.prop1_cc_reg_max             	0.02	0.01	0.03	0.01	0.03
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1184          	0.00	0.00	0.00	0.00	0.00
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1219          	0.00	0.00	0.00	0.00	0.00
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303          	T/O	T/O	0.00	0.00	0.00
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_796           	T/O	T/O	0.00	0.00	0.00
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_986           	0.00	0.00	0.00	0.00	0.00
20190429-UltimateAutomizerSvcomp2019_s3_srvr_1_alt_true-unreach-call_true-no-overflow.BV.c.cil.c_AllErrorsAtOnce_Iteration21_TraceCheck_0	3.87	3.89	0.82	T/O	T/O
20200328-Favaro_mul_mba_synthesis                                	T/O	T/O	T/O	T/O	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1               	T/O	T/O	T/O	T/O	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12              	T/O	T/O	T/O	T/O	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_14              	T/O	T/O	T/O	T/O	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_15              	T/O	T/O	T/O	T/O	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_7               	T/O	T/O	T/O	T/O	T/O
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i22.948dd618 	0.03	0.03	0.03	0.01	0.01
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i30.969e0c8a 	0.03	0.03	0.03	0.01	0.01
20230321-UltimateAutomizerSvcomp2023_cohencu.c_0                 	5.39	4.66	6.02	9.79	2.96
