# SMT2 wide comparison (v2): all five configurations
# Time in seconds; T/O = 15 s
benchmark	shift_add	comba_cs	pair_detect	p2_algebraic	all_combined
add_chain_16                                      	0.17	0.17	0.17	0.00	0.00
add_chain_32                                      	0.32	0.32	0.37	0.00	0.00
add_overflow_16                                   	0.00	0.00	0.00	0.00	0.00
add_sub_cancel_16                                 	0.00	0.00	0.00	0.00	0.00
assoc_8                                           	T/O	T/O	0.00	0.00	0.00
barrett_red_8                                     	0.01	0.01	0.00	0.01	0.00
bf16_mul_comm                                     	0.00	0.00	0.00	0.00	0.00
bf16_mul_comm_v2                                  	T/O	10.89	T/O	10.83	T/O
bf16_mul_const                                    	0.03	0.02	0.04	0.02	0.04
bf16_mul_mono                                     	T/O	T/O	T/O	T/O	T/O
checked_mul_16                                    	0.38	0.38	0.90	0.00	0.00
comm_10                                           	T/O	0.19	0.00	0.00	0.00
comm_11                                           	T/O	0.42	0.00	0.00	0.00
comm_12                                           	T/O	1.04	0.00	0.00	0.00
comm_13                                           	T/O	1.03	0.00	0.00	0.00
comm_14                                           	T/O	3.39	0.00	0.00	0.00
comm_15                                           	T/O	3.29	0.00	0.00	0.00
comm_16                                           	T/O	5.37	0.00	0.00	0.00
comm_18                                           	T/O	9.65	0.00	0.00	0.00
comm_20                                           	T/O	T/O	0.00	0.00	0.00
comm_24                                           	T/O	T/O	0.00	0.00	0.00
comm_32                                           	T/O	T/O	0.00	0.00	0.00
comm_8                                            	0.68	0.08	0.00	0.00	0.00
crypto_square_mod                                 	0.01	0.01	0.56	0.01	0.57
distrib_8                                         	T/O	T/O	0.00	0.00	0.00
div_mul_roundtrip_12                              	3.91	3.94	0.60	3.93	0.59
dsp_coeff_scale_8                                 	0.00	0.00	0.00	0.00	0.00
dsp_horner_16                                     	7.75	7.12	T/O	0.00	0.00
dsp_image_reject                                  	T/O	T/O	T/O	0.01	0.00
dsp_vanishing_mv                                  	0.00	0.00	0.00	0.00	0.00
dsp_vanishing_poly_8                              	0.03	0.03	0.06	0.00	0.00
equiv_unsat_8add_16                               	0.04	0.04	0.04	0.00	0.00
fixedpoint_mul_16                                 	0.02	0.02	1.23	0.02	1.23
gf256_mul_assoc                                   	0.05	0.05	0.56	0.05	0.55
mul_ineq_12                                       	0.52	0.51	0.25	0.50	0.18
overflow_detect_16                                	0.34	0.34	2.74	0.00	0.00
strength_16_15                                    	0.05	0.03	0.03	0.00	0.00
strength_16_31                                    	0.10	0.07	0.07	0.00	0.00
strength_chain_16                                 	1.03	1.42	1.35	1.42	1.34
binomial_deg2_bw16                                	T/O	T/O	T/O	0.01	0.00
binomial_deg2_bw8                                 	0.53	0.46	1.35	0.00	0.00
binomial_deg3_bw16                                	T/O	T/O	T/O	0.01	0.00
binomial_deg3_bw8                                 	3.31	3.18	4.19	0.00	0.00
binomial_deg4_bw16                                	T/O	T/O	T/O	0.01	0.00
binomial_deg4_bw8                                 	0.36	0.37	0.74	0.00	0.00
binomial_deg5_bw16                                	T/O	T/O	T/O	0.02	0.00
binomial_deg5_bw8                                 	3.98	4.24	4.99	0.00	0.00
binomial_deg6_bw16                                	T/O	T/O	T/O	0.02	0.00
binomial_deg6_bw8                                 	1.83	1.97	2.04	0.01	0.00
varscale_k2_bw16                                  	T/O	6.37	0.00	0.00	0.00
varscale_k3_bw16                                  	T/O	T/O	0.04	0.01	0.00
varscale_k4_bw16                                  	T/O	T/O	2.11	0.06	0.01
varscale_k5_bw16                                  	T/O	T/O	T/O	0.34	0.07
varscale_k6_bw16                                  	T/O	T/O	T/O	2.22	0.62
comm_128                                          	T/O	T/O	0.01	0.00	0.00
comm_16                                           	T/O	5.35	0.00	0.00	0.00
comm_256                                          	T/O	T/O	0.04	0.00	0.00
comm_32                                           	T/O	T/O	0.00	0.00	0.00
comm_64                                           	T/O	T/O	0.00	0.00	0.00
comm_8                                            	0.68	0.08	0.00	0.00	0.00
assoc_128                                         	T/O	T/O	0.02	0.00	0.00
assoc_16                                          	T/O	T/O	0.00	0.00	0.00
assoc_256                                         	T/O	T/O	0.07	0.00	0.00
assoc_32                                          	T/O	T/O	0.00	0.00	0.00
assoc_64                                          	T/O	T/O	0.01	0.00	0.00
assoc_8                                           	T/O	T/O	0.00	0.00	0.00
