# SMT2 wide comparison: Paper 2's benchmarks via smt2_solver
# Time in seconds; T/O = 15 s
# (smt2_solver doesn't expose --refine-arithmetic, so pair_detect
#  and all_combined columns are absent here.)
benchmark	shift_add	comba_cs	p2_algebraic
add_chain_16                                      	0.17	0.17	0.00
add_chain_32                                      	0.32	0.32	0.00
add_overflow_16                                   	0.00	0.00	0.00
add_sub_cancel_16                                 	0.00	0.00	0.00
assoc_8                                           	T/O	T/O	0.00
barrett_red_8                                     	0.01	0.01	0.01
bf16_mul_comm                                     	0.00	0.00	0.00
bf16_mul_comm_v2                                  	T/O	10.85	10.87
bf16_mul_const                                    	0.03	0.02	0.02
bf16_mul_mono                                     	T/O	T/O	T/O
checked_mul_16                                    	0.38	0.38	0.00
comm_10                                           	T/O	0.19	0.00
comm_11                                           	T/O	0.42	0.00
comm_12                                           	T/O	1.04	0.00
comm_13                                           	T/O	1.03	0.00
comm_14                                           	T/O	3.38	0.00
comm_15                                           	T/O	3.33	0.00
comm_16                                           	T/O	5.37	0.00
comm_18                                           	T/O	9.62	0.00
comm_20                                           	T/O	T/O	0.00
comm_24                                           	T/O	T/O	0.00
comm_32                                           	T/O	T/O	0.00
comm_8                                            	0.68	0.08	0.00
crypto_square_mod                                 	0.01	0.01	0.01
distrib_8                                         	T/O	T/O	0.00
div_mul_roundtrip_12                              	3.91	3.93	3.95
dsp_coeff_scale_8                                 	0.00	0.00	0.00
dsp_horner_16                                     	7.77	7.08	0.00
dsp_image_reject                                  	T/O	T/O	0.01
dsp_vanishing_mv                                  	0.00	0.00	0.00
dsp_vanishing_poly_8                              	0.03	0.03	0.00
equiv_unsat_8add_16                               	0.04	0.04	0.00
fixedpoint_mul_16                                 	0.02	0.02	0.02
gf256_mul_assoc                                   	0.05	0.05	0.05
mul_ineq_12                                       	0.51	0.51	0.50
overflow_detect_16                                	0.34	0.34	0.00
strength_16_15                                    	0.05	0.03	0.00
strength_16_31                                    	0.10	0.07	0.00
strength_chain_16                                 	1.02	1.42	1.42
binomial_deg2_bw16                                	T/O	T/O	0.01
binomial_deg2_bw8                                 	0.53	0.46	0.00
binomial_deg3_bw16                                	T/O	T/O	0.01
binomial_deg3_bw8                                 	3.31	3.18	0.00
binomial_deg4_bw16                                	T/O	T/O	0.01
binomial_deg4_bw8                                 	0.36	0.37	0.00
binomial_deg5_bw16                                	T/O	T/O	0.02
binomial_deg5_bw8                                 	3.99	4.24	0.00
binomial_deg6_bw16                                	T/O	T/O	0.02
binomial_deg6_bw8                                 	1.83	1.97	0.01
varscale_k2_bw16                                  	T/O	6.35	0.00
varscale_k3_bw16                                  	T/O	T/O	0.01
varscale_k4_bw16                                  	T/O	T/O	0.06
varscale_k5_bw16                                  	T/O	T/O	0.34
varscale_k6_bw16                                  	T/O	T/O	2.23
comm_128                                          	T/O	T/O	0.00
comm_16                                           	T/O	5.36	0.00
comm_256                                          	T/O	T/O	0.00
comm_32                                           	T/O	T/O	0.00
comm_64                                           	T/O	T/O	0.00
comm_8                                            	0.68	0.08	0.00
assoc_128                                         	T/O	T/O	0.00
assoc_16                                          	T/O	T/O	0.00
assoc_256                                         	T/O	T/O	0.00
assoc_32                                          	T/O	T/O	0.00
assoc_64                                          	T/O	T/O	0.00
assoc_8                                           	T/O	T/O	0.00
