benchmark	alg	alg_t	comba_cs	z3	disagree
add_overflow_16	unsat	0.01	unsat	unsat	
add_sub_cancel_16	unsat	0.00	unsat	unsat	
bf16_mul_comm	sat	0.01	sat	sat	
barrett_red_8	unsat	0.01	unsat	unsat	
bf16_mul_const	unsat	0.03	unsat	unsat	
add_chain_16	unsat	0.01	unsat	unsat	
checked_mul_16	unsat	0.01	unsat	unsat	
add_chain_32	unsat	0.01	unsat	unsat	
comm_10	unsat	0.00	unsat	unsat	
comm_11	unsat	0.00	unsat	unsat	
comm_13	unsat	0.00	unsat	unsat	
comm_12	unsat	0.00	unsat	unsat	
comm_14	unsat	0.00	unsat	unsat	
comm_15	unsat	0.00	unsat	unsat	
comm_8	unsat	0.00	unsat	unsat	
crypto_square_mod	sat	0.02	sat	sat	
comm_16	unsat	0.00	unsat	unsat	
dsp_coeff_scale_8	unsat	0.00	unsat	unsat	
comm_18	unsat	0.00	unsat	unsat	
dsp_horner_16	unsat	0.01	unsat	unsat	
dsp_vanishing_mv	unsat	0.01	unsat	unsat	
dsp_vanishing_poly_8	unsat	0.01	unsat	unsat	
equiv_unsat_8add_16	unsat	0.01	unsat	unsat	
fixedpoint_mul_16	sat	0.01	sat	sat	
gf256_mul_assoc	sat	0.05	sat	sat	
bf16_mul_comm_v2	unsat	9.73	unsat	unsat	
overflow_detect_16	unsat	0.01	unsat	unsat	
strength_16_15	unsat	0.01	unsat	unsat	
strength_16_31	unsat	0.01	unsat	unsat	
div_mul_roundtrip_12	unsat	0.01	unsat	unsat	
strength_chain_16	unsat	0.01	unsat	unsat	
mul_ineq_12	unsat	5.01	unsat	unsat	
assoc_8	unsat	0.00	unsat	unsat	
comm_20	unsat	0.00	unsat	unsat	
comm_24	unsat	0.00	TO	unsat	
comm_32	unsat	0.00	TO	unsat	
distrib_8	unsat	0.00	TO	unsat	
dsp_image_reject	unsat	0.01	TO	unsat	
bf16_mul_mono	unsat	28.48	unsat	unsat	
