benchmark	config	time	result
2017-BuchwaldFried_counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005	default	60.007	T/O
2018-Goel-hwbench_QF_BV_collision.1.prop1_cc_reg_max	default	.110	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1184	default	.006	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1219	default	.005	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	default	.005	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_796	default	.005	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_986	default	.005	unsat
20190429-UltimateAutomizerSvcomp2019_s3_srvr_1_alt_true-unreach-call_true-no-overflow.BV.c.cil.c_AllErrorsAtOnce_Iteration21_TraceCheck_0	default	.012	unsat
20200328-Favaro_mul_mba_synthesis	default	60.009	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	default	57.375	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	default	60.275	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_14	default	51.309	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_15	default	55.815	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_7	default	60.305	T/O
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i22.948dd618	default	.038	sat
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i30.969e0c8a	default	.032	sat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_0	default	.014	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_1	default	.013	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_2	default	60.006	T/O
20230321-UltimateAutomizerSvcomp2023_cohencu.c_3	default	60.006	T/O
20230321-UltimateAutomizerSvcomp2023_geo3.c_5	default	60.008	T/O
Sage2_bench_1351	default	60.007	T/O
Sage2_bench_15251	default	12.048	unsat
Sage2_bench_1621	default	60.007	T/O
Sage2_bench_17485	default	2.973	unsat
Sage2_bench_9381	default	34.745	unsat
VS3_VS3-benchmark-A11	default	60.009	T/O
VS3_VS3-benchmark-S1	default	9.663	sat
bmc-bv_ex13	default	.009	sat
bmc-bv_matrixsqrt	default	.208	sat
bmc-bv_send-more-money	default	.069	sat
brummayerbiere2_smulov2bw256	default	60.062	T/O
brummayerbiere2_smulov4bw0640	default	13.861	sat
brummayerbiere2_umulov1bw064	default	4.837	unsat
brummayerbiere2_umulov1bw080	default	9.603	unsat
brummayerbiere2_umulov2bw0512	default	5.938	unsat
brummayerbiere3_isqrtadd	default	60.008	T/O
brummayerbiere4_unconstrained04	default	55.982	T/O
brummayerbiere4_unconstrained05	default	55.978	T/O
brummayerbiere4_unconstrained06	default	56.548	T/O
brummayerbiere4_unconstrained08	default	56.212	T/O
brummayerbiere4_unconstrained10	default	56.542	T/O
calypto_problem_15	default	.006	unsat
calypto_problem_16	default	60.005	T/O
calypto_problem_24	default	.241	sat
crafted_bit-reversal	default	.014	unsat
crafted_bitops3	default	.006	unsat
crafted_bitops7	default	.006	sat
galois_iffyInterleavedModMult-32	default	60.012	T/O
galois_iffyInterleavedModMult-4	default	.496	unsat
galois_iffyInterleavedModMult-8	default	60.006	T/O
log-slicing_bvsdiv_16	default	60.007	T/O
log-slicing_bvsrem_17	default	60.014	T/O
log-slicing_bvudiv_15	default	60.007	T/O
log-slicing_bvudiv_17	default	60.012	T/O
log-slicing_bvudiv_23	default	60.013	T/O
sage_app1_bench_292	default	.030	unsat
sage_app7_bench_5744	default	.045	unsat
spear_wget_v1.10.2_src_wget_vc18190	default	3.326	sat
spear_zebra_v0.95a_bgpd_bgpd_vc75772	default	.520	sat
tacas07_s-40-50-bv	default	4.443	sat
wienand-cav2008_Booth_mult_ub_8x8_1.sf	default	11.116	unsat
wienand-cav2008_Commute_commute08.sf	default	.006	unsat
wienand-cav2008_Commute_commute16.sf	default	.006	unsat
wienand-cav2008_Commute_commute32.sf	default	.006	unsat
wienand-cav2008_Distrib_distrib08.sf	default	.006	unsat
CVC5_SMT_COMP_DONE
