benchmark	degree	bw	time	result	vars	clauses
binomial_deg2_bw8	2	8	.0067	unsat	745	2898
binomial_deg2_bw8	2	8	.0067	unsat	745	2898
binomial_deg2_bw8	2	8	.0065	unsat	745	2898
binomial_deg3_bw8	3	8	.0073	unsat	1177	4673
binomial_deg3_bw8	3	8	.0073	unsat	1177	4673
binomial_deg3_bw8	3	8	.0071	unsat	1177	4673
binomial_deg4_bw8	4	8	.0079	unsat	1610	6396
binomial_deg4_bw8	4	8	.0081	unsat	1610	6396
binomial_deg4_bw8	4	8	.0080	unsat	1610	6396
binomial_deg5_bw8	5	8	.0092	unsat	2143	8563
binomial_deg5_bw8	5	8	.0090	unsat	2143	8563
binomial_deg5_bw8	5	8	.0092	unsat	2143	8563
binomial_deg6_bw8	6	8	.0102	unsat	2696	10827
binomial_deg6_bw8	6	8	.0107	unsat	2696	10827
binomial_deg6_bw8	6	8	.0103	unsat	2696	10827
binomial_deg2_bw16	2	16	.0101	unsat	2973	12014
binomial_deg2_bw16	2	16	.0106	unsat	2973	12014
binomial_deg2_bw16	2	16	.0105	unsat	2973	12014
binomial_deg3_bw16	3	16	.0142	unsat	4641	19013
binomial_deg3_bw16	3	16	.0136	unsat	4641	19013
binomial_deg3_bw16	3	16	.0140	unsat	4641	19013
binomial_deg4_bw16	4	16	.0177	unsat	6554	26888
binomial_deg4_bw16	4	16	.0175	unsat	6554	26888
binomial_deg4_bw16	4	16	.0179	unsat	6554	26888
binomial_deg5_bw16	5	16	.0225	unsat	8663	35655
binomial_deg5_bw16	5	16	.0227	unsat	8663	35655
binomial_deg5_bw16	5	16	.0224	unsat	8663	35655
binomial_deg6_bw16	6	16	.0258	unsat	10840	44743
binomial_deg6_bw16	6	16	.0266	unsat	10840	44743
binomial_deg6_bw16	6	16	.0258	unsat	10840	44743
DEGREE_SCALING_DONE
