benchmark	ordering	run	time	result
comm_16	default	1	.0055	unsat
comm_16	reverse	1	.0058	unsat
comm_16	reorder-vars	1	.0048	unsat
comm_16	reverse+reorder-vars	1	.0056	unsat
comm_16	default	2	.0047	unsat
comm_16	reverse	2	.0054	unsat
comm_16	reorder-vars	2	.0046	unsat
comm_16	reverse+reorder-vars	2	.0054	unsat
comm_16	default	3	.0046	unsat
comm_16	reverse	3	.0053	unsat
comm_16	reorder-vars	3	.0046	unsat
comm_16	reverse+reorder-vars	3	.0053	unsat
comm_16	default	4	.0047	unsat
comm_16	reverse	4	.0054	unsat
comm_16	reorder-vars	4	.0046	unsat
comm_16	reverse+reorder-vars	4	.0053	unsat
comm_16	default	5	.0046	unsat
comm_16	reverse	5	.0053	unsat
comm_16	reorder-vars	5	.0046	unsat
comm_16	reverse+reorder-vars	5	.0054	unsat
comm_32	default	1	.0047	unsat
comm_32	reverse	1	.0054	unsat
comm_32	reorder-vars	1	.0047	unsat
comm_32	reverse+reorder-vars	1	.0055	unsat
comm_32	default	2	.0048	unsat
comm_32	reverse	2	.0055	unsat
comm_32	reorder-vars	2	.0047	unsat
comm_32	reverse+reorder-vars	2	.0056	unsat
comm_32	default	3	.0046	unsat
comm_32	reverse	3	.0053	unsat
comm_32	reorder-vars	3	.0047	unsat
comm_32	reverse+reorder-vars	3	.0054	unsat
comm_32	default	4	.0046	unsat
comm_32	reverse	4	.0054	unsat
comm_32	reorder-vars	4	.0047	unsat
comm_32	reverse+reorder-vars	4	.0054	unsat
comm_32	default	5	.0047	unsat
comm_32	reverse	5	.0054	unsat
comm_32	reorder-vars	5	.0047	unsat
comm_32	reverse+reorder-vars	5	.0054	unsat
assoc_8	default	1	.0046	unsat
assoc_8	reverse	1	.0055	unsat
assoc_8	reorder-vars	1	.0046	unsat
assoc_8	reverse+reorder-vars	1	.0055	unsat
assoc_8	default	2	.0047	unsat
assoc_8	reverse	2	.0054	unsat
assoc_8	reorder-vars	2	.0046	unsat
assoc_8	reverse+reorder-vars	2	.0054	unsat
assoc_8	default	3	.0047	unsat
assoc_8	reverse	3	.0054	unsat
assoc_8	reorder-vars	3	.0045	unsat
assoc_8	reverse+reorder-vars	3	.0054	unsat
assoc_8	default	4	.0047	unsat
assoc_8	reverse	4	.0055	unsat
assoc_8	reorder-vars	4	.0047	unsat
assoc_8	reverse+reorder-vars	4	.0054	unsat
assoc_8	default	5	.0046	unsat
assoc_8	reverse	5	.0054	unsat
assoc_8	reorder-vars	5	.0052	unsat
assoc_8	reverse+reorder-vars	5	.0054	unsat
distrib_8	default	1	.0046	unsat
distrib_8	reverse	1	.0054	unsat
distrib_8	reorder-vars	1	.0048	unsat
distrib_8	reverse+reorder-vars	1	.0055	unsat
distrib_8	default	2	.0047	unsat
distrib_8	reverse	2	.0054	unsat
distrib_8	reorder-vars	2	.0047	unsat
distrib_8	reverse+reorder-vars	2	.0054	unsat
distrib_8	default	3	.0047	unsat
distrib_8	reverse	3	.0054	unsat
distrib_8	reorder-vars	3	.0047	unsat
distrib_8	reverse+reorder-vars	3	.0054	unsat
distrib_8	default	4	.0047	unsat
distrib_8	reverse	4	.0056	unsat
distrib_8	reorder-vars	4	.0048	unsat
distrib_8	reverse+reorder-vars	4	.0054	unsat
distrib_8	default	5	.0047	unsat
distrib_8	reverse	5	.0053	unsat
distrib_8	reorder-vars	5	.0049	unsat
distrib_8	reverse+reorder-vars	5	.0054	unsat
overflow_detect_16	default	1	.0076	unsat
overflow_detect_16	reverse	1	.0081	unsat
overflow_detect_16	reorder-vars	1	.0077	unsat
overflow_detect_16	reverse+reorder-vars	1	.0086	unsat
overflow_detect_16	default	2	.0076	unsat
overflow_detect_16	reverse	2	.0084	unsat
overflow_detect_16	reorder-vars	2	.0077	unsat
overflow_detect_16	reverse+reorder-vars	2	.0084	unsat
overflow_detect_16	default	3	.0077	unsat
overflow_detect_16	reverse	3	.0083	unsat
overflow_detect_16	reorder-vars	3	.0080	unsat
overflow_detect_16	reverse+reorder-vars	3	.0083	unsat
overflow_detect_16	default	4	.0076	unsat
overflow_detect_16	reverse	4	.0082	unsat
overflow_detect_16	reorder-vars	4	.0074	unsat
overflow_detect_16	reverse+reorder-vars	4	.0081	unsat
overflow_detect_16	default	5	.0076	unsat
overflow_detect_16	reverse	5	.0081	unsat
overflow_detect_16	reorder-vars	5	.0079	unsat
overflow_detect_16	reverse+reorder-vars	5	.0085	unsat
ORDERING_SENSITIVITY_DONE
