benchmark	alg	alg_t	comba_cs	z3	disagree
saber-n256-bw16-c0	unsat	12.57	TO	unsat	
saber-n256-bw13-c0	unsat	12.53	TO	unsat	
saber-n2-bw8-school-vs-kara	unsat	0.01	TO	unsat	
saber-n16-bw13-c8	unsat	0.02	TO	unsat	
saber-n16-bw13-c0	unsat	0.02	TO	unsat	
saber-n16-bw16-c0	unsat	0.02	TO	unsat	
saber-n32-bw13-c0	unsat	0.05	TO	unsat	
saber-n32-bw13-c16	unsat	0.05	TO	unsat	
saber-n4-bw13-c1	unsat	0.01	unsat	unsat	
saber-n4-bw13-school-vs-school	unsat	0.01	unsat	unsat	
saber-n128-bw16-c0	unsat	1.77	TO	unsat	
saber-n4-bw4-school-vs-kara-c0only	unsat	0.01	unsat	unsat	
saber-n128-bw13-c0	unsat	1.77	TO	unsat	
saber-n32-bw16-c0	unsat	0.05	TO	unsat	
saber-n4-bw13-c0	unsat	0.01	TO	unsat	
saber-n4-bw13-c2	unsat	0.01	TO	unsat	
saber-n4-bw13-c3	unsat	0.01	TO	unsat	
saber-n4-bw13-school-vs-kara-c0only	unsat	0.01	TO	unsat	
saber-n4-bw13-school-vs-kara	unsat	0.01	TO	unsat	
saber-n8-bw13-c3	unsat	0.01	unsat	unsat	
saber-n64-bw13-c0	unsat	0.28	TO	unsat	
sanity-bit-decomp	unsat	0.01	unsat	unsat	
saber-n64-bw13-c32	unsat	0.28	TO	unsat	
saber-n64-bw16-c0	unsat	0.28	TO	unsat	
saber-n8-bw13-c0	unsat	0.01	TO	unsat	
saber-n8-bw13-c1	unsat	0.01	TO	unsat	
saber-n8-bw13-c2	unsat	0.01	TO	unsat	
saber-n8-bw13-c4	unsat	0.01	TO	unsat	
saber-n8-bw13-c5	unsat	0.01	TO	unsat	
saber-n8-bw13-c6	unsat	0.01	TO	unsat	
saber-n8-bw13-c7	unsat	0.01	TO	unsat	
