benchmark	category	config	solver	time	result
2017-BuchwaldFried_counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005		default	cbmc	60.005	T/O
2017-BuchwaldFried_counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005		shift-add-nosimp	cbmc	60.005	T/O
2018-Goel-hwbench_QF_BV_collision.1.prop1_cc_reg_max		default	cbmc	.020	unsat
2018-Goel-hwbench_QF_BV_collision.1.prop1_cc_reg_max		shift-add-nosimp	cbmc	.021	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1184		default	cbmc	.005	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1184		shift-add-nosimp	cbmc	.010	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1219		default	cbmc	.004	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1219		shift-add-nosimp	cbmc	.010	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303		default	cbmc	.004	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303		shift-add-nosimp	cbmc	60.005	T/O
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_796		default	cbmc	.005	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_796		shift-add-nosimp	cbmc	16.131	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_986		default	cbmc	.005	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_986		shift-add-nosimp	cbmc	.005	unsat
20190429-UltimateAutomizerSvcomp2019_s3_srvr_1_alt_true-unreach-call_true-no-overflow.BV.c.cil.c_AllErrorsAtOnce_Iteration21_TraceCheck_0		default	cbmc	60.004	T/O
20190429-UltimateAutomizerSvcomp2019_s3_srvr_1_alt_true-unreach-call_true-no-overflow.BV.c.cil.c_AllErrorsAtOnce_Iteration21_TraceCheck_0		shift-add-nosimp	cbmc	4.029	unsat
20200328-Favaro_mul_mba_synthesis		default	cbmc	60.006	T/O
20200328-Favaro_mul_mba_synthesis		shift-add-nosimp	cbmc	60.006	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1		default	cbmc	60.208	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1		shift-add-nosimp	cbmc	60.215	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12		default	cbmc	27.931	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12		shift-add-nosimp	cbmc	27.881	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_14		default	cbmc	60.211	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_14		shift-add-nosimp	cbmc	60.220	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_15		default	cbmc	60.233	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_15		shift-add-nosimp	cbmc	60.232	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_7		default	cbmc	21.379	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_7		shift-add-nosimp	cbmc	22.491	T/O
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i22.948dd618		default	cbmc	.016	unsat
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i22.948dd618		shift-add-nosimp	cbmc	.037	sat
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i30.969e0c8a		default	cbmc	.015	unsat
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i30.969e0c8a		shift-add-nosimp	cbmc	.034	sat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_0		default	cbmc	10.088	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_0		shift-add-nosimp	cbmc	5.554	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_1		default	cbmc	10.089	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_1		shift-add-nosimp	cbmc	5.562	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_2		default	cbmc	60.004	T/O
20230321-UltimateAutomizerSvcomp2023_cohencu.c_2		shift-add-nosimp	cbmc	60.004	T/O
20230321-UltimateAutomizerSvcomp2023_cohencu.c_3		default	cbmc	60.004	T/O
20230321-UltimateAutomizerSvcomp2023_cohencu.c_3		shift-add-nosimp	cbmc	60.004	T/O
20230321-UltimateAutomizerSvcomp2023_geo3.c_5		default	cbmc	60.004	T/O
20230321-UltimateAutomizerSvcomp2023_geo3.c_5		shift-add-nosimp	cbmc	60.005	T/O
Sage2_bench_1351		default	cbmc	38.711	sat
Sage2_bench_1351		shift-add-nosimp	cbmc	38.619	sat
Sage2_bench_15251		default	cbmc	19.361	unsat
Sage2_bench_15251		shift-add-nosimp	cbmc	20.152	unsat
Sage2_bench_1621		default	cbmc	13.806	sat
Sage2_bench_1621		shift-add-nosimp	cbmc	13.886	sat
Sage2_bench_17485		default	cbmc	19.514	unsat
Sage2_bench_17485		shift-add-nosimp	cbmc	21.446	unsat
Sage2_bench_9381		default	cbmc	60.023	T/O
Sage2_bench_9381		shift-add-nosimp	cbmc	60.023	T/O
VS3_VS3-benchmark-A11		default	cbmc	60.007	T/O
VS3_VS3-benchmark-A11		shift-add-nosimp	cbmc	60.007	T/O
VS3_VS3-benchmark-S1		default	cbmc	13.340	sat
VS3_VS3-benchmark-S1		shift-add-nosimp	cbmc	16.678	sat
bmc-bv_ex13		default	cbmc	.007	sat
bmc-bv_ex13		shift-add-nosimp	cbmc	.007	sat
bmc-bv_matrixsqrt		default	cbmc	.375	sat
bmc-bv_matrixsqrt		shift-add-nosimp	cbmc	.369	sat
bmc-bv_send-more-money		default	cbmc	.073	sat
bmc-bv_send-more-money		shift-add-nosimp	cbmc	.072	sat
brummayerbiere2_smulov2bw256		default	cbmc	60.041	T/O
brummayerbiere2_smulov2bw256		shift-add-nosimp	cbmc	60.042	T/O
brummayerbiere2_smulov4bw0640		default	cbmc	18.830	sat
brummayerbiere2_smulov4bw0640		shift-add-nosimp	cbmc	30.335	sat
brummayerbiere2_umulov1bw064		default	cbmc	60.007	T/O
brummayerbiere2_umulov1bw064		shift-add-nosimp	cbmc	60.006	T/O
brummayerbiere2_umulov1bw080		default	cbmc	60.007	T/O
brummayerbiere2_umulov1bw080		shift-add-nosimp	cbmc	60.007	T/O
brummayerbiere2_umulov2bw0512		default	cbmc	11.366	unsat
brummayerbiere2_umulov2bw0512		shift-add-nosimp	cbmc	16.800	unsat
brummayerbiere3_isqrtadd		default	cbmc	59.346	unsat
brummayerbiere3_isqrtadd		shift-add-nosimp	cbmc	60.004	T/O
brummayerbiere4_unconstrained04		default	cbmc	16.841	T/O
brummayerbiere4_unconstrained04		shift-add-nosimp	cbmc	16.811	T/O
brummayerbiere4_unconstrained05		default	cbmc	15.806	T/O
brummayerbiere4_unconstrained05		shift-add-nosimp	cbmc	15.708	T/O
brummayerbiere4_unconstrained06		default	cbmc	16.930	T/O
brummayerbiere4_unconstrained06		shift-add-nosimp	cbmc	17.004	T/O
brummayerbiere4_unconstrained08		default	cbmc	16.960	T/O
brummayerbiere4_unconstrained08		shift-add-nosimp	cbmc	17.033	T/O
brummayerbiere4_unconstrained10		default	cbmc	15.828	T/O
brummayerbiere4_unconstrained10		shift-add-nosimp	cbmc	15.857	T/O
calypto_problem_15		default	cbmc	.007	unsat
calypto_problem_15		shift-add-nosimp	cbmc	1.386	unsat
calypto_problem_16		default	cbmc	60.004	T/O
calypto_problem_16		shift-add-nosimp	cbmc	60.004	T/O
calypto_problem_24		default	cbmc	.047	sat
calypto_problem_24		shift-add-nosimp	cbmc	.048	sat
crafted_bit-reversal		default	cbmc	.005	unsat
crafted_bit-reversal		shift-add-nosimp	cbmc	.005	unsat
crafted_bitops3		default	cbmc	.005	unsat
crafted_bitops3		shift-add-nosimp	cbmc	.006	unsat
crafted_bitops7		default	cbmc	.005	sat
crafted_bitops7		shift-add-nosimp	cbmc	.005	sat
galois_iffyInterleavedModMult-32		default	cbmc	60.008	T/O
galois_iffyInterleavedModMult-32		shift-add-nosimp	cbmc	60.008	T/O
galois_iffyInterleavedModMult-4		default	cbmc	.130	unsat
galois_iffyInterleavedModMult-4		shift-add-nosimp	cbmc	.095	unsat
galois_iffyInterleavedModMult-8		default	cbmc	60.004	T/O
galois_iffyInterleavedModMult-8		shift-add-nosimp	cbmc	60.004	T/O
log-slicing_bvsdiv_16		default	cbmc	1.243	T/O
log-slicing_bvsdiv_16		shift-add-nosimp	cbmc	57.284	unsat
log-slicing_bvsrem_17		default	cbmc	1.455	T/O
log-slicing_bvsrem_17		shift-add-nosimp	cbmc	60.006	T/O
log-slicing_bvudiv_15		default	cbmc	1.335	T/O
log-slicing_bvudiv_15		shift-add-nosimp	cbmc	50.348	unsat
log-slicing_bvudiv_17		default	cbmc	1.645	T/O
log-slicing_bvudiv_17		shift-add-nosimp	cbmc	60.006	T/O
log-slicing_bvudiv_23		default	cbmc	1.649	T/O
log-slicing_bvudiv_23		shift-add-nosimp	cbmc	60.009	T/O
sage_app1_bench_292		default	cbmc	3.789	unsat
sage_app1_bench_292		shift-add-nosimp	cbmc	3.503	unsat
sage_app7_bench_5744		default	cbmc	.638	unsat
sage_app7_bench_5744		shift-add-nosimp	cbmc	4.140	unsat
spear_wget_v1.10.2_src_wget_vc18190		default	cbmc	1.830	sat
spear_wget_v1.10.2_src_wget_vc18190		shift-add-nosimp	cbmc	1.839	sat
spear_zebra_v0.95a_bgpd_bgpd_vc75772		default	cbmc	.325	sat
spear_zebra_v0.95a_bgpd_bgpd_vc75772		shift-add-nosimp	cbmc	.324	sat
tacas07_s-40-50-bv		default	cbmc	3.166	sat
tacas07_s-40-50-bv		shift-add-nosimp	cbmc	5.804	sat
wienand-cav2008_Booth_mult_ub_8x8_1.sf		default	cbmc	7.080	unsat
wienand-cav2008_Booth_mult_ub_8x8_1.sf		shift-add-nosimp	cbmc	7.076	unsat
wienand-cav2008_Commute_commute08.sf		default	cbmc	60.003	T/O
wienand-cav2008_Commute_commute08.sf		shift-add-nosimp	cbmc	60.004	T/O
wienand-cav2008_Commute_commute16.sf		default	cbmc	60.004	T/O
wienand-cav2008_Commute_commute16.sf		shift-add-nosimp	cbmc	60.004	T/O
wienand-cav2008_Commute_commute32.sf		default	cbmc	60.005	T/O
wienand-cav2008_Commute_commute32.sf		shift-add-nosimp	cbmc	60.006	T/O
wienand-cav2008_Distrib_distrib08.sf		default	cbmc	60.004	T/O
wienand-cav2008_Distrib_distrib08.sf		shift-add-nosimp	cbmc	60.003	T/O
SMT_COMP_SWEEP_DONE
