benchmark	alg_res	alg_t	cs_res	cs_t	z3_res	disagree
2017-BuchwaldFried_counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005	TO	60.00	TO	60.00	TO	
2018-Goel-hwbench_QF_BV_collision.1.prop1_cc_reg_max	unsat	0.04	unsat	0.04	unsat	
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1184	unsat	0.00	unsat	0.00	unsat	
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1219	unsat	0.00	unsat	0.01	unsat	
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	unsat	0.00	TO	60.00	unsat	
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_796	unsat	0.00	unsat	15.44	unsat	
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_986	unsat	0.00	unsat	0.00	unsat	
20190429-UltimateAutomizerSvcomp2019_s3_srvr_1_alt_true-unreach-call_true-no-overflow.BV.c.cil.c_AllErrorsAtOnce_Iteration21_TraceCheck_0	TO	60.00	unsat	2.02	unsat	
20200328-Favaro_mul_mba_synthesis	TO	60.00	TO	60.00	TO	
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	unsat	6.94	TO	60.24	TO	
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	unsat	0.15	TO	60.20	TO	
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_14	TO	60.23	TO	60.24	TO	
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_15	unsat	0.03	unsat	0.03	TO	
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_7	unsat	3.94	unsat	3.93	TO	
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i22.948dd618	sat	0.03	sat	0.03	sat	
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i30.969e0c8a	sat	0.03	sat	0.03	sat	
20230321-UltimateAutomizerSvcomp2023_cohencu.c_0	unsat	1.67	unsat	4.76	TO	
20230321-UltimateAutomizerSvcomp2023_cohencu.c_1	unsat	0.01	unsat	5.21	TO	
20230321-UltimateAutomizerSvcomp2023_cohencu.c_2	TO	60.00	TO	60.00	TO	
20230321-UltimateAutomizerSvcomp2023_cohencu.c_3	TO	60.00	TO	60.00	TO	
20230321-UltimateAutomizerSvcomp2023_geo3.c_5	unsat	0.02	TO	60.00	TO	
Sage2_bench_1351	sat	36.72	sat	36.39	TO	
Sage2_bench_15251	unsat	1.86	unsat	1.59	unsat	
Sage2_bench_1621	sat	13.15	sat	13.15	TO	
Sage2_bench_17485	unsat	1.75	unsat	1.83	unsat	
Sage2_bench_9381	unsat	6.21	unsat	8.91	TO	
VS3_VS3-benchmark-A11	TO	60.00	TO	60.00	TO	
VS3_VS3-benchmark-S1	sat	17.81	sat	11.29	TO	
bmc-bv_ex13	sat	0.00	sat	0.00	sat	
bmc-bv_matrixsqrt	sat	0.34	sat	0.34	sat	
bmc-bv_send-more-money	sat	0.07	sat	0.07	sat	
brummayerbiere2_smulov2bw256	TO	60.04	TO	60.04	TO	
brummayerbiere2_smulov4bw0640	sat	18.35	sat	29.14	TO	
brummayerbiere2_umulov1bw064	TO	60.00	TO	60.00	unsat	
brummayerbiere2_umulov1bw080	TO	60.00	TO	60.00	TO	
brummayerbiere2_umulov2bw0512	unsat	11.18	unsat	16.52	TO	
brummayerbiere3_isqrtadd	TO	60.00	TO	60.00	TO	
brummayerbiere4_unconstrained04	TO	32.65	TO	32.83	sat	
brummayerbiere4_unconstrained05	TO	30.65	TO	31.13	sat	
brummayerbiere4_unconstrained06	TO	32.72	TO	32.44	sat	
brummayerbiere4_unconstrained08	TO	31.95	TO	32.06	sat	
brummayerbiere4_unconstrained10	TO	30.20	TO	30.30	sat	
calypto_problem_15	unsat	0.00	unsat	1.21	unsat	
calypto_problem_16	TO	60.00	TO	60.00	TO	
calypto_problem_24	sat	0.04	sat	0.04	sat	
crafted_bit-reversal	unsat	0.00	unsat	0.00	unsat	
crafted_bitops3	unsat	0.00	unsat	0.00	unsat	
crafted_bitops7	sat	0.00	sat	0.00	sat	
galois_iffyInterleavedModMult-32	TO	60.01	TO	60.01	TO	
galois_iffyInterleavedModMult-4	unsat	0.11	unsat	0.11	unsat	
galois_iffyInterleavedModMult-8	TO	60.00	TO	60.00	TO	
log-slicing_bvsdiv_16	unsat	59.83	unsat	53.80	TO	
log-slicing_bvsrem_17	TO	60.01	TO	60.01	TO	
log-slicing_bvudiv_15	TO	60.15	unsat	55.60	TO	
log-slicing_bvudiv_17	TO	60.18	TO	60.00	TO	
log-slicing_bvudiv_23	TO	60.18	TO	60.01	TO	
sage_app1_bench_292	unsat	3.65	unsat	3.53	unsat	
sage_app7_bench_5744	unsat	0.63	unsat	4.22	unsat	
spear_wget_v1.10.2_src_wget_vc18190	sat	1.72	sat	1.80	sat	
spear_zebra_v0.95a_bgpd_bgpd_vc75772	sat	0.27	sat	0.28	sat	
tacas07_s-40-50-bv	sat	2.84	sat	5.21	sat	
wienand-cav2008_Booth_mult_ub_8x8_1.sf	unsat	7.12	unsat	7.07	unsat	
wienand-cav2008_Commute_commute08.sf	unsat	0.00	TO	60.00	unsat	
wienand-cav2008_Commute_commute16.sf	unsat	0.00	TO	60.00	unsat	
wienand-cav2008_Commute_commute32.sf	unsat	0.00	TO	60.00	unsat	
wienand-cav2008_Distrib_distrib08.sf	unsat	0.00	TO	60.00	unsat	
