suite	benchmark	config	result	time
custom	overflow_detect_16	no_vanishing	unsat	0.01
custom	overflow_detect_16	full	unsat	0.01
custom	overflow_detect_16	no_tree_walk	unsat	0.01
custom	overflow_detect_16	no_nonzero_fast	unsat	0.01
custom	overflow_detect_16	no_tseitin	unsat	0.01
custom	overflow_detect_16	no_interreduce	unsat	0.01
custom	overflow_detect_16	no_if_case_elim	unsat	0.01
custom	overflow_detect_16	reverse_order	unsat	0.01
custom	dsp_vanishing_poly_8	full	unsat	0.01
custom	overflow_detect_16	no_defer_bitblast	unsat	0.01
custom	dsp_vanishing_poly_8	no_tree_walk	unsat	0.01
custom	dsp_vanishing_poly_8	no_tseitin	unsat	0.01
custom	dsp_vanishing_poly_8	no_interreduce	unsat	0.01
custom	dsp_vanishing_poly_8	no_nonzero_fast	unsat	0.01
custom	dsp_vanishing_poly_8	no_if_case_elim	unsat	0.01
custom	dsp_vanishing_poly_8	reverse_order	unsat	0.01
custom	dsp_vanishing_poly_8	no_defer_bitblast	unsat	0.01
custom	dsp_horner_16	full	unsat	0.01
custom	dsp_horner_16	no_vanishing	unsat	0.01
custom	dsp_horner_16	no_tree_walk	unsat	0.01
custom	dsp_horner_16	no_tseitin	unsat	0.01
custom	dsp_horner_16	no_interreduce	unsat	0.01
custom	dsp_horner_16	no_nonzero_fast	unsat	0.01
custom	dsp_vanishing_poly_8	no_algebraic	unsat	0.06
custom	dsp_horner_16	no_if_case_elim	unsat	0.01
custom	dsp_horner_16	reverse_order	unsat	0.01
custom	dsp_horner_16	no_defer_bitblast	unsat	0.02
custom	dsp_image_reject	full	unsat	0.01
custom	dsp_image_reject	no_tree_walk	unsat	0.01
custom	dsp_image_reject	no_tseitin	unsat	0.01
custom	dsp_image_reject	no_interreduce	unsat	0.01
custom	dsp_image_reject	no_nonzero_fast	unsat	0.01
custom	dsp_image_reject	no_if_case_elim	unsat	0.01
custom	dsp_image_reject	reverse_order	unsat	0.01
custom	dsp_image_reject	no_defer_bitblast	unsat	0.03
custom	strength_chain_16	full	unsat	0.01
custom	strength_chain_16	no_vanishing	unsat	0.01
custom	strength_chain_16	no_tree_walk	unsat	0.01
custom	strength_chain_16	no_tseitin	unsat	0.01
custom	strength_chain_16	no_interreduce	unsat	0.01
custom	strength_chain_16	no_nonzero_fast	unsat	0.01
custom	strength_chain_16	no_if_case_elim	unsat	0.01
custom	strength_chain_16	no_defer_bitblast	unsat	0.01
custom	strength_chain_16	reverse_order	unsat	0.01
custom	overflow_detect_16	no_algebraic	unsat	0.98
custom	strength_chain_16	no_algebraic	unsat	1.40
custom	dsp_vanishing_poly_8	no_vanishing	unsat	3.62
custom	mul_ineq_12	full	unsat	5.09
custom	mul_ineq_12	no_vanishing	unsat	5.14
custom	mul_ineq_12	no_tree_walk	unsat	5.10
custom	dsp_horner_16	no_algebraic	unsat	9.38
custom	mul_ineq_12	no_tseitin	unsat	5.10
custom	mul_ineq_12	no_interreduce	unsat	5.29
custom	mul_ineq_12	no_nonzero_fast	unsat	5.09
custom	mul_ineq_12	no_if_case_elim	unsat	5.08
custom	assoc_8	full	unsat	0.01
custom	assoc_8	no_vanishing	unsat	0.01
custom	assoc_8	no_tree_walk	unsat	0.01
custom	assoc_8	no_tseitin	unsat	0.01
custom	assoc_8	no_interreduce	unsat	0.01
custom	assoc_8	no_nonzero_fast	unsat	0.01
custom	assoc_8	no_if_case_elim	unsat	0.01
custom	assoc_8	no_defer_bitblast	unsat	0.01
custom	assoc_8	reverse_order	unsat	0.01
custom	assoc_8	no_algebraic	unsat	0.01
custom	distrib_8	full	unsat	0.01
custom	distrib_8	no_vanishing	unsat	0.01
custom	distrib_8	no_tree_walk	unsat	0.01
custom	distrib_8	no_tseitin	unsat	0.01
custom	distrib_8	no_interreduce	unsat	0.01
custom	distrib_8	no_nonzero_fast	unsat	0.01
custom	distrib_8	no_if_case_elim	unsat	0.01
custom	distrib_8	no_defer_bitblast	unsat	0.01
custom	distrib_8	reverse_order	unsat	0.01
custom	distrib_8	no_algebraic	unsat	0.01
custom	comm_16	full	unsat	0.01
custom	comm_16	no_vanishing	unsat	0.01
custom	comm_16	no_tree_walk	unsat	0.01
custom	comm_16	no_tseitin	unsat	0.01
custom	comm_16	no_interreduce	unsat	0.01
custom	comm_16	no_nonzero_fast	unsat	0.01
custom	comm_16	no_if_case_elim	unsat	0.01
custom	comm_16	no_defer_bitblast	unsat	0.01
custom	comm_16	reverse_order	unsat	0.01
custom	comm_16	no_algebraic	unsat	0.01
custom	crypto_square_mod	full	sat	0.02
