bw	encoding	time	result	conflicts
8	shift-add	.720	unsat	36253
8	dadda	.165	unsat	9824
8	comba	.093	unsat	4549
8	comba-cs	.090	unsat	4614
8	booth	.627	unsat	33361
8	block4	.083	unsat	4954
10	shift-add	18.822	unsat	681586
10	dadda	1.143	unsat	50363
10	comba	.883	unsat	40229
10	comba-cs	.200	unsat	9320
10	booth	14.686	unsat	485810
10	block4	.412	unsat	22666
11	shift-add	103.056	unsat	2571007
11	dadda	3.120	unsat	95684
11	comba	1.342	unsat	56851
11	comba-cs	.436	unsat	19931
11	booth	78.526	unsat	1761181
11	block4	.251	unsat	13879
12	shift-add	120.004	T/O	-
12	dadda	6.988	unsat	210065
12	comba	2.781	unsat	92242
12	comba-cs	1.084	unsat	41447
12	booth	120.004	T/O	-
12	block4	.717	unsat	33388
14	shift-add	120.004	T/O	-
14	dadda	120.004	T/O	-
14	comba	38.417	unsat	936440
14	comba-cs	3.528	unsat	110627
14	booth	120.004	T/O	-
14	block4	3.756	unsat	124697
16	shift-add	120.004	T/O	-
16	dadda	120.004	T/O	-
16	comba	25.379	unsat	568982
16	comba-cs	5.586	unsat	154713
16	booth	120.004	T/O	-
16	block4	11.806	unsat	338908
BW_COMMUTATIVITY_DONE
