solver	encoding	benchmark	time	result
cadical	shift-add	comm_11	72.851	UNSATISFIABLE
minisat	shift-add	comm_11	120.003	T/O
cryptominisat	shift-add	comm_11	120.004	T/O
cadical	dadda	comm_11	4.773	UNSATISFIABLE
minisat	dadda	comm_11	68.263	UNSATISFIABLE
cryptominisat	dadda	comm_11	72.537	UNSATISFIABLE
cadical	comba	comm_11	4.734	UNSATISFIABLE
minisat	comba	comm_11	39.392	UNSATISFIABLE
cryptominisat	comba	comm_11	39.134	UNSATISFIABLE
cadical	comba-cs	comm_11	2.809	UNSATISFIABLE
minisat	comba-cs	comm_11	4.037	UNSATISFIABLE
cryptominisat	comba-cs	comm_11	14.554	UNSATISFIABLE
cadical	shift-add	comm_13	120.005	T/O
minisat	shift-add	comm_13	120.004	T/O
cryptominisat	shift-add	comm_13	120.004	T/O
cadical	dadda	comm_13	120.005	T/O
minisat	dadda	comm_13	120.004	T/O
cryptominisat	dadda	comm_13	120.006	T/O
cadical	comba	comm_13	32.195	UNSATISFIABLE
minisat	comba	comm_13	117.189	UNSATISFIABLE
cryptominisat	comba	comm_13	120.006	T/O
cadical	comba-cs	comm_13	3.914	UNSATISFIABLE
minisat	comba-cs	comm_13	14.066	UNSATISFIABLE
cryptominisat	comba-cs	comm_13	89.708	UNSATISFIABLE
FOUR_SOLVER_DONE
