config	benchmark	result	time
config1_shift_only	comm_8	unsat	.717
config1_shift_only	comm_16	T/O	120.004
config1_shift_only	comm_32	T/O	120.004
config1_shift_only	assoc_8	unsat	29.116
config1_shift_only	distrib_8	unsat	78.363
config1_shift_only	overflow_detect_16	unsat	.349
config1_shift_only	strength_chain_16	unsat	1.070
config1_shift_only	mul_ineq_12	unsat	.527
config1_shift_only	dsp_image_reject	T/O	120.004
config1_shift_only	dsp_horner_16	unsat	7.765
config1_shift_only	dsp_vanishing_poly_8	unsat	.040
config1_shift_only	bf16_mul_comm_v2	unsat	23.013
config2_simplify	comm_8	unsat	.005
config2_simplify	comm_16	unsat	.005
config2_simplify	comm_32	unsat	.005
config2_simplify	assoc_8	unsat	.005
config2_simplify	distrib_8	unsat	.005
config2_simplify	overflow_detect_16	unsat	.346
config2_simplify	strength_chain_16	unsat	1.065
config2_simplify	mul_ineq_12	unsat	.508
config2_simplify	dsp_image_reject	T/O	120.004
config2_simplify	dsp_horner_16	unsat	7.739
config2_simplify	dsp_vanishing_poly_8	unsat	.039
config2_simplify	bf16_mul_comm_v2	unsat	22.932
config3_vanishing	comm_8	unsat	.005
config3_vanishing	comm_16	unsat	.005
config3_vanishing	comm_32	unsat	.005
config3_vanishing	assoc_8	unsat	.005
config3_vanishing	distrib_8	unsat	.005
config3_vanishing	overflow_detect_16	unsat	.346
config3_vanishing	strength_chain_16	unsat	1.067
config3_vanishing	mul_ineq_12	unsat	.507
config3_vanishing	dsp_image_reject	T/O	120.004
config3_vanishing	dsp_horner_16	unsat	7.888
config3_vanishing	dsp_vanishing_poly_8	unsat	.039
config3_vanishing	bf16_mul_comm_v2	unsat	23.329
config4_algebraic	comm_8	unsat	.005
config4_algebraic	comm_16	unsat	.005
config4_algebraic	comm_32	unsat	.005
config4_algebraic	assoc_8	unsat	.005
config4_algebraic	distrib_8	unsat	.005
config4_algebraic	overflow_detect_16	unsat	.008
config4_algebraic	strength_chain_16	unsat	1.077
config4_algebraic	mul_ineq_12	unsat	.520
config4_algebraic	dsp_image_reject	unsat	.015
config4_algebraic	dsp_horner_16	unsat	.010
config4_algebraic	dsp_vanishing_poly_8	unsat	.008
config4_algebraic	bf16_mul_comm_v2	unsat	23.141
config5_combacs	comm_8	unsat	.005
config5_combacs	comm_16	unsat	.005
config5_combacs	comm_32	unsat	.005
config5_combacs	assoc_8	unsat	.005
config5_combacs	distrib_8	unsat	.005
config5_combacs	overflow_detect_16	unsat	.008
config5_combacs	strength_chain_16	unsat	1.495
config5_combacs	mul_ineq_12	unsat	.514
config5_combacs	dsp_image_reject	unsat	.015
config5_combacs	dsp_horner_16	unsat	.010
config5_combacs	dsp_vanishing_poly_8	unsat	.008
config5_combacs	bf16_mul_comm_v2	unsat	11.243
LAYER_ABLATION_DONE
