variant	bw	time	result	vars	clauses	conflicts	proof_bytes
E0_int_seq	6	.162	unsat	348	1277	7159	347613
E0_int_seq	8	6.404	unsat	624	2330	184362	11335218
E0_int_seq	10	120.004	T/O	980	3714	-	174682112
E0_int_seq	12	120.004	T/O	1416	5418	-	209227776
E0_int_seq	14	120.004	T/O	1932	7442	-	227557376
E0_int_seq	16	120.004	T/O	2528	9786	-	240742400
E1_gf2_seq	6	.014	unsat	172	535	729	25043
E1_gf2_seq	8	.038	unsat	292	920	2875	132415
E1_gf2_seq	10	.073	unsat	444	1428	5680	278326
E1_gf2_seq	12	.139	unsat	628	2048	13429	678843
E1_gf2_seq	14	.367	unsat	844	2780	41889	2103290
E1_gf2_seq	16	.258	unsat	1092	3624	25516	1216404
E2_int_par	6	.175	unsat	360	1313	7465	448502
E2_int_par	8	5.948	unsat	648	2402	157261	10785417
E2_int_par	10	120.004	T/O	1020	3848	-	168960000
E2_int_par	12	120.004	T/O	1468	5588	-	211775488
E2_int_par	14	120.004	T/O	2000	7668	-	243982336
E2_int_par	16	120.004	T/O	2616	10076	-	241840128
E3_gf2_par	6	.010	unsat	172	535	158	16630
E3_gf2_par	8	.015	unsat	292	920	552	35724
E3_gf2_par	10	.037	unsat	444	1428	2374	153304
E3_gf2_par	12	.045	unsat	628	2048	3336	195372
E3_gf2_par	14	.066	unsat	844	2780	4366	301831
E3_gf2_par	16	.116	unsat	1092	3624	7193	603365
E4_int_ternary	6	.161	unsat	348	1277	7159	347613
E4_int_ternary	8	6.357	unsat	624	2330	184362	11335218
E4_int_ternary	10	120.004	T/O	980	3714	-	173375488
E4_int_ternary	12	120.004	T/O	1416	5418	-	209203200
E4_int_ternary	14	120.004	T/O	1932	7442	-	230961152
E4_int_ternary	16	120.004	T/O	2528	9786	-	239120384
N2_DONE
