encoding	benchmark	run	time	result	conflicts
shift-add	const_mul_8_3	1	.005317	unsat	0
shift-add	const_mul_8_3	2	.004871	unsat	0
shift-add	const_mul_8_3	3	.004721	unsat	0
shift-add	const_mul_8_3	4	.004749	unsat	0
shift-add	const_mul_8_3	5	.004730	unsat	0
comba-cs	const_mul_8_3	1	.004673	unsat	0
comba-cs	const_mul_8_3	2	.004621	unsat	0
comba-cs	const_mul_8_3	3	.004755	unsat	0
comba-cs	const_mul_8_3	4	.004672	unsat	0
comba-cs	const_mul_8_3	5	.004730	unsat	0
dadda	const_mul_8_3	1	.004698	unsat	0
dadda	const_mul_8_3	2	.004707	unsat	0
dadda	const_mul_8_3	3	.004728	unsat	0
dadda	const_mul_8_3	4	.004684	unsat	0
dadda	const_mul_8_3	5	.004613	unsat	0
booth	const_mul_8_3	1	.004682	unsat	0
booth	const_mul_8_3	2	.004782	unsat	0
booth	const_mul_8_3	3	.005020	unsat	0
booth	const_mul_8_3	4	.004950	unsat	0
booth	const_mul_8_3	5	.004880	unsat	0
block4	const_mul_8_3	1	.004772	unsat	0
block4	const_mul_8_3	2	.004714	unsat	0
block4	const_mul_8_3	3	.004659	unsat	0
block4	const_mul_8_3	4	.004714	unsat	0
block4	const_mul_8_3	5	.004651	unsat	0
sortnet	const_mul_8_3	1	.004820	unsat	0
sortnet	const_mul_8_3	2	.004746	unsat	0
sortnet	const_mul_8_3	3	.004698	unsat	0
sortnet	const_mul_8_3	4	.004678	unsat	0
sortnet	const_mul_8_3	5	.004668	unsat	0
shift-add	const_mul_8_15	1	.004658	unsat	0
shift-add	const_mul_8_15	2	.004685	unsat	0
shift-add	const_mul_8_15	3	.004760	unsat	0
shift-add	const_mul_8_15	4	.004735	unsat	0
shift-add	const_mul_8_15	5	.004614	unsat	0
comba-cs	const_mul_8_15	1	.004724	unsat	0
comba-cs	const_mul_8_15	2	.004622	unsat	0
comba-cs	const_mul_8_15	3	.004655	unsat	0
comba-cs	const_mul_8_15	4	.004674	unsat	0
comba-cs	const_mul_8_15	5	.004625	unsat	0
dadda	const_mul_8_15	1	.004594	unsat	0
dadda	const_mul_8_15	2	.004646	unsat	0
dadda	const_mul_8_15	3	.004637	unsat	0
dadda	const_mul_8_15	4	.004731	unsat	0
dadda	const_mul_8_15	5	.004691	unsat	0
booth	const_mul_8_15	1	.004667	unsat	0
booth	const_mul_8_15	2	.004634	unsat	0
booth	const_mul_8_15	3	.004684	unsat	0
booth	const_mul_8_15	4	.004589	unsat	0
booth	const_mul_8_15	5	.004625	unsat	0
block4	const_mul_8_15	1	.004587	unsat	0
block4	const_mul_8_15	2	.004627	unsat	0
block4	const_mul_8_15	3	.004670	unsat	0
block4	const_mul_8_15	4	.004678	unsat	0
block4	const_mul_8_15	5	.004632	unsat	0
sortnet	const_mul_8_15	1	.004622	unsat	0
sortnet	const_mul_8_15	2	.004577	unsat	0
sortnet	const_mul_8_15	3	.004596	unsat	0
sortnet	const_mul_8_15	4	.004674	unsat	0
sortnet	const_mul_8_15	5	.004686	unsat	0
shift-add	const_mul_8_255	1	.004770	unsat	0
shift-add	const_mul_8_255	2	.004661	unsat	0
shift-add	const_mul_8_255	3	.004606	unsat	0
shift-add	const_mul_8_255	4	.004606	unsat	0
shift-add	const_mul_8_255	5	.004670	unsat	0
comba-cs	const_mul_8_255	1	.004770	unsat	0
comba-cs	const_mul_8_255	2	.004577	unsat	0
comba-cs	const_mul_8_255	3	.004646	unsat	0
comba-cs	const_mul_8_255	4	.004672	unsat	0
comba-cs	const_mul_8_255	5	.004686	unsat	0
dadda	const_mul_8_255	1	.004708	unsat	0
dadda	const_mul_8_255	2	.004612	unsat	0
dadda	const_mul_8_255	3	.004635	unsat	0
dadda	const_mul_8_255	4	.004571	unsat	0
dadda	const_mul_8_255	5	.004646	unsat	0
booth	const_mul_8_255	1	.004659	unsat	0
booth	const_mul_8_255	2	.004636	unsat	0
booth	const_mul_8_255	3	.004638	unsat	0
booth	const_mul_8_255	4	.004575	unsat	0
booth	const_mul_8_255	5	.004645	unsat	0
block4	const_mul_8_255	1	.004676	unsat	0
block4	const_mul_8_255	2	.004685	unsat	0
block4	const_mul_8_255	3	.004603	unsat	0
block4	const_mul_8_255	4	.004662	unsat	0
block4	const_mul_8_255	5	.004607	unsat	0
sortnet	const_mul_8_255	1	.004673	unsat	0
sortnet	const_mul_8_255	2	.004653	unsat	0
sortnet	const_mul_8_255	3	.004669	unsat	0
sortnet	const_mul_8_255	4	.004620	unsat	0
sortnet	const_mul_8_255	5	.004600	unsat	0
shift-add	const_mul_16_3	1	.004689	unsat	0
shift-add	const_mul_16_3	2	.004666	unsat	0
shift-add	const_mul_16_3	3	.004680	unsat	0
shift-add	const_mul_16_3	4	.004778	unsat	0
