benchmark	primary	secondary	time	result	vars	clauses	conflicts
comm_8	shift-add	none	.686	unsat	252	958	36253
comm_8	shift-add	comba-cs	.131	unsat	652	2560	5923
comm_8	shift-add	comba	.146	unsat	742	2834	5874
comm_8	shift-add	dadda	.199	unsat	492	1948	10324
comm_8	shift-add	booth	.783	unsat	640	2438	30585
comm_8	shift-add	block4	.109	unsat	658	2558	5372
comm_8	comba-cs	none	.088	unsat	426	1612	4614
comm_8	comba-cs	shift-add	.126	unsat	652	2560	5930
comm_8	comba-cs	comba	.174	unsat	916	3488	7948
comm_8	comba-cs	dadda	.150	unsat	666	2602	6562
comm_8	comba-cs	booth	.186	unsat	814	3092	7175
comm_8	comba-cs	block4	.185	unsat	832	3212	7225
comm_8	booth	none	.602	unsat	414	1490	33361
comm_8	booth	shift-add	.727	unsat	640	2438	28354
comm_8	booth	comba-cs	.141	unsat	814	3092	5811
comm_8	booth	comba	.130	unsat	904	3366	5139
comm_8	booth	dadda	.209	unsat	654	2480	10206
comm_8	booth	block4	.235	unsat	820	3090	11072
comm_8	block4	none	.081	unsat	432	1610	4954
comm_8	block4	shift-add	.104	unsat	658	2558	5345
comm_8	block4	comba-cs	.161	unsat	832	3212	6878
comm_8	block4	comba	.107	unsat	922	3486	4300
comm_8	block4	dadda	.134	unsat	672	2600	6471
comm_8	block4	booth	.110	unsat	820	3090	5148
comm_10	shift-add	none	17.230	unsat	394	1543	681586
comm_10	shift-add	comba-cs	.235	unsat	1066	4249	9453
comm_10	shift-add	comba	1.180	unsat	1192	4599	45877
comm_10	shift-add	dadda	1.115	unsat	774	3119	45500
comm_10	shift-add	booth	21.322	unsat	990	3825	580261
comm_10	shift-add	block4	.389	unsat	1062	4159	18671
comm_10	comba-cs	none	.196	unsat	704	2727	9320
comm_10	comba-cs	shift-add	.506	unsat	1066	4249	20400
comm_10	comba-cs	comba	.448	unsat	1502	5783	18730
comm_10	comba-cs	dadda	.561	unsat	1084	4303	23639
comm_10	comba-cs	booth	.366	unsat	1300	5009	13168
comm_10	comba-cs	block4	.812	unsat	1372	5343	28317
comm_10	booth	none	13.613	unsat	628	2303	485810
comm_10	booth	shift-add	22.909	unsat	990	3825	608147
comm_10	booth	comba-cs	.472	unsat	1300	5009	15876
comm_10	booth	comba	.838	unsat	1426	5359	30594
comm_10	booth	dadda	.857	unsat	1008	3879	37492
comm_10	booth	block4	.600	unsat	1296	4919	24333
comm_10	block4	none	.396	unsat	700	2637	22666
comm_10	block4	shift-add	.591	unsat	1062	4159	24849
comm_10	block4	comba-cs	.674	unsat	1372	5343	24409
comm_10	block4	comba	.642	unsat	1498	5693	24245
comm_10	block4	dadda	1.038	unsat	1080	4213	40122
comm_10	block4	booth	.364	unsat	1296	4919	15748
comm_11	shift-add	none	60.004	T/O	477	1883	-
comm_11	shift-add	comba-cs	.660	unsat	1301	5209	22954
comm_11	shift-add	comba	3.439	unsat	1465	5671	116183
comm_11	shift-add	dadda	4.659	unsat	939	3803	140048
comm_11	shift-add	booth	60.004	T/O	1201	4647	-
comm_11	shift-add	block4	.782	unsat	1241	4895	31213
comm_11	comba-cs	none	.425	unsat	859	3349	19931
comm_11	comba-cs	shift-add	.983	unsat	1301	5209	35837
comm_11	comba-cs	comba	1.657	unsat	1847	7137	60836
comm_11	comba-cs	dadda	2.224	unsat	1321	5269	70430
comm_11	comba-cs	booth	1.281	unsat	1583	6113	41090
comm_11	comba-cs	block4	1.251	unsat	1623	6361	39975
comm_11	booth	none	60.004	T/O	759	2787	-
comm_11	booth	shift-add	60.003	T/O	1201	4647	-
comm_11	booth	comba-cs	1.395	unsat	1583	6113	45331
comm_11	booth	comba	3.264	unsat	1747	6575	104662
comm_11	booth	dadda	4.347	unsat	1221	4707	119736
comm_11	booth	block4	.907	unsat	1523	5799	34476
comm_11	block4	none	.244	unsat	799	3035	13879
comm_11	block4	shift-add	.872	unsat	1241	4895	35430
comm_11	block4	comba-cs	1.105	unsat	1623	6361	39539
comm_11	block4	comba	1.862	unsat	1787	6823	63379
comm_11	block4	dadda	2.474	unsat	1261	4955	82724
comm_11	block4	booth	.999	unsat	1523	5799	39421
comm_12	shift-add	none	60.004	T/O	568	2257	-
comm_12	shift-add	comba-cs	1.124	unsat	1552	6239	34712
comm_12	shift-add	comba	4.264	unsat	1758	6825	133072
comm_12	shift-add	dadda	9.787	unsat	1120	4555	232703
comm_12	shift-add	booth	60.004	T/O	1416	5513	-
comm_12	shift-add	block4	1.388	unsat	1428	5665	52141
comm_12	comba-cs	none	1.046	unsat	1022	4007	41447
comm_12	comba-cs	shift-add	1.084	unsat	1552	6239	34774
comm_12	comba-cs	comba	2.570	unsat	2212	8575	87189
comm_12	comba-cs	dadda	1.973	unsat	1574	6305	56992
comm_12	comba-cs	booth	1.036	unsat	1870	7263	28151
comm_12	comba-cs	block4	1.736	unsat	1882	7415	51624
comm_12	booth	none	60.004	T/O	886	3281	-
comm_12	booth	shift-add	60.004	T/O	1416	5513	-
comm_12	booth	comba-cs	1.943	unsat	1870	7263	62441
comm_12	booth	comba	3.741	unsat	2076	7849	114844
comm_12	booth	dadda	9.364	unsat	1438	5579	206385
comm_12	booth	block4	1.591	unsat	1746	6689	60214
