benchmark	config	time	result
2017-BuchwaldFried_counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005	combacs-nosimp	60.006029879	T/O
2018-Goel-hwbench_QF_BV_collision.1.prop1_cc_reg_max	combacs-nosimp	.020854340	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1184	combacs-nosimp	.009527008	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1219	combacs-nosimp	.009997547	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	combacs-nosimp	60.005156126	T/O
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_796	combacs-nosimp	15.374314838	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_986	combacs-nosimp	.005128039	unsat
20190429-UltimateAutomizerSvcomp2019_s3_srvr_1_alt_true-unreach-call_true-no-overflow.BV.c.cil.c_AllErrorsAtOnce_Iteration21_TraceCheck_0	combacs-nosimp	3.898252670	unsat
20200328-Favaro_mul_mba_synthesis	combacs-nosimp	60.005960483	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	combacs-nosimp	60.196928141	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	combacs-nosimp	27.767053402	error
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_14	combacs-nosimp	60.201079273	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_15	combacs-nosimp	60.201459978	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_7	combacs-nosimp	22.025711971	error
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i22.948dd618	combacs-nosimp	.036926882	sat
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i30.969e0c8a	combacs-nosimp	.033467816	sat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_0	combacs-nosimp	4.649229063	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_1	combacs-nosimp	4.647737770	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_2	combacs-nosimp	60.004807467	T/O
20230321-UltimateAutomizerSvcomp2023_cohencu.c_3	combacs-nosimp	60.004460939	T/O
20230321-UltimateAutomizerSvcomp2023_geo3.c_5	combacs-nosimp	60.005420484	T/O
Sage2_bench_1351	combacs-nosimp	37.033258499	sat
Sage2_bench_15251	combacs-nosimp	18.299538742	unsat
Sage2_bench_1621	combacs-nosimp	13.338814727	sat
Sage2_bench_17485	combacs-nosimp	20.038406158	unsat
Sage2_bench_9381	combacs-nosimp	60.019283940	T/O
VS3_VS3-benchmark-A11	combacs-nosimp	60.007854346	T/O
VS3_VS3-benchmark-S1	combacs-nosimp	15.503951581	sat
bmc-bv_ex13	combacs-nosimp	.007001040	sat
bmc-bv_matrixsqrt	combacs-nosimp	.348746438	sat
bmc-bv_send-more-money	combacs-nosimp	.072486153	sat
brummayerbiere2_smulov2bw256	combacs-nosimp	60.038383144	T/O
brummayerbiere2_smulov4bw0640	combacs-nosimp	30.568688593	sat
brummayerbiere2_umulov1bw064	combacs-nosimp	60.007074820	T/O
brummayerbiere2_umulov1bw080	combacs-nosimp	60.007919108	T/O
brummayerbiere2_umulov2bw0512	combacs-nosimp	17.011431935	unsat
brummayerbiere3_isqrtadd	combacs-nosimp	60.003903592	T/O
brummayerbiere4_unconstrained04	combacs-nosimp	16.460524045	timeout: the monitor
brummayerbiere4_unconstrained05	combacs-nosimp	15.511316040	timeout: the monitor
brummayerbiere4_unconstrained06	combacs-nosimp	16.691579934	timeout: the monitor
brummayerbiere4_unconstrained08	combacs-nosimp	16.679477545	timeout: the monitor
brummayerbiere4_unconstrained10	combacs-nosimp	15.511477170	timeout: the monitor
calypto_problem_15	combacs-nosimp	1.224771673	unsat
calypto_problem_16	combacs-nosimp	60.004796301	T/O
calypto_problem_24	combacs-nosimp	.047218352	sat
crafted_bit-reversal	combacs-nosimp	.005328841	unsat
crafted_bitops3	combacs-nosimp	.005617036	unsat
crafted_bitops7	combacs-nosimp	.005008092	sat
galois_iffyInterleavedModMult-32	combacs-nosimp	60.009456513	T/O
galois_iffyInterleavedModMult-4	combacs-nosimp	.113258382	unsat
galois_iffyInterleavedModMult-8	combacs-nosimp	60.004009532	T/O
log-slicing_bvsdiv_16	combacs-nosimp	53.942615191	unsat
log-slicing_bvsrem_17	combacs-nosimp	60.007287412	T/O
log-slicing_bvudiv_15	combacs-nosimp	46.719863538	unsat
log-slicing_bvudiv_17	combacs-nosimp	60.006346374	T/O
log-slicing_bvudiv_23	combacs-nosimp	60.008721765	T/O
sage_app1_bench_292	combacs-nosimp	3.601271542	unsat
sage_app7_bench_5744	combacs-nosimp	4.205661247	unsat
spear_wget_v1.10.2_src_wget_vc18190	combacs-nosimp	1.683570707	sat
spear_zebra_v0.95a_bgpd_bgpd_vc75772	combacs-nosimp	.291298778	sat
tacas07_s-40-50-bv	combacs-nosimp	5.178959903	sat
wienand-cav2008_Booth_mult_ub_8x8_1.sf	combacs-nosimp	6.742787445	unsat
wienand-cav2008_Commute_commute08.sf	combacs-nosimp	60.003932576	T/O
wienand-cav2008_Commute_commute16.sf	combacs-nosimp	60.004525279	T/O
wienand-cav2008_Commute_commute32.sf	combacs-nosimp	60.006295821	T/O
wienand-cav2008_Distrib_distrib08.sf	combacs-nosimp	60.004225456	T/O
DONE
