benchmark	config	time	result
2017-BuchwaldFried_counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005	shift-add-nosimp	60.005743066	T/O
2018-Goel-hwbench_QF_BV_collision.1.prop1_cc_reg_max	shift-add-nosimp	.020611620	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1184	shift-add-nosimp	.009301903	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1219	shift-add-nosimp	.009796495	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	shift-add-nosimp	60.005046592	T/O
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_796	shift-add-nosimp	15.454553849	unsat
20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_986	shift-add-nosimp	.005132589	unsat
20190429-UltimateAutomizerSvcomp2019_s3_srvr_1_alt_true-unreach-call_true-no-overflow.BV.c.cil.c_AllErrorsAtOnce_Iteration21_TraceCheck_0	shift-add-nosimp	3.872388473	unsat
20200328-Favaro_mul_mba_synthesis	shift-add-nosimp	60.006179728	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	shift-add-nosimp	60.197494640	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	shift-add-nosimp	28.068054740	error
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_14	shift-add-nosimp	60.206652290	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_15	shift-add-nosimp	60.213725267	T/O
20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_7	shift-add-nosimp	22.194570319	error
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i22.948dd618	shift-add-nosimp	.036796834	sat
20221012-MCMPC_wage_circuit_div_wage_circuit_div.t1.i30.969e0c8a	shift-add-nosimp	.033028891	sat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_0	shift-add-nosimp	5.330470202	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_1	shift-add-nosimp	5.348625099	unsat
20230321-UltimateAutomizerSvcomp2023_cohencu.c_2	shift-add-nosimp	60.004687074	T/O
20230321-UltimateAutomizerSvcomp2023_cohencu.c_3	shift-add-nosimp	60.004495128	T/O
20230321-UltimateAutomizerSvcomp2023_geo3.c_5	shift-add-nosimp	60.005810177	T/O
Sage2_bench_1351	shift-add-nosimp	36.495347675	sat
Sage2_bench_15251	shift-add-nosimp	18.984933054	unsat
Sage2_bench_1621	shift-add-nosimp	13.261356003	sat
Sage2_bench_17485	shift-add-nosimp	19.869654450	unsat
Sage2_bench_9381	shift-add-nosimp	60.023928153	T/O
VS3_VS3-benchmark-A11	shift-add-nosimp	60.008099203	T/O
VS3_VS3-benchmark-S1	shift-add-nosimp	14.988766854	sat
bmc-bv_ex13	shift-add-nosimp	.006899884	sat
bmc-bv_matrixsqrt	shift-add-nosimp	.341769527	sat
bmc-bv_send-more-money	shift-add-nosimp	.072793997	sat
brummayerbiere2_smulov2bw256	shift-add-nosimp	60.041194228	T/O
brummayerbiere2_smulov4bw0640	shift-add-nosimp	30.038797319	sat
brummayerbiere2_umulov1bw064	shift-add-nosimp	60.007086875	T/O
brummayerbiere2_umulov1bw080	shift-add-nosimp	60.007755310	T/O
brummayerbiere2_umulov2bw0512	shift-add-nosimp	16.852611109	unsat
brummayerbiere3_isqrtadd	shift-add-nosimp	60.004046441	T/O
brummayerbiere4_unconstrained04	shift-add-nosimp	16.609406062	timeout: the monitor
brummayerbiere4_unconstrained05	shift-add-nosimp	15.544811337	timeout: the monitor
brummayerbiere4_unconstrained06	shift-add-nosimp	16.636007920	timeout: the monitor
brummayerbiere4_unconstrained08	shift-add-nosimp	16.595514190	timeout: the monitor
brummayerbiere4_unconstrained10	shift-add-nosimp	15.575214573	timeout: the monitor
calypto_problem_15	shift-add-nosimp	1.320746445	unsat
calypto_problem_16	shift-add-nosimp	60.004860920	T/O
calypto_problem_24	shift-add-nosimp	.047118252	sat
crafted_bit-reversal	shift-add-nosimp	.005523856	unsat
crafted_bitops3	shift-add-nosimp	.005651624	unsat
crafted_bitops7	shift-add-nosimp	.005013905	sat
galois_iffyInterleavedModMult-32	shift-add-nosimp	60.009009599	T/O
galois_iffyInterleavedModMult-4	shift-add-nosimp	.094458693	unsat
galois_iffyInterleavedModMult-8	shift-add-nosimp	60.004181112	T/O
log-slicing_bvsdiv_16	shift-add-nosimp	53.935501714	unsat
log-slicing_bvsrem_17	shift-add-nosimp	60.006444982	T/O
log-slicing_bvudiv_15	shift-add-nosimp	47.027486214	unsat
log-slicing_bvudiv_17	shift-add-nosimp	60.007040617	T/O
log-slicing_bvudiv_23	shift-add-nosimp	60.009274202	T/O
sage_app1_bench_292	shift-add-nosimp	3.553357854	unsat
sage_app7_bench_5744	shift-add-nosimp	4.190051202	unsat
spear_wget_v1.10.2_src_wget_vc18190	shift-add-nosimp	1.685905440	sat
spear_zebra_v0.95a_bgpd_bgpd_vc75772	shift-add-nosimp	.294857547	sat
tacas07_s-40-50-bv	shift-add-nosimp	5.249309966	sat
wienand-cav2008_Booth_mult_ub_8x8_1.sf	shift-add-nosimp	6.760088313	unsat
wienand-cav2008_Commute_commute08.sf	shift-add-nosimp	60.004129524	T/O
wienand-cav2008_Commute_commute16.sf	shift-add-nosimp	60.004445230	T/O
wienand-cav2008_Commute_commute32.sf	shift-add-nosimp	60.006094900	T/O
wienand-cav2008_Distrib_distrib08.sf	shift-add-nosimp	60.004088234	T/O
DONE
