config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
lookahead,add_sat_200,c,cadical,1,,332205,0.0153577,0.0156419,SAT,
lookahead,add_sat_200,c,cadical,2,,332205,0.0154221,0.0157399,SAT,
lookahead,add_sat_2000,c,cadical,1,,3322005,0.17708,0.179977,SAT,
lookahead,add_sat_2000,c,cadical,2,,3322005,0.177297,0.180212,SAT,
lookahead,add_unsat_200,c,cadical,1,,399004,14.8978,15.0643,UNSAT,
lookahead,add_unsat_200,c,cadical,2,,399004,14.8445,15.0121,UNSAT,
lookahead,chain_sat_500,c,cadical,1,,3455009,0.0640017,0.0660352,SAT,
lookahead,chain_sat_500,c,cadical,2,,3455009,0.0635787,0.0655833,SAT,
lookahead,equiv_unsat_100,c,cadical,1,,189403,14.1186,14.2002,UNSAT,
lookahead,equiv_unsat_100,c,cadical,2,,189403,14.0668,14.149,UNSAT,
lookahead,incr_sat_5000,c,cadical,1,,1295003,0.0430704,0.741193,SAT,
lookahead,incr_sat_5000,c,cadical,2,,1295003,0.0430366,0.737438,SAT,
lookahead,mixed_sat_500,c,cadical,1,,1952009,1.39217,1.39504,SAT,
lookahead,mixed_sat_500,c,cadical,2,,1952009,1.41053,1.41341,SAT,
lookahead,narrow_sat_10000,c,cadical,1,,4880005,2.4272e-05,0.00626088,UNSAT,
lookahead,narrow_sat_10000,c,cadical,2,,4880005,2.3556e-05,0.00629394,UNSAT,
lookahead,sub_sat_1000,c,cadical,1,,2132005,0.0248453,0.0281143,SAT,
lookahead,sub_sat_1000,c,cadical,2,,2132005,0.0248206,0.0280798,SAT,
lookahead,wide_sat_1000,c,cadical,1,,3325005,0.172904,0.175866,SAT,
lookahead,wide_sat_1000,c,cadical,2,,3325005,0.172831,0.175779,SAT,
lookahead,add_3operand_16,smt2,cadical,1,146,,T/O,T/O,UNSAT,
lookahead,add_3operand_16,smt2,cadical,2,146,,T/O,T/O,UNSAT,
lookahead,add_4operand_16,smt2,cadical,1,182,,T/O,T/O,UNSAT,
lookahead,add_4operand_16,smt2,cadical,2,182,,T/O,T/O,UNSAT,
lookahead,add_assoc_64,smt2,cadical,1,530,,T/O,T/O,UNSAT,
lookahead,add_assoc_64,smt2,cadical,2,530,,T/O,T/O,UNSAT,
lookahead,add_associative_32,smt2,cadical,1,274,,T/O,T/O,UNSAT,
lookahead,add_associative_32,smt2,cadical,2,274,,T/O,T/O,UNSAT,
lookahead,add_commutative_32,smt2,cadical,1,170,,T/O,T/O,UNSAT,
lookahead,add_commutative_32,smt2,cadical,2,170,,T/O,T/O,UNSAT,
lookahead,add_compare_16,smt2,cadical,1,82,,T/O,T/O,UNSAT,
lookahead,add_compare_16,smt2,cadical,2,82,,T/O,T/O,UNSAT,
lookahead,add_identity_32,smt2,cadical,1,97,,T/O,T/O,UNSAT,
lookahead,add_identity_32,smt2,cadical,2,97,,T/O,T/O,UNSAT,
lookahead,add_inverse_32,smt2,cadical,1,132,,T/O,T/O,UNSAT,
lookahead,add_inverse_32,smt2,cadical,2,132,,T/O,T/O,UNSAT,
lookahead,add_inverse_64,smt2,cadical,1,260,,T/O,T/O,UNSAT,
lookahead,add_inverse_64,smt2,cadical,2,260,,T/O,T/O,UNSAT,
lookahead,add_monotone_32,smt2,cadical,1,197,,T/O,T/O,UNSAT,
lookahead,add_monotone_32,smt2,cadical,2,197,,T/O,T/O,UNSAT,
lookahead,adder_chain_32,smt2,cadical,1,406,,T/O,T/O,UNSAT,
lookahead,adder_chain_32,smt2,cadical,2,406,,T/O,T/O,UNSAT,
