config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
lookahead_cadical,add_sat_200,c,cadical,1,,332205,0.0154106,0.0157126,SAT,
lookahead_cadical,add_sat_200,c,cadical,2,,332205,0.0155504,0.0158339,SAT,
lookahead_cadical,add_sat_2000,c,cadical,1,,3322005,0.177959,0.180847,SAT,
lookahead_cadical,add_sat_2000,c,cadical,2,,3322005,0.180147,0.183113,SAT,
lookahead_cadical,add_unsat_200,c,cadical,1,,399004,14.8069,14.9747,UNSAT,
lookahead_cadical,add_unsat_200,c,cadical,2,,399004,14.8575,15.0259,UNSAT,
lookahead_cadical,chain_sat_500,c,cadical,1,,3455009,0.0645231,0.0665486,SAT,
lookahead_cadical,chain_sat_500,c,cadical,2,,3455009,0.0640584,0.0660693,SAT,
lookahead_cadical,distrib_unsat_20,c,cadical,1,,1638070,5.63908,5.64589,SAT,
lookahead_cadical,distrib_unsat_20,c,cadical,2,,1638070,5.63123,5.63823,SAT,
lookahead_cadical,equiv_unsat_100,c,cadical,1,,189403,13.9907,14.072,UNSAT,
lookahead_cadical,equiv_unsat_100,c,cadical,2,,189403,14.0839,14.1657,UNSAT,
lookahead_cadical,incr_sat_5000,c,cadical,1,,1295003,0.0432904,0.744316,SAT,
lookahead_cadical,incr_sat_5000,c,cadical,2,,1295003,0.0432252,0.739927,SAT,
lookahead_cadical,mixed_sat_500,c,cadical,1,,1952009,1.39723,1.40012,SAT,
lookahead_cadical,mixed_sat_500,c,cadical,2,,1952009,1.40835,1.41122,SAT,
lookahead_cadical,narrow_sat_10000,c,cadical,1,,4880005,2.5356e-05,0.00630785,UNSAT,
lookahead_cadical,narrow_sat_10000,c,cadical,2,,4880005,2.5661e-05,0.00629774,UNSAT,
lookahead_cadical,overflow_sat_200,c,cadical,1,,1497306,0.07905,0.0859227,SAT,
lookahead_cadical,overflow_sat_200,c,cadical,2,,1497306,0.0800195,0.0869027,SAT,
lookahead_cadical,sub_sat_1000,c,cadical,1,,2132005,0.024763,0.0280459,SAT,
lookahead_cadical,sub_sat_1000,c,cadical,2,,2132005,0.0246676,0.0279195,SAT,
lookahead_cadical,wide_sat_1000,c,cadical,1,,3325005,0.174674,0.177601,SAT,
lookahead_cadical,wide_sat_1000,c,cadical,2,,3325005,0.171027,0.173995,SAT,
lookahead_cadical,add_3operand_16,smt2,cadical,1,194,,2.1788e-05,2.1788e-05,UNSAT,
lookahead_cadical,add_3operand_16,smt2,cadical,2,194,,2.0761e-05,2.0761e-05,UNSAT,
lookahead_cadical,add_4operand_16,smt2,cadical,1,242,,1.6912e-05,1.6912e-05,UNSAT,
lookahead_cadical,add_4operand_16,smt2,cadical,2,242,,1.6199e-05,1.6199e-05,UNSAT,
lookahead_cadical,add_assoc_64,smt2,cadical,1,770,,1.7192e-05,1.7192e-05,UNSAT,
lookahead_cadical,add_assoc_64,smt2,cadical,2,770,,1.6826e-05,1.6826e-05,UNSAT,
lookahead_cadical,add_associative_32,smt2,cadical,1,386,,1.5515e-05,1.5515e-05,UNSAT,
lookahead_cadical,add_associative_32,smt2,cadical,2,386,,1.8239e-05,1.8239e-05,UNSAT,
lookahead_cadical,add_commutative_32,smt2,cadical,1,226,,1.6541e-05,1.6541e-05,UNSAT,
lookahead_cadical,add_commutative_32,smt2,cadical,2,226,,1.644e-05,1.644e-05,UNSAT,
lookahead_cadical,add_compare_16,smt2,cadical,1,96,,1.7111e-05,1.7111e-05,UNSAT,
lookahead_cadical,add_compare_16,smt2,cadical,2,96,,1.7414e-05,1.7414e-05,UNSAT,
lookahead_cadical,add_identity_32,smt2,cadical,1,33,,1.7323e-05,1.7323e-05,UNSAT,
