config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
lookahead_cadical_rv,add_sat_200,c,cadical,1,,332205,0.0110215,0.0111386,SAT,
lookahead_cadical_rv,add_sat_200,c,cadical,2,,332205,0.0108928,0.0110113,SAT,
lookahead_cadical_rv,add_sat_2000,c,cadical,1,,3322005,0.121547,0.122526,SAT,
lookahead_cadical_rv,add_sat_2000,c,cadical,2,,3322005,0.121249,0.122228,SAT,
lookahead_cadical_rv,add_unsat_200,c,cadical,1,,399004,10.4978,10.5295,UNSAT,
lookahead_cadical_rv,add_unsat_200,c,cadical,2,,399004,10.5977,10.63,UNSAT,
lookahead_cadical_rv,chain_sat_500,c,cadical,1,,3455009,0.0434879,0.0441315,SAT,
lookahead_cadical_rv,chain_sat_500,c,cadical,2,,3455009,0.0440301,0.0446775,SAT,
lookahead_cadical_rv,distrib_unsat_20,c,cadical,1,,1638071,5.75641,5.76163,SAT,
lookahead_cadical_rv,distrib_unsat_20,c,cadical,2,,1638071,5.75546,5.76063,SAT,
lookahead_cadical_rv,equiv_unsat_100,c,cadical,1,,189403,9.44451,9.46003,UNSAT,
lookahead_cadical_rv,equiv_unsat_100,c,cadical,2,,189403,9.40881,9.4242,UNSAT,
lookahead_cadical_rv,incr_sat_5000,c,cadical,1,,1295003,0.537935,0.762785,SAT,
lookahead_cadical_rv,incr_sat_5000,c,cadical,2,,1295003,0.532729,0.757895,SAT,
lookahead_cadical_rv,mixed_sat_500,c,cadical,1,,1952010,10.1346,10.1366,SAT,
lookahead_cadical_rv,mixed_sat_500,c,cadical,2,,1952010,10.1436,10.1455,SAT,
lookahead_cadical_rv,narrow_sat_10000,c,cadical,1,,4880005,0.00989541,0.00991198,UNSAT,
lookahead_cadical_rv,narrow_sat_10000,c,cadical,2,,4880005,0.0100108,0.0100283,UNSAT,
lookahead_cadical_rv,overflow_sat_200,c,cadical,1,,1497306,0.0205427,0.0209602,SAT,
lookahead_cadical_rv,overflow_sat_200,c,cadical,2,,1497306,0.0204307,0.0208399,SAT,
lookahead_cadical_rv,sub_sat_1000,c,cadical,1,,2132005,0.0320863,0.0329778,SAT,
lookahead_cadical_rv,sub_sat_1000,c,cadical,2,,2132005,0.0317578,0.0326365,SAT,
lookahead_cadical_rv,wide_sat_1000,c,cadical,1,,3325005,0.120005,0.120952,SAT,
