config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
lookahead_cadical_xg,add_sat_200,c,cadical,1,,332205,0.00659006,0.0070857,SAT,400
lookahead_cadical_xg,add_sat_200,c,cadical,2,,332205,0.00656967,0.00709942,SAT,400
lookahead_cadical_xg,add_sat_2000,c,cadical,1,,3322005,0.162844,0.168504,SAT,4000
lookahead_cadical_xg,add_sat_2000,c,cadical,2,,3322005,0.162862,0.168433,SAT,4000
lookahead_cadical_xg,add_unsat_200,c,cadical,1,,,T/O,T/O,UNKNOWN,
lookahead_cadical_xg,add_unsat_200,c,cadical,2,,,T/O,T/O,UNKNOWN,
lookahead_cadical_xg,chain_sat_500,c,cadical,1,,,T/O,T/O,UNKNOWN,
lookahead_cadical_xg,chain_sat_500,c,cadical,2,,,T/O,T/O,UNKNOWN,
lookahead_cadical_xg,distrib_unsat_20,c,cadical,1,,1638068,2.39554,2.95106,UNSAT,11200
lookahead_cadical_xg,distrib_unsat_20,c,cadical,2,,1638068,2.37788,2.93255,UNSAT,11200
lookahead_cadical_xg,equiv_unsat_100,c,cadical,1,,189403,T/O,T/O,UNKNOWN,6400
lookahead_cadical_xg,equiv_unsat_100,c,cadical,2,,189403,T/O,T/O,UNKNOWN,6400
lookahead_cadical_xg,incr_sat_5000,c,cadical,1,,1295003,4.07783,4.77074,SAT,5000
lookahead_cadical_xg,incr_sat_5000,c,cadical,2,,1295003,4.06692,4.75792,SAT,5000
lookahead_cadical_xg,mixed_sat_500,c,cadical,1,,1952007,12.3198,13.1527,UNSAT,65000
lookahead_cadical_xg,mixed_sat_500,c,cadical,2,,1952007,12.5471,13.3883,UNSAT,65000
lookahead_cadical_xg,narrow_sat_10000,c,cadical,1,,4880005,2.5608e-05,0.00622908,UNSAT,
lookahead_cadical_xg,narrow_sat_10000,c,cadical,2,,4880005,2.8255e-05,0.00622997,UNSAT,
lookahead_cadical_xg,overflow_sat_200,c,cadical,1,,1497304,2.80614,3.43835,UNSAT,1200
lookahead_cadical_xg,overflow_sat_200,c,cadical,2,,1497304,2.77686,3.40035,UNSAT,1200
lookahead_cadical_xg,sub_sat_1000,c,cadical,1,,2132004,13.6359,14.5405,UNSAT,64000
lookahead_cadical_xg,sub_sat_1000,c,cadical,2,,2132004,14.3995,15.311,UNSAT,64000
lookahead_cadical_xg,wide_sat_1000,c,cadical,1,,3325005,0.0845891,0.0890709,SAT,2000
lookahead_cadical_xg,wide_sat_1000,c,cadical,2,,3325005,0.0853916,0.0897803,SAT,2000
lookahead_cadical_xg,add_3operand_16,smt2,cadical,1,194,,3.9075e-05,3.9075e-05,UNSAT,
lookahead_cadical_xg,add_3operand_16,smt2,cadical,2,194,,1.713e-05,1.713e-05,UNSAT,
lookahead_cadical_xg,add_4operand_16,smt2,cadical,1,242,,1.8348e-05,1.8348e-05,UNSAT,
lookahead_cadical_xg,add_4operand_16,smt2,cadical,2,242,,1.5904e-05,1.5904e-05,UNSAT,
lookahead_cadical_xg,add_assoc_64,smt2,cadical,1,770,,1.6422e-05,1.6422e-05,UNSAT,
lookahead_cadical_xg,add_assoc_64,smt2,cadical,2,770,,1.4764e-05,1.4764e-05,UNSAT,
lookahead_cadical_xg,add_associative_32,smt2,cadical,1,386,,2.5338e-05,2.5338e-05,UNSAT,
lookahead_cadical_xg,add_associative_32,smt2,cadical,2,386,,1.6063e-05,1.6063e-05,UNSAT,
lookahead_cadical_xg,add_commutative_32,smt2,cadical,1,226,,1.6358e-05,1.6358e-05,UNSAT,
lookahead_cadical_xg,add_commutative_32,smt2,cadical,2,226,,1.4158e-05,1.4158e-05,UNSAT,
lookahead_cadical_xg,add_compare_16,smt2,cadical,1,96,,1.8277e-05,1.8277e-05,UNSAT,
lookahead_cadical_xg,add_compare_16,smt2,cadical,2,96,,1.6956e-05,1.6956e-05,UNSAT,
lookahead_cadical_xg,add_identity_32,smt2,cadical,1,33,,1.757e-05,1.757e-05,UNSAT,
lookahead_cadical_xg,add_identity_32,smt2,cadical,2,33,,1.6951e-05,1.6951e-05,UNSAT,
lookahead_cadical_xg,add_inverse_32,smt2,cadical,1,158,,1.8296e-05,1.8296e-05,UNSAT,
lookahead_cadical_xg,add_inverse_32,smt2,cadical,2,158,,1.7625e-05,1.7625e-05,UNSAT,
lookahead_cadical_xg,add_inverse_64,smt2,cadical,1,318,,2.0119e-05,2.0119e-05,UNSAT,
