config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
lookahead_cadical_xg_rv,add_sat_200,c,cadical,1,,332205,0.015397,0.0154241,SAT,400
lookahead_cadical_xg_rv,add_sat_200,c,cadical,2,,332205,0.0151497,0.0151744,SAT,400
lookahead_cadical_xg_rv,add_sat_2000,c,cadical,1,,3322005,0.29693,0.296957,SAT,4000
lookahead_cadical_xg_rv,add_sat_2000,c,cadical,2,,3322005,0.294448,0.294482,SAT,4000
lookahead_cadical_xg_rv,add_unsat_200,c,cadical,1,,,T/O,T/O,UNKNOWN,
lookahead_cadical_xg_rv,add_unsat_200,c,cadical,2,,,T/O,T/O,UNKNOWN,
lookahead_cadical_xg_rv,chain_sat_500,c,cadical,1,,3455006,4.84408,5.13119,SAT,3000
lookahead_cadical_xg_rv,chain_sat_500,c,cadical,2,,3455006,4.84407,5.13044,SAT,3000
lookahead_cadical_xg_rv,distrib_unsat_20,c,cadical,1,,1638068,2.75825,2.90138,UNSAT,11200
lookahead_cadical_xg_rv,distrib_unsat_20,c,cadical,2,,1638068,2.79685,2.94278,UNSAT,11200
lookahead_cadical_xg_rv,equiv_unsat_100,c,cadical,1,,,T/O,T/O,UNKNOWN,
lookahead_cadical_xg_rv,equiv_unsat_100,c,cadical,2,,,T/O,T/O,UNKNOWN,
lookahead_cadical_xg_rv,incr_sat_5000,c,cadical,1,,1295003,4.33915,4.55855,SAT,5000
lookahead_cadical_xg_rv,incr_sat_5000,c,cadical,2,,1295003,4.35177,4.57027,SAT,5000
lookahead_cadical_xg_rv,mixed_sat_500,c,cadical,1,,1952007,13.061,13.2345,UNSAT,65000
lookahead_cadical_xg_rv,mixed_sat_500,c,cadical,2,,1952007,12.9932,13.1668,UNSAT,65000
lookahead_cadical_xg_rv,narrow_sat_10000,c,cadical,1,,4880005,0.00994026,0.00995841,UNSAT,
lookahead_cadical_xg_rv,narrow_sat_10000,c,cadical,2,,4880005,0.00984854,0.0098654,UNSAT,
lookahead_cadical_xg_rv,overflow_sat_200,c,cadical,1,,1497305,8.27699,8.27701,UNSAT,1200
lookahead_cadical_xg_rv,overflow_sat_200,c,cadical,2,,1497305,8.21324,8.21327,UNSAT,1200
lookahead_cadical_xg_rv,sub_sat_1000,c,cadical,1,,2132004,14.6449,14.8158,UNSAT,64000
lookahead_cadical_xg_rv,sub_sat_1000,c,cadical,2,,2132004,15.135,15.3038,UNSAT,64000
lookahead_cadical_xg_rv,wide_sat_1000,c,cadical,1,,3325005,0.190218,0.190247,SAT,2000
lookahead_cadical_xg_rv,wide_sat_1000,c,cadical,2,,3325005,0.188231,0.188281,SAT,2000
lookahead_cadical_xg_rv,add_3operand_16,smt2,cadical,1,194,,1.8393e-05,1.8393e-05,UNSAT,
