config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
lookahead_minisat,add_sat_200,c,minisat2,1,,332204,0.27596,0.385021,SAT,
lookahead_minisat,add_sat_200,c,minisat2,2,,332204,0.276225,0.385978,SAT,
lookahead_minisat,add_sat_2000,c,minisat2,1,,3322004,2.92299,4.03659,SAT,
lookahead_minisat,add_sat_2000,c,minisat2,2,,3322004,2.92375,4.04263,SAT,
lookahead_minisat,add_unsat_200,c,minisat2,1,,398004,4.94141,5.07211,UNSAT,
lookahead_minisat,add_unsat_200,c,minisat2,2,,398004,4.80215,4.93208,UNSAT,
lookahead_minisat,chain_sat_500,c,minisat2,1,,3345506,0.316928,0.316964,SAT,
lookahead_minisat,chain_sat_500,c,minisat2,2,,3345506,0.31641,0.316442,SAT,
lookahead_minisat,distrib_unsat_20,c,minisat2,1,,825447,0.971815,1.36383,SAT,
lookahead_minisat,distrib_unsat_20,c,minisat2,2,,825447,0.961245,1.3523,SAT,
lookahead_minisat,equiv_unsat_100,c,minisat2,1,,188602,8.87961,8.94508,UNSAT,
lookahead_minisat,equiv_unsat_100,c,minisat2,2,,188602,9.01515,9.08073,UNSAT,
lookahead_minisat,incr_sat_5000,c,minisat2,1,,1295002,0.56277,1.12325,SAT,
lookahead_minisat,incr_sat_5000,c,minisat2,2,,1295002,0.563946,1.12171,SAT,
lookahead_minisat,mixed_sat_500,c,minisat2,1,,1886008,15.2634,15.9181,SAT,
lookahead_minisat,mixed_sat_500,c,minisat2,2,,1886008,14.999,15.6518,SAT,
lookahead_minisat,narrow_sat_10000,c,minisat2,1,,2,9.201e-06,2.1448e-05,UNSAT,
lookahead_minisat,narrow_sat_10000,c,minisat2,2,,2,8.784e-06,2.0659e-05,UNSAT,
lookahead_minisat,overflow_sat_200,c,minisat2,1,,1413584,0.0317574,0.0317955,SAT,
lookahead_minisat,overflow_sat_200,c,minisat2,2,,1413584,0.0323004,0.0323331,SAT,
lookahead_minisat,sub_sat_1000,c,minisat2,1,,2132004,T/O,T/O,UNKNOWN,
lookahead_minisat,sub_sat_1000,c,minisat2,2,,2132004,T/O,T/O,UNKNOWN,
lookahead_minisat,wide_sat_1000,c,minisat2,1,,3325004,2.7365,3.79732,SAT,
lookahead_minisat,wide_sat_1000,c,minisat2,2,,3325004,2.73741,3.80392,SAT,
lookahead_minisat,add_3operand_16,smt2,minisat2,1,194,,2.3034e-05,2.3034e-05,UNSAT,
lookahead_minisat,add_3operand_16,smt2,minisat2,2,194,,1.8885e-05,1.8885e-05,UNSAT,
lookahead_minisat,add_4operand_16,smt2,minisat2,1,242,,1.5658e-05,1.5658e-05,UNSAT,
lookahead_minisat,add_4operand_16,smt2,minisat2,2,242,,1.8163e-05,1.8163e-05,UNSAT,
lookahead_minisat,add_assoc_64,smt2,minisat2,1,770,,1.6539e-05,1.6539e-05,UNSAT,
lookahead_minisat,add_assoc_64,smt2,minisat2,2,770,,1.7693e-05,1.7693e-05,UNSAT,
lookahead_minisat,add_associative_32,smt2,minisat2,1,386,,1.6507e-05,1.6507e-05,UNSAT,
