config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
lookahead_rv,add_sat_200,c,cadical,1,,332205,0.0109971,0.0111106,SAT,
lookahead_rv,add_sat_200,c,cadical,2,,332205,0.0108541,0.0109705,SAT,
lookahead_rv,add_sat_2000,c,cadical,1,,3322005,0.122145,0.123127,SAT,
lookahead_rv,add_sat_2000,c,cadical,2,,3322005,0.122302,0.123303,SAT,
lookahead_rv,add_unsat_200,c,cadical,1,,399004,10.5435,10.5756,UNSAT,
lookahead_rv,add_unsat_200,c,cadical,2,,399004,10.5825,10.6152,UNSAT,
lookahead_rv,chain_sat_500,c,cadical,1,,3455009,0.0441157,0.0448025,SAT,
lookahead_rv,chain_sat_500,c,cadical,2,,3455009,0.0443091,0.0449787,SAT,
lookahead_rv,equiv_unsat_100,c,cadical,1,,189403,9.47613,9.49148,UNSAT,
lookahead_rv,equiv_unsat_100,c,cadical,2,,189403,9.38188,9.39728,UNSAT,
lookahead_rv,incr_sat_5000,c,cadical,1,,1295003,0.540135,0.763455,SAT,
lookahead_rv,incr_sat_5000,c,cadical,2,,1295003,0.533294,0.75704,SAT,
lookahead_rv,mixed_sat_500,c,cadical,1,,1952010,10.1627,10.1646,SAT,
lookahead_rv,mixed_sat_500,c,cadical,2,,1952010,10.1436,10.1455,SAT,
lookahead_rv,narrow_sat_10000,c,cadical,1,,4880005,0.00985848,0.0098748,UNSAT,
lookahead_rv,narrow_sat_10000,c,cadical,2,,4880005,0.0099438,0.00996113,UNSAT,
lookahead_rv,sub_sat_1000,c,cadical,1,,2132005,0.0318169,0.0327395,SAT,
lookahead_rv,sub_sat_1000,c,cadical,2,,2132005,0.0315749,0.0324964,SAT,
lookahead_rv,wide_sat_1000,c,cadical,1,,3325005,0.119856,0.120846,SAT,
lookahead_rv,wide_sat_1000,c,cadical,2,,3325005,0.119002,0.119992,SAT,
lookahead_rv,add_3operand_16,smt2,cadical,1,146,,T/O,T/O,UNSAT,
lookahead_rv,add_3operand_16,smt2,cadical,2,146,,T/O,T/O,UNSAT,
lookahead_rv,add_4operand_16,smt2,cadical,1,182,,T/O,T/O,UNSAT,
lookahead_rv,add_4operand_16,smt2,cadical,2,182,,T/O,T/O,UNSAT,
lookahead_rv,add_assoc_64,smt2,cadical,1,530,,T/O,T/O,UNSAT,
lookahead_rv,add_assoc_64,smt2,cadical,2,530,,T/O,T/O,UNSAT,
lookahead_rv,add_associative_32,smt2,cadical,1,274,,T/O,T/O,UNSAT,
lookahead_rv,add_associative_32,smt2,cadical,2,274,,T/O,T/O,UNSAT,
lookahead_rv,add_commutative_32,smt2,cadical,1,170,,T/O,T/O,UNSAT,
lookahead_rv,add_commutative_32,smt2,cadical,2,170,,T/O,T/O,UNSAT,
lookahead_rv,add_compare_16,smt2,cadical,1,82,,T/O,T/O,UNSAT,
lookahead_rv,add_compare_16,smt2,cadical,2,82,,T/O,T/O,UNSAT,
lookahead_rv,add_identity_32,smt2,cadical,1,97,,T/O,T/O,UNSAT,
lookahead_rv,add_identity_32,smt2,cadical,2,97,,T/O,T/O,UNSAT,
lookahead_rv,add_inverse_32,smt2,cadical,1,132,,T/O,T/O,UNSAT,
lookahead_rv,add_inverse_32,smt2,cadical,2,132,,T/O,T/O,UNSAT,
lookahead_rv,add_inverse_64,smt2,cadical,1,260,,T/O,T/O,UNSAT,
lookahead_rv,add_inverse_64,smt2,cadical,2,260,,T/O,T/O,UNSAT,
lookahead_rv,add_monotone_32,smt2,cadical,1,197,,T/O,T/O,UNSAT,
lookahead_rv,add_monotone_32,smt2,cadical,2,197,,T/O,T/O,UNSAT,
lookahead_rv,adder_chain_32,smt2,cadical,1,406,,T/O,T/O,UNSAT,
lookahead_rv,adder_chain_32,smt2,cadical,2,406,,T/O,T/O,UNSAT,
lookahead_rv,adder_equiv_16,smt2,cadical,1,146,,T/O,T/O,UNSAT,
lookahead_rv,adder_equiv_16,smt2,cadical,2,146,,T/O,T/O,UNSAT,
lookahead_rv,carry_chain_16,smt2,cadical,1,121,,T/O,T/O,UNSAT,
lookahead_rv,carry_chain_16,smt2,cadical,2,121,,T/O,T/O,UNSAT,
lookahead_rv,carry_chain_32,smt2,cadical,1,233,,T/O,T/O,UNSAT,
lookahead_rv,carry_chain_32,smt2,cadical,2,233,,T/O,T/O,UNSAT,
lookahead_rv,carry_chain_64,smt2,cadical,1,457,,T/O,T/O,UNSAT,
lookahead_rv,carry_chain_64,smt2,cadical,2,457,,T/O,T/O,UNSAT,
lookahead_rv,carry_propagation_32,smt2,cadical,1,166,,T/O,T/O,SAT,
lookahead_rv,carry_propagation_32,smt2,cadical,2,166,,T/O,T/O,SAT,
lookahead_rv,carry_save_equiv_8,smt2,cadical,1,65,,T/O,T/O,UNSAT,
lookahead_rv,carry_save_equiv_8,smt2,cadical,2,65,,T/O,T/O,UNSAT,
lookahead_rv,mul_by_shift_add_16,smt2,cadical,1,91,,T/O,T/O,UNSAT,
