config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
lookahead_xg,add_sat_200,c,cadical,1,,332205,0.0156641,0.0159342,SAT,
lookahead_xg,add_sat_200,c,cadical,2,,332205,0.0156817,0.0159527,SAT,
lookahead_xg,add_sat_2000,c,cadical,1,,3322005,0.179243,0.182027,SAT,
lookahead_xg,add_sat_2000,c,cadical,2,,3322005,0.180631,0.183386,SAT,
lookahead_xg,add_unsat_200,c,cadical,1,,399004,15.2599,15.4244,UNSAT,
lookahead_xg,add_unsat_200,c,cadical,2,,399004,15.2856,15.4501,UNSAT,
lookahead_xg,chain_sat_500,c,cadical,1,,3455009,0.0635605,0.0654931,SAT,
lookahead_xg,chain_sat_500,c,cadical,2,,3455009,0.0639451,0.0658739,SAT,
lookahead_xg,equiv_unsat_100,c,cadical,1,,189403,14.1426,14.2207,UNSAT,
lookahead_xg,equiv_unsat_100,c,cadical,2,,189403,13.9473,14.0257,UNSAT,
lookahead_xg,incr_sat_5000,c,cadical,1,,1295003,0.0436282,0.7341,SAT,
lookahead_xg,incr_sat_5000,c,cadical,2,,1295003,0.0420543,0.728841,SAT,
lookahead_xg,mixed_sat_500,c,cadical,1,,1952009,1.39461,1.39751,SAT,
lookahead_xg,mixed_sat_500,c,cadical,2,,1952009,1.41161,1.41451,SAT,
lookahead_xg,narrow_sat_10000,c,cadical,1,,4880005,2.7115e-05,0.00616056,UNSAT,
lookahead_xg,narrow_sat_10000,c,cadical,2,,4880005,2.7595e-05,0.00614558,UNSAT,
lookahead_xg,sub_sat_1000,c,cadical,1,,2132005,0.0248255,0.0279072,SAT,
lookahead_xg,sub_sat_1000,c,cadical,2,,2132005,0.024897,0.02802,SAT,
lookahead_xg,wide_sat_1000,c,cadical,1,,3325005,0.173984,0.176646,SAT,
lookahead_xg,wide_sat_1000,c,cadical,2,,3325005,0.174401,0.177128,SAT,
lookahead_xg,add_3operand_16,smt2,cadical,1,146,,T/O,T/O,UNSAT,
lookahead_xg,add_3operand_16,smt2,cadical,2,146,,T/O,T/O,UNSAT,
lookahead_xg,add_4operand_16,smt2,cadical,1,182,,T/O,T/O,UNSAT,
lookahead_xg,add_4operand_16,smt2,cadical,2,182,,T/O,T/O,UNSAT,
lookahead_xg,add_assoc_64,smt2,cadical,1,530,,T/O,T/O,UNSAT,
lookahead_xg,add_assoc_64,smt2,cadical,2,530,,T/O,T/O,UNSAT,
lookahead_xg,add_associative_32,smt2,cadical,1,274,,T/O,T/O,UNSAT,
lookahead_xg,add_associative_32,smt2,cadical,2,274,,T/O,T/O,UNSAT,
lookahead_xg,add_commutative_32,smt2,cadical,1,170,,T/O,T/O,UNSAT,
lookahead_xg,add_commutative_32,smt2,cadical,2,170,,T/O,T/O,UNSAT,
lookahead_xg,add_compare_16,smt2,cadical,1,82,,T/O,T/O,UNSAT,
lookahead_xg,add_compare_16,smt2,cadical,2,82,,T/O,T/O,UNSAT,
lookahead_xg,add_identity_32,smt2,cadical,1,97,,T/O,T/O,UNSAT,
lookahead_xg,add_identity_32,smt2,cadical,2,97,,T/O,T/O,UNSAT,
lookahead_xg,add_inverse_32,smt2,cadical,1,132,,T/O,T/O,UNSAT,
lookahead_xg,add_inverse_32,smt2,cadical,2,132,,T/O,T/O,UNSAT,
lookahead_xg,add_inverse_64,smt2,cadical,1,260,,T/O,T/O,UNSAT,
lookahead_xg,add_inverse_64,smt2,cadical,2,260,,T/O,T/O,UNSAT,
lookahead_xg,add_monotone_32,smt2,cadical,1,197,,T/O,T/O,UNSAT,
lookahead_xg,add_monotone_32,smt2,cadical,2,197,,T/O,T/O,UNSAT,
lookahead_xg,adder_chain_32,smt2,cadical,1,406,,T/O,T/O,UNSAT,
lookahead_xg,adder_chain_32,smt2,cadical,2,406,,T/O,T/O,UNSAT,
lookahead_xg,adder_equiv_16,smt2,cadical,1,146,,T/O,T/O,UNSAT,
lookahead_xg,adder_equiv_16,smt2,cadical,2,146,,T/O,T/O,UNSAT,
lookahead_xg,carry_chain_16,smt2,cadical,1,121,,T/O,T/O,UNSAT,
lookahead_xg,carry_chain_16,smt2,cadical,2,121,,T/O,T/O,UNSAT,
