config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
lookahead_xg_rv,add_sat_200,c,cadical,1,,332205,0.0156842,0.0157267,SAT,400
lookahead_xg_rv,add_sat_200,c,cadical,2,,332205,0.015562,0.0155883,SAT,400
lookahead_xg_rv,add_sat_2000,c,cadical,1,,3322005,0.295818,0.295851,SAT,4000
lookahead_xg_rv,add_sat_2000,c,cadical,2,,3322005,0.297871,0.297909,SAT,4000
lookahead_xg_rv,add_unsat_200,c,cadical,1,,,T/O,T/O,UNKNOWN,
lookahead_xg_rv,add_unsat_200,c,cadical,2,,,T/O,T/O,UNKNOWN,
lookahead_xg_rv,chain_sat_500,c,cadical,1,,3455006,4.80804,5.09309,SAT,3000
lookahead_xg_rv,chain_sat_500,c,cadical,2,,3455006,4.81187,5.09813,SAT,3000
lookahead_xg_rv,equiv_unsat_100,c,cadical,1,,,T/O,T/O,UNKNOWN,
lookahead_xg_rv,equiv_unsat_100,c,cadical,2,,,T/O,T/O,UNKNOWN,
lookahead_xg_rv,incr_sat_5000,c,cadical,1,,1295003,4.35973,4.58025,SAT,5000
lookahead_xg_rv,incr_sat_5000,c,cadical,2,,1295003,4.32322,4.54121,SAT,5000
lookahead_xg_rv,mixed_sat_500,c,cadical,1,,1952007,13.0979,13.2719,UNSAT,65000
lookahead_xg_rv,mixed_sat_500,c,cadical,2,,1952007,12.8672,13.0405,UNSAT,65000
lookahead_xg_rv,narrow_sat_10000,c,cadical,1,,4880005,0.00991892,0.00993801,UNSAT,
lookahead_xg_rv,narrow_sat_10000,c,cadical,2,,4880005,0.00986078,0.00987844,UNSAT,
lookahead_xg_rv,sub_sat_1000,c,cadical,1,,2132004,14.4916,14.6593,UNSAT,64000
lookahead_xg_rv,sub_sat_1000,c,cadical,2,,2132004,14.6718,14.8418,UNSAT,64000
lookahead_xg_rv,wide_sat_1000,c,cadical,1,,3325005,0.18918,0.189208,SAT,2000
lookahead_xg_rv,wide_sat_1000,c,cadical,2,,3325005,0.189652,0.189687,SAT,2000
lookahead_xg_rv,add_3operand_16,smt2,cadical,1,146,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_3operand_16,smt2,cadical,2,146,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_4operand_16,smt2,cadical,1,182,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_4operand_16,smt2,cadical,2,182,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_assoc_64,smt2,cadical,1,530,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_assoc_64,smt2,cadical,2,530,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_associative_32,smt2,cadical,1,274,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_associative_32,smt2,cadical,2,274,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_commutative_32,smt2,cadical,1,170,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_commutative_32,smt2,cadical,2,170,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_compare_16,smt2,cadical,1,82,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_compare_16,smt2,cadical,2,82,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_identity_32,smt2,cadical,1,97,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_identity_32,smt2,cadical,2,97,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_inverse_32,smt2,cadical,1,132,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_inverse_32,smt2,cadical,2,132,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_inverse_64,smt2,cadical,1,260,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_inverse_64,smt2,cadical,2,260,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_monotone_32,smt2,cadical,1,197,,T/O,T/O,UNSAT,
lookahead_xg_rv,add_monotone_32,smt2,cadical,2,197,,T/O,T/O,UNSAT,
lookahead_xg_rv,adder_chain_32,smt2,cadical,1,406,,T/O,T/O,UNSAT,
lookahead_xg_rv,adder_chain_32,smt2,cadical,2,406,,T/O,T/O,UNSAT,
lookahead_xg_rv,adder_equiv_16,smt2,cadical,1,146,,T/O,T/O,UNSAT,
lookahead_xg_rv,adder_equiv_16,smt2,cadical,2,146,,T/O,T/O,UNSAT,
lookahead_xg_rv,carry_chain_16,smt2,cadical,1,121,,T/O,T/O,UNSAT,
lookahead_xg_rv,carry_chain_16,smt2,cadical,2,121,,T/O,T/O,UNSAT,
lookahead_xg_rv,carry_chain_32,smt2,cadical,1,233,,T/O,T/O,UNSAT,
lookahead_xg_rv,carry_chain_32,smt2,cadical,2,233,,T/O,T/O,UNSAT,
lookahead_xg_rv,carry_chain_64,smt2,cadical,1,457,,T/O,T/O,UNSAT,
lookahead_xg_rv,carry_chain_64,smt2,cadical,2,457,,T/O,T/O,UNSAT,
lookahead_xg_rv,carry_propagation_32,smt2,cadical,1,166,,T/O,T/O,SAT,
lookahead_xg_rv,carry_propagation_32,smt2,cadical,2,166,,T/O,T/O,SAT,
lookahead_xg_rv,carry_save_equiv_8,smt2,cadical,1,65,,T/O,T/O,UNSAT,
lookahead_xg_rv,carry_save_equiv_8,smt2,cadical,2,65,,T/O,T/O,UNSAT,
lookahead_xg_rv,mul_by_shift_add_16,smt2,cadical,1,91,,T/O,T/O,UNSAT,
lookahead_xg_rv,mul_by_shift_add_16,smt2,cadical,2,91,,T/O,T/O,UNSAT,
lookahead_xg_rv,mul_by_shift_add_32,smt2,cadical,1,135,,T/O,T/O,UNSAT,
lookahead_xg_rv,mul_by_shift_add_32,smt2,cadical,2,135,,T/O,T/O,UNSAT,
lookahead_xg_rv,signed_overflow_32,smt2,cadical,1,197,,T/O,T/O,SAT,
lookahead_xg_rv,signed_overflow_32,smt2,cadical,2,197,,T/O,T/O,SAT,
lookahead_xg_rv,sub_as_add_32,smt2,cadical,1,232,,T/O,T/O,UNSAT,
lookahead_xg_rv,sub_as_add_32,smt2,cadical,2,232,,T/O,T/O,UNSAT,
lookahead_xg_rv,sub_self_32,smt2,cadical,1,70,,T/O,T/O,UNSAT,
lookahead_xg_rv,sub_self_32,smt2,cadical,2,70,,T/O,T/O,UNSAT,
lookahead_xg_rv,unsigned_no_overflow_small_16,smt2,cadical,1,101,,T/O,T/O,UNSAT,
lookahead_xg_rv,unsigned_no_overflow_small_16,smt2,cadical,2,101,,T/O,T/O,UNSAT,
lookahead_xg_rv,unsigned_overflow_16,smt2,cadical,1,101,,T/O,T/O,SAT,
lookahead_xg_rv,unsigned_overflow_16,smt2,cadical,2,101,,T/O,T/O,SAT,
