config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc,add_sat_200,c,cadical,1,,204605,0.00814805,0.00852875,SAT,
pc,add_sat_200,c,cadical,2,,204605,0.00798119,0.00835029,SAT,
pc,add_sat_2000,c,cadical,1,,2046005,0.133578,0.137912,SAT,
pc,add_sat_2000,c,cadical,2,,2046005,0.134891,0.139223,SAT,
pc,add_unsat_200,c,cadical,1,,271404,5.7278,5.83602,UNSAT,
pc,add_unsat_200,c,cadical,2,,271404,5.71242,5.82062,UNSAT,
pc,chain_sat_500,c,cadical,1,,2019509,0.0662345,0.0692471,SAT,
pc,chain_sat_500,c,cadical,2,,2019509,0.0675935,0.070652,SAT,
pc,distrib_unsat_20,c,cadical,1,,573909,0.282063,0.283207,SAT,
pc,distrib_unsat_20,c,cadical,2,,573909,0.282322,0.283468,SAT,
pc,equiv_unsat_100,c,cadical,1,,125403,7.8271,7.88092,UNSAT,
pc,equiv_unsat_100,c,cadical,2,,125403,7.90582,7.95972,UNSAT,
pc,incr_sat_5000,c,cadical,1,,1125003,0.0614905,0.661862,SAT,
pc,incr_sat_5000,c,cadical,2,,1125003,0.0607961,0.659093,SAT,
pc,mixed_sat_500,c,cadical,1,,1314009,1.35556,1.35901,SAT,
pc,mixed_sat_500,c,cadical,2,,1314009,1.35213,1.35558,SAT,
pc,narrow_sat_10000,c,cadical,1,,2660004,2.7842e-05,0.00462414,UNSAT,
pc,narrow_sat_10000,c,cadical,2,,2660004,2.6286e-05,0.00461782,UNSAT,
pc,overflow_sat_200,c,cadical,1,,986906,0.0636529,0.0656243,SAT,
pc,overflow_sat_200,c,cadical,2,,986906,0.0641066,0.0660172,SAT,
pc,sub_sat_1000,c,cadical,1,,1494005,0.0337479,0.0378389,SAT,
pc,sub_sat_1000,c,cadical,2,,1494005,0.0339651,0.0380867,SAT,
pc,wide_sat_1000,c,cadical,1,,2047005,0.130942,0.13523,SAT,
pc,wide_sat_1000,c,cadical,2,,2047005,0.132179,0.136603,SAT,
pc,add_3operand_16,smt2,cadical,1,194,,2.1987e-05,2.1987e-05,UNSAT,
pc,add_3operand_16,smt2,cadical,2,194,,1.9357e-05,1.9357e-05,UNSAT,
pc,add_4operand_16,smt2,cadical,1,242,,1.6504e-05,1.6504e-05,UNSAT,
pc,add_4operand_16,smt2,cadical,2,242,,1.6191e-05,1.6191e-05,UNSAT,
pc,add_assoc_64,smt2,cadical,1,770,,1.7279e-05,1.7279e-05,UNSAT,
pc,add_assoc_64,smt2,cadical,2,770,,1.4564e-05,1.4564e-05,UNSAT,
pc,add_associative_32,smt2,cadical,1,386,,1.783e-05,1.783e-05,UNSAT,
pc,add_associative_32,smt2,cadical,2,386,,1.5343e-05,1.5343e-05,UNSAT,
pc,add_commutative_32,smt2,cadical,1,226,,1.6685e-05,1.6685e-05,UNSAT,
pc,add_commutative_32,smt2,cadical,2,226,,1.3969e-05,1.3969e-05,UNSAT,
pc,add_compare_16,smt2,cadical,1,96,,1.5708e-05,1.5708e-05,UNSAT,
pc,add_compare_16,smt2,cadical,2,96,,1.5566e-05,1.5566e-05,UNSAT,
pc,add_identity_32,smt2,cadical,1,33,,1.6557e-05,1.6557e-05,UNSAT,
pc,add_identity_32,smt2,cadical,2,33,,1.7615e-05,1.7615e-05,UNSAT,
pc,add_inverse_32,smt2,cadical,1,158,,1.8103e-05,1.8103e-05,UNSAT,
pc,add_inverse_32,smt2,cadical,2,158,,1.7173e-05,1.7173e-05,UNSAT,
pc,add_inverse_64,smt2,cadical,1,318,,2.0067e-05,2.0067e-05,UNSAT,
pc,add_inverse_64,smt2,cadical,2,318,,2.0809e-05,2.0809e-05,UNSAT,
pc,add_monotone_32,smt2,cadical,1,225,,1.8371e-05,1.8371e-05,UNSAT,
pc,add_monotone_32,smt2,cadical,2,225,,1.8103e-05,1.8103e-05,UNSAT,
pc,adder_chain_32,smt2,cadical,1,545,,1.8535e-05,1.8535e-05,UNSAT,
pc,adder_chain_32,smt2,cadical,2,545,,1.737e-05,1.737e-05,UNSAT,
pc,adder_equiv_16,smt2,cadical,1,194,,1.5846e-05,1.5846e-05,UNSAT,
pc,adder_equiv_16,smt2,cadical,2,194,,1.5944e-05,1.5944e-05,UNSAT,
pc,carry_chain_16,smt2,cadical,1,144,,1.8288e-05,1.8288e-05,UNSAT,
pc,carry_chain_16,smt2,cadical,2,144,,1.8274e-05,1.8274e-05,UNSAT,
