config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_cadical,add_sat_200,c,cadical,1,,204605,0.0080451,0.00838831,SAT,
pc_cadical,add_sat_200,c,cadical,2,,204605,0.00810492,0.00844491,SAT,
pc_cadical,add_sat_2000,c,cadical,1,,2046005,0.13588,0.140251,SAT,
pc_cadical,add_sat_2000,c,cadical,2,,2046005,0.136019,0.140468,SAT,
pc_cadical,add_unsat_200,c,cadical,1,,271404,5.66941,5.77757,UNSAT,
pc_cadical,add_unsat_200,c,cadical,2,,271404,5.73589,5.84448,UNSAT,
pc_cadical,chain_sat_500,c,cadical,1,,2019509,0.0671771,0.0702581,SAT,
pc_cadical,chain_sat_500,c,cadical,2,,2019509,0.0671529,0.0701868,SAT,
pc_cadical,distrib_unsat_20,c,cadical,1,,573909,0.283884,0.285011,SAT,
pc_cadical,distrib_unsat_20,c,cadical,2,,573909,0.287177,0.288323,SAT,
pc_cadical,equiv_unsat_100,c,cadical,1,,125403,7.81789,7.87117,UNSAT,
pc_cadical,equiv_unsat_100,c,cadical,2,,125403,7.73807,7.79142,UNSAT,
pc_cadical,incr_sat_5000,c,cadical,1,,1125003,0.0609405,0.659097,SAT,
pc_cadical,incr_sat_5000,c,cadical,2,,1125003,0.0607613,0.660224,SAT,
pc_cadical,mixed_sat_500,c,cadical,1,,1314009,1.34405,1.34737,SAT,
pc_cadical,mixed_sat_500,c,cadical,2,,1314009,1.34514,1.34849,SAT,
pc_cadical,narrow_sat_10000,c,cadical,1,,2660004,2.4237e-05,0.00458999,UNSAT,
pc_cadical,narrow_sat_10000,c,cadical,2,,2660004,2.5863e-05,0.0046637,UNSAT,
pc_cadical,overflow_sat_200,c,cadical,1,,986906,0.0636163,0.0656278,SAT,
pc_cadical,overflow_sat_200,c,cadical,2,,986906,0.0645394,0.0665108,SAT,
pc_cadical,sub_sat_1000,c,cadical,1,,1494005,0.0341601,0.0381449,SAT,
pc_cadical,sub_sat_1000,c,cadical,2,,1494005,0.0340263,0.0380646,SAT,
pc_cadical,wide_sat_1000,c,cadical,1,,2047005,0.13211,0.136527,SAT,
pc_cadical,wide_sat_1000,c,cadical,2,,2047005,0.129137,0.13351,SAT,
pc_cadical,add_3operand_16,smt2,cadical,1,194,,1.963e-05,1.963e-05,UNSAT,
pc_cadical,add_3operand_16,smt2,cadical,2,194,,1.7701e-05,1.7701e-05,UNSAT,
pc_cadical,add_4operand_16,smt2,cadical,1,242,,1.8054e-05,1.8054e-05,UNSAT,
pc_cadical,add_4operand_16,smt2,cadical,2,242,,1.7993e-05,1.7993e-05,UNSAT,
pc_cadical,add_assoc_64,smt2,cadical,1,770,,1.5077e-05,1.5077e-05,UNSAT,
pc_cadical,add_assoc_64,smt2,cadical,2,770,,1.7361e-05,1.7361e-05,UNSAT,
pc_cadical,add_associative_32,smt2,cadical,1,386,,1.8913e-05,1.8913e-05,UNSAT,
pc_cadical,add_associative_32,smt2,cadical,2,386,,1.6974e-05,1.6974e-05,UNSAT,
pc_cadical,add_commutative_32,smt2,cadical,1,226,,1.6615e-05,1.6615e-05,UNSAT,
pc_cadical,add_commutative_32,smt2,cadical,2,226,,1.591e-05,1.591e-05,UNSAT,
pc_cadical,add_compare_16,smt2,cadical,1,96,,1.499e-05,1.499e-05,UNSAT,
pc_cadical,add_compare_16,smt2,cadical,2,96,,1.8088e-05,1.8088e-05,UNSAT,
pc_cadical,add_identity_32,smt2,cadical,1,33,,1.5123e-05,1.5123e-05,UNSAT,
pc_cadical,add_identity_32,smt2,cadical,2,33,,1.5318e-05,1.5318e-05,UNSAT,
pc_cadical,add_inverse_32,smt2,cadical,1,158,,1.7556e-05,1.7556e-05,UNSAT,
pc_cadical,add_inverse_32,smt2,cadical,2,158,,1.6737e-05,1.6737e-05,UNSAT,
pc_cadical,add_inverse_64,smt2,cadical,1,318,,2.0127e-05,2.0127e-05,UNSAT,
pc_cadical,add_inverse_64,smt2,cadical,2,318,,1.9684e-05,1.9684e-05,UNSAT,
pc_cadical,add_monotone_32,smt2,cadical,1,225,,1.8491e-05,1.8491e-05,UNSAT,
pc_cadical,add_monotone_32,smt2,cadical,2,225,,1.6673e-05,1.6673e-05,UNSAT,
pc_cadical,adder_chain_32,smt2,cadical,1,545,,1.6446e-05,1.6446e-05,UNSAT,
pc_cadical,adder_chain_32,smt2,cadical,2,545,,1.6677e-05,1.6677e-05,UNSAT,
pc_cadical,adder_equiv_16,smt2,cadical,1,194,,1.5714e-05,1.5714e-05,UNSAT,
pc_cadical,adder_equiv_16,smt2,cadical,2,194,,1.5553e-05,1.5553e-05,UNSAT,
pc_cadical,carry_chain_16,smt2,cadical,1,144,,1.7736e-05,1.7736e-05,UNSAT,
pc_cadical,carry_chain_16,smt2,cadical,2,144,,1.611e-05,1.611e-05,UNSAT,
pc_cadical,carry_chain_32,smt2,cadical,1,288,,1.547e-05,1.547e-05,UNSAT,
pc_cadical,carry_chain_32,smt2,cadical,2,288,,1.7474e-05,1.7474e-05,UNSAT,
pc_cadical,carry_chain_64,smt2,cadical,1,576,,1.3634e-05,1.3634e-05,UNSAT,
pc_cadical,carry_chain_64,smt2,cadical,2,576,,1.3829e-05,1.3829e-05,UNSAT,
pc_cadical,carry_propagation_32,smt2,cadical,1,194,,1.6453e-05,1.6453e-05,SAT,
pc_cadical,carry_propagation_32,smt2,cadical,2,194,,1.7037e-05,1.7037e-05,SAT,
pc_cadical,carry_save_equiv_8,smt2,cadical,1,72,,1.5292e-05,1.5292e-05,UNSAT,
pc_cadical,carry_save_equiv_8,smt2,cadical,2,72,,1.5464e-05,1.5464e-05,UNSAT,
pc_cadical,mul_by_shift_add_16,smt2,cadical,1,123,,1.7064e-05,1.7064e-05,UNSAT,
pc_cadical,mul_by_shift_add_16,smt2,cadical,2,123,,1.7256e-05,1.7256e-05,UNSAT,
pc_cadical,mul_by_shift_add_32,smt2,cadical,1,184,,1.7238e-05,1.7238e-05,UNSAT,
pc_cadical,mul_by_shift_add_32,smt2,cadical,2,184,,1.7472e-05,1.7472e-05,UNSAT,
pc_cadical,signed_overflow_32,smt2,cadical,1,225,,1.783e-05,1.783e-05,SAT,
pc_cadical,signed_overflow_32,smt2,cadical,2,225,,1.7455e-05,1.7455e-05,SAT,
pc_cadical,sub_as_add_32,smt2,cadical,1,288,,1.5625e-05,1.5625e-05,UNSAT,
pc_cadical,sub_as_add_32,smt2,cadical,2,288,,3.5417e-05,3.5417e-05,UNSAT,
pc_cadical,sub_self_32,smt2,cadical,1,97,,1.6882e-05,1.6882e-05,UNSAT,
pc_cadical,sub_self_32,smt2,cadical,2,97,,1.7682e-05,1.7682e-05,UNSAT,
pc_cadical,unsigned_no_overflow_small_16,smt2,cadical,1,113,,1.4951e-05,1.4951e-05,UNSAT,
pc_cadical,unsigned_no_overflow_small_16,smt2,cadical,2,113,,1.68e-05,1.68e-05,UNSAT,
pc_cadical,unsigned_overflow_16,smt2,cadical,1,113,,1.5223e-05,1.5223e-05,SAT,
