config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_cadical_rv,add_sat_200,c,cadical,1,,204605,0.0212881,0.0214267,SAT,
pc_cadical_rv,add_sat_200,c,cadical,2,,204605,0.0212278,0.0213978,SAT,
pc_cadical_rv,add_sat_2000,c,cadical,1,,2046005,0.331924,0.333102,SAT,
pc_cadical_rv,add_sat_2000,c,cadical,2,,2046005,0.330489,0.331733,SAT,
pc_cadical_rv,add_unsat_200,c,cadical,1,,271404,5.70898,5.72624,UNSAT,
pc_cadical_rv,add_unsat_200,c,cadical,2,,271404,5.7892,5.80661,UNSAT,
pc_cadical_rv,chain_sat_500,c,cadical,1,,2019509,0.305449,0.306419,SAT,
pc_cadical_rv,chain_sat_500,c,cadical,2,,2019509,0.303869,0.304851,SAT,
pc_cadical_rv,distrib_unsat_20,c,cadical,1,,573909,0.0769837,0.0773347,SAT,
pc_cadical_rv,distrib_unsat_20,c,cadical,2,,573909,0.0759622,0.0763211,SAT,
pc_cadical_rv,equiv_unsat_100,c,cadical,1,,125403,4.38503,4.39389,UNSAT,
pc_cadical_rv,equiv_unsat_100,c,cadical,2,,125403,4.34688,4.35565,UNSAT,
pc_cadical_rv,incr_sat_5000,c,cadical,1,,1125003,0.46903,0.621932,SAT,
pc_cadical_rv,incr_sat_5000,c,cadical,2,,1125003,0.465058,0.615371,SAT,
pc_cadical_rv,mixed_sat_500,c,cadical,1,,1314010,0.532596,0.533349,SAT,
pc_cadical_rv,mixed_sat_500,c,cadical,2,,1314010,0.533191,0.533995,SAT,
pc_cadical_rv,narrow_sat_10000,c,cadical,1,,2660004,0.00832065,0.00833697,UNSAT,
pc_cadical_rv,narrow_sat_10000,c,cadical,2,,2660004,0.00842084,0.00843698,UNSAT,
pc_cadical_rv,overflow_sat_200,c,cadical,1,,986906,0.0184419,0.0189153,SAT,
pc_cadical_rv,overflow_sat_200,c,cadical,2,,986906,0.0186452,0.0191174,SAT,
pc_cadical_rv,sub_sat_1000,c,cadical,1,,1494005,0.0329662,0.0339407,SAT,
pc_cadical_rv,sub_sat_1000,c,cadical,2,,1494005,0.0327889,0.0337451,SAT,
pc_cadical_rv,wide_sat_1000,c,cadical,1,,2047005,0.326125,0.327308,SAT,
pc_cadical_rv,wide_sat_1000,c,cadical,2,,2047005,0.32939,0.330578,SAT,
pc_cadical_rv,add_3operand_16,smt2,cadical,1,194,,2.0139e-05,2.0139e-05,UNSAT,
pc_cadical_rv,add_3operand_16,smt2,cadical,2,194,,2.0561e-05,2.0561e-05,UNSAT,
pc_cadical_rv,add_4operand_16,smt2,cadical,1,242,,1.5802e-05,1.5802e-05,UNSAT,
pc_cadical_rv,add_4operand_16,smt2,cadical,2,242,,1.6411e-05,1.6411e-05,UNSAT,
pc_cadical_rv,add_assoc_64,smt2,cadical,1,770,,1.4888e-05,1.4888e-05,UNSAT,
pc_cadical_rv,add_assoc_64,smt2,cadical,2,770,,1.5917e-05,1.5917e-05,UNSAT,
pc_cadical_rv,add_associative_32,smt2,cadical,1,386,,1.5779e-05,1.5779e-05,UNSAT,
pc_cadical_rv,add_associative_32,smt2,cadical,2,386,,1.895e-05,1.895e-05,UNSAT,
pc_cadical_rv,add_commutative_32,smt2,cadical,1,226,,1.3671e-05,1.3671e-05,UNSAT,
pc_cadical_rv,add_commutative_32,smt2,cadical,2,226,,1.397e-05,1.397e-05,UNSAT,
pc_cadical_rv,add_compare_16,smt2,cadical,1,96,,1.7544e-05,1.7544e-05,UNSAT,
pc_cadical_rv,add_compare_16,smt2,cadical,2,96,,1.7685e-05,1.7685e-05,UNSAT,
pc_cadical_rv,add_identity_32,smt2,cadical,1,33,,1.7424e-05,1.7424e-05,UNSAT,
pc_cadical_rv,add_identity_32,smt2,cadical,2,33,,1.6896e-05,1.6896e-05,UNSAT,
pc_cadical_rv,add_inverse_32,smt2,cadical,1,158,,1.5146e-05,1.5146e-05,UNSAT,
pc_cadical_rv,add_inverse_32,smt2,cadical,2,158,,1.5794e-05,1.5794e-05,UNSAT,
pc_cadical_rv,add_inverse_64,smt2,cadical,1,318,,2.0334e-05,2.0334e-05,UNSAT,
pc_cadical_rv,add_inverse_64,smt2,cadical,2,318,,1.7396e-05,1.7396e-05,UNSAT,
pc_cadical_rv,add_monotone_32,smt2,cadical,1,225,,1.7362e-05,1.7362e-05,UNSAT,
pc_cadical_rv,add_monotone_32,smt2,cadical,2,225,,1.8586e-05,1.8586e-05,UNSAT,
pc_cadical_rv,adder_chain_32,smt2,cadical,1,545,,1.9277e-05,1.9277e-05,UNSAT,
pc_cadical_rv,adder_chain_32,smt2,cadical,2,545,,1.6886e-05,1.6886e-05,UNSAT,
pc_cadical_rv,adder_equiv_16,smt2,cadical,1,194,,1.8009e-05,1.8009e-05,UNSAT,
pc_cadical_rv,adder_equiv_16,smt2,cadical,2,194,,1.5523e-05,1.5523e-05,UNSAT,
pc_cadical_rv,carry_chain_16,smt2,cadical,1,144,,1.5339e-05,1.5339e-05,UNSAT,
pc_cadical_rv,carry_chain_16,smt2,cadical,2,144,,1.7166e-05,1.7166e-05,UNSAT,
pc_cadical_rv,carry_chain_32,smt2,cadical,1,288,,1.7099e-05,1.7099e-05,UNSAT,
pc_cadical_rv,carry_chain_32,smt2,cadical,2,288,,1.7261e-05,1.7261e-05,UNSAT,
pc_cadical_rv,carry_chain_64,smt2,cadical,1,576,,1.6447e-05,1.6447e-05,UNSAT,
pc_cadical_rv,carry_chain_64,smt2,cadical,2,576,,1.6155e-05,1.6155e-05,UNSAT,
pc_cadical_rv,carry_propagation_32,smt2,cadical,1,194,,1.7577e-05,1.7577e-05,SAT,
pc_cadical_rv,carry_propagation_32,smt2,cadical,2,194,,1.7914e-05,1.7914e-05,SAT,
pc_cadical_rv,carry_save_equiv_8,smt2,cadical,1,72,,1.7666e-05,1.7666e-05,UNSAT,
pc_cadical_rv,carry_save_equiv_8,smt2,cadical,2,72,,1.7392e-05,1.7392e-05,UNSAT,
pc_cadical_rv,mul_by_shift_add_16,smt2,cadical,1,123,,1.7886e-05,1.7886e-05,UNSAT,
pc_cadical_rv,mul_by_shift_add_16,smt2,cadical,2,123,,1.7625e-05,1.7625e-05,UNSAT,
pc_cadical_rv,mul_by_shift_add_32,smt2,cadical,1,184,,1.7439e-05,1.7439e-05,UNSAT,
pc_cadical_rv,mul_by_shift_add_32,smt2,cadical,2,184,,1.7616e-05,1.7616e-05,UNSAT,
pc_cadical_rv,signed_overflow_32,smt2,cadical,1,225,,1.7722e-05,1.7722e-05,SAT,
pc_cadical_rv,signed_overflow_32,smt2,cadical,2,225,,1.7589e-05,1.7589e-05,SAT,
pc_cadical_rv,sub_as_add_32,smt2,cadical,1,288,,1.64e-05,1.64e-05,UNSAT,
pc_cadical_rv,sub_as_add_32,smt2,cadical,2,288,,1.5323e-05,1.5323e-05,UNSAT,
pc_cadical_rv,sub_self_32,smt2,cadical,1,97,,1.6562e-05,1.6562e-05,UNSAT,
pc_cadical_rv,sub_self_32,smt2,cadical,2,97,,1.4618e-05,1.4618e-05,UNSAT,
pc_cadical_rv,unsigned_no_overflow_small_16,smt2,cadical,1,113,,1.4751e-05,1.4751e-05,UNSAT,
pc_cadical_rv,unsigned_no_overflow_small_16,smt2,cadical,2,113,,1.7049e-05,1.7049e-05,UNSAT,
pc_cadical_rv,unsigned_overflow_16,smt2,cadical,1,113,,1.5853e-05,1.5853e-05,SAT,
pc_cadical_rv,unsigned_overflow_16,smt2,cadical,2,113,,1.719e-05,1.719e-05,SAT,
