config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_cadical_xg,add_sat_200,c,cadical,1,,204604,0.351448,0.427867,UNSAT,800
pc_cadical_xg,add_sat_200,c,cadical,2,,204604,0.352914,0.428905,UNSAT,800
pc_cadical_xg,add_sat_2000,c,cadical,1,,,T/O,T/O,UNKNOWN,
pc_cadical_xg,add_sat_2000,c,cadical,2,,,T/O,T/O,UNKNOWN,
pc_cadical_xg,add_unsat_200,c,cadical,1,,271404,0.497603,0.604259,UNSAT,800
pc_cadical_xg,add_unsat_200,c,cadical,2,,271404,0.499001,0.60704,UNSAT,800
pc_cadical_xg,chain_sat_500,c,cadical,1,,2019506,3.31212,4.03312,UNSAT,7500
pc_cadical_xg,chain_sat_500,c,cadical,2,,2019506,3.3331,4.0519,UNSAT,7500
pc_cadical_xg,distrib_unsat_20,c,cadical,1,,573907,1.12956,1.32785,UNSAT,10060
pc_cadical_xg,distrib_unsat_20,c,cadical,2,,573907,1.14691,1.34382,UNSAT,10060
pc_cadical_xg,equiv_unsat_100,c,cadical,1,,125403,0.460479,0.514236,UNSAT,6600
pc_cadical_xg,equiv_unsat_100,c,cadical,2,,125403,0.452494,0.506023,UNSAT,6600
pc_cadical_xg,incr_sat_5000,c,cadical,1,,1125003,T/O,T/O,UNKNOWN,
pc_cadical_xg,incr_sat_5000,c,cadical,2,,1125003,T/O,T/O,UNKNOWN,
pc_cadical_xg,mixed_sat_500,c,cadical,1,,,T/O,T/O,UNKNOWN,
pc_cadical_xg,mixed_sat_500,c,cadical,2,,,T/O,T/O,UNKNOWN,
pc_cadical_xg,narrow_sat_10000,c,cadical,1,,2660004,3.199e-05,0.012566,UNSAT,20000
pc_cadical_xg,narrow_sat_10000,c,cadical,2,,2660004,2.9395e-05,0.0124207,UNSAT,20000
pc_cadical_xg,overflow_sat_200,c,cadical,1,,986904,1.65599,2.04726,UNSAT,2800
pc_cadical_xg,overflow_sat_200,c,cadical,2,,986904,1.65211,2.04044,UNSAT,2800
