config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_cadical_xg_rv,add_sat_200,c,cadical,1,,204605,0.0390672,0.0390893,SAT,800
pc_cadical_xg_rv,add_sat_200,c,cadical,2,,204605,0.0383633,0.0383866,SAT,800
pc_cadical_xg_rv,add_sat_2000,c,cadical,1,,2046004,T/O,T/O,UNKNOWN,8000
pc_cadical_xg_rv,add_sat_2000,c,cadical,2,,2046004,T/O,T/O,UNKNOWN,8000
pc_cadical_xg_rv,add_unsat_200,c,cadical,1,,,T/O,T/O,UNKNOWN,
pc_cadical_xg_rv,add_unsat_200,c,cadical,2,,,T/O,T/O,UNKNOWN,
pc_cadical_xg_rv,chain_sat_500,c,cadical,1,,2019506,5.47156,5.56292,UNSAT,7500
pc_cadical_xg_rv,chain_sat_500,c,cadical,2,,2019506,5.50292,5.59522,UNSAT,7500
pc_cadical_xg_rv,distrib_unsat_20,c,cadical,1,,573907,1.33473,1.36537,UNSAT,10060
pc_cadical_xg_rv,distrib_unsat_20,c,cadical,2,,573907,1.32047,1.35086,UNSAT,10060
pc_cadical_xg_rv,equiv_unsat_100,c,cadical,1,,125403,0.432864,0.441558,UNSAT,6600
pc_cadical_xg_rv,equiv_unsat_100,c,cadical,2,,125403,0.436863,0.445629,UNSAT,6600
pc_cadical_xg_rv,incr_sat_5000,c,cadical,1,,1125003,T/O,T/O,UNKNOWN,
pc_cadical_xg_rv,incr_sat_5000,c,cadical,2,,1125003,T/O,T/O,UNKNOWN,
pc_cadical_xg_rv,mixed_sat_500,c,cadical,1,,1314007,39.7713,39.8689,UNSAT,67000
pc_cadical_xg_rv,mixed_sat_500,c,cadical,2,,1314007,39.5196,39.616,UNSAT,67000
pc_cadical_xg_rv,narrow_sat_10000,c,cadical,1,,2660004,0.0183485,0.0183642,UNSAT,20000
pc_cadical_xg_rv,narrow_sat_10000,c,cadical,2,,2660004,0.0186337,0.0186499,UNSAT,20000
pc_cadical_xg_rv,overflow_sat_200,c,cadical,1,,986904,2.79899,2.85965,UNSAT,2800
pc_cadical_xg_rv,overflow_sat_200,c,cadical,2,,986904,2.80126,2.86156,UNSAT,2800
pc_cadical_xg_rv,sub_sat_1000,c,cadical,1,,1494004,T/O,T/O,UNKNOWN,66000
pc_cadical_xg_rv,sub_sat_1000,c,cadical,2,,1494004,T/O,T/O,UNKNOWN,66000
pc_cadical_xg_rv,wide_sat_1000,c,cadical,1,,2047004,36.1985,36.3218,SAT,4000
pc_cadical_xg_rv,wide_sat_1000,c,cadical,2,,2047004,35.9289,36.0517,SAT,4000
pc_cadical_xg_rv,add_3operand_16,smt2,cadical,1,194,,2.1566e-05,2.1566e-05,UNSAT,
pc_cadical_xg_rv,add_3operand_16,smt2,cadical,2,194,,2.0573e-05,2.0573e-05,UNSAT,
pc_cadical_xg_rv,add_4operand_16,smt2,cadical,1,242,,1.8337e-05,1.8337e-05,UNSAT,
pc_cadical_xg_rv,add_4operand_16,smt2,cadical,2,242,,1.6659e-05,1.6659e-05,UNSAT,
pc_cadical_xg_rv,add_assoc_64,smt2,cadical,1,770,,1.7368e-05,1.7368e-05,UNSAT,
pc_cadical_xg_rv,add_assoc_64,smt2,cadical,2,770,,1.5875e-05,1.5875e-05,UNSAT,
pc_cadical_xg_rv,add_associative_32,smt2,cadical,1,386,,1.825e-05,1.825e-05,UNSAT,
pc_cadical_xg_rv,add_associative_32,smt2,cadical,2,386,,1.9106e-05,1.9106e-05,UNSAT,
pc_cadical_xg_rv,add_commutative_32,smt2,cadical,1,226,,1.6588e-05,1.6588e-05,UNSAT,
pc_cadical_xg_rv,add_commutative_32,smt2,cadical,2,226,,1.6179e-05,1.6179e-05,UNSAT,
pc_cadical_xg_rv,add_compare_16,smt2,cadical,1,96,,1.5691e-05,1.5691e-05,UNSAT,
pc_cadical_xg_rv,add_compare_16,smt2,cadical,2,96,,1.7867e-05,1.7867e-05,UNSAT,
pc_cadical_xg_rv,add_identity_32,smt2,cadical,1,33,,1.7705e-05,1.7705e-05,UNSAT,
pc_cadical_xg_rv,add_identity_32,smt2,cadical,2,33,,1.8022e-05,1.8022e-05,UNSAT,
pc_cadical_xg_rv,add_inverse_32,smt2,cadical,1,158,,7.4038e-05,7.4038e-05,UNSAT,
pc_cadical_xg_rv,add_inverse_32,smt2,cadical,2,158,,1.5805e-05,1.5805e-05,UNSAT,
pc_cadical_xg_rv,add_inverse_64,smt2,cadical,1,318,,1.8154e-05,1.8154e-05,UNSAT,
pc_cadical_xg_rv,add_inverse_64,smt2,cadical,2,318,,3.5213e-05,3.5213e-05,UNSAT,
pc_cadical_xg_rv,add_monotone_32,smt2,cadical,1,225,,1.8629e-05,1.8629e-05,UNSAT,
