config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_full,add_sat_200,c,cadical,1,,204605,0.00799703,0.00838541,SAT,
pc_full,add_sat_200,c,cadical,2,,204605,0.00794984,0.00830718,SAT,
pc_full,add_sat_2000,c,cadical,1,,2046005,0.134324,0.138685,SAT,
pc_full,add_sat_2000,c,cadical,2,,2046005,0.134505,0.138795,SAT,
pc_full,add_unsat_200,c,cadical,1,,271404,5.72585,5.83427,UNSAT,
pc_full,add_unsat_200,c,cadical,2,,271404,5.67156,5.77933,UNSAT,
pc_full,chain_sat_500,c,cadical,1,,2019509,0.0672372,0.0702459,SAT,
pc_full,chain_sat_500,c,cadical,2,,2019509,0.0666951,0.0696703,SAT,
pc_full,equiv_unsat_100,c,cadical,1,,125403,7.87912,7.9333,UNSAT,
pc_full,equiv_unsat_100,c,cadical,2,,125403,7.72683,7.78062,UNSAT,
pc_full,incr_sat_5000,c,cadical,1,,1125003,0.0611956,0.660286,SAT,
pc_full,incr_sat_5000,c,cadical,2,,1125003,0.0605026,0.66065,SAT,
pc_full,mixed_sat_500,c,cadical,1,,1314009,1.35298,1.35632,SAT,
pc_full,mixed_sat_500,c,cadical,2,,1314009,1.36395,1.36731,SAT,
pc_full,narrow_sat_10000,c,cadical,1,,2660004,2.4864e-05,0.00455138,UNSAT,
pc_full,narrow_sat_10000,c,cadical,2,,2660004,2.8099e-05,0.0045869,UNSAT,
pc_full,sub_sat_1000,c,cadical,1,,1494005,0.0341827,0.0381556,SAT,
pc_full,sub_sat_1000,c,cadical,2,,1494005,0.0341653,0.0381854,SAT,
pc_full,wide_sat_1000,c,cadical,1,,2047005,0.129071,0.133402,SAT,
pc_full,wide_sat_1000,c,cadical,2,,2047005,0.131326,0.135708,SAT,
pc_full,add_3operand_16,smt2,cadical,1,194,,1.9706e-05,1.9706e-05,UNSAT,
pc_full,add_3operand_16,smt2,cadical,2,194,,1.9338e-05,1.9338e-05,UNSAT,
pc_full,add_4operand_16,smt2,cadical,1,242,,1.6667e-05,1.6667e-05,UNSAT,
pc_full,add_4operand_16,smt2,cadical,2,242,,1.8114e-05,1.8114e-05,UNSAT,
pc_full,add_assoc_64,smt2,cadical,1,770,,1.523e-05,1.523e-05,UNSAT,
pc_full,add_assoc_64,smt2,cadical,2,770,,1.8019e-05,1.8019e-05,UNSAT,
pc_full,add_associative_32,smt2,cadical,1,386,,1.889e-05,1.889e-05,UNSAT,
pc_full,add_associative_32,smt2,cadical,2,386,,1.6414e-05,1.6414e-05,UNSAT,
pc_full,add_commutative_32,smt2,cadical,1,226,,1.425e-05,1.425e-05,UNSAT,
pc_full,add_commutative_32,smt2,cadical,2,226,,1.6062e-05,1.6062e-05,UNSAT,
pc_full,add_compare_16,smt2,cadical,1,96,,1.7745e-05,1.7745e-05,UNSAT,
pc_full,add_compare_16,smt2,cadical,2,96,,1.7873e-05,1.7873e-05,UNSAT,
pc_full,add_identity_32,smt2,cadical,1,33,,3.2281e-05,3.2281e-05,UNSAT,
pc_full,add_identity_32,smt2,cadical,2,33,,1.6964e-05,1.6964e-05,UNSAT,
pc_full,add_inverse_32,smt2,cadical,1,158,,1.5108e-05,1.5108e-05,UNSAT,
pc_full,add_inverse_32,smt2,cadical,2,158,,1.7626e-05,1.7626e-05,UNSAT,
pc_full,add_inverse_64,smt2,cadical,1,318,,2.1129e-05,2.1129e-05,UNSAT,
pc_full,add_inverse_64,smt2,cadical,2,318,,3.9045e-05,3.9045e-05,UNSAT,
pc_full,add_monotone_32,smt2,cadical,1,225,,1.8659e-05,1.8659e-05,UNSAT,
pc_full,add_monotone_32,smt2,cadical,2,225,,1.6997e-05,1.6997e-05,UNSAT,
pc_full,adder_chain_32,smt2,cadical,1,545,,1.8938e-05,1.8938e-05,UNSAT,
