config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_minisat,add_sat_200,c,minisat2,1,,204604,0.272541,0.333282,SAT,
pc_minisat,add_sat_200,c,minisat2,2,,204604,0.27253,0.332428,SAT,
pc_minisat,add_sat_2000,c,minisat2,1,,2046004,3.60608,4.23619,SAT,
pc_minisat,add_sat_2000,c,minisat2,2,,2046004,3.60606,4.23723,SAT,
pc_minisat,add_unsat_200,c,minisat2,1,,270404,3.85836,3.94054,UNSAT,
pc_minisat,add_unsat_200,c,minisat2,2,,270404,3.8468,3.92932,UNSAT,
pc_minisat,chain_sat_500,c,minisat2,1,,1604506,0.0383028,0.0383318,SAT,
pc_minisat,chain_sat_500,c,minisat2,2,,1604506,0.0374673,0.0374972,SAT,
pc_minisat,distrib_unsat_20,c,minisat2,1,,495407,0.424176,0.581413,SAT,
pc_minisat,distrib_unsat_20,c,minisat2,2,,495407,0.425714,0.582831,SAT,
pc_minisat,equiv_unsat_100,c,minisat2,1,,125402,6.63626,6.67476,UNSAT,
pc_minisat,equiv_unsat_100,c,minisat2,2,,125402,6.61031,6.64871,UNSAT,
pc_minisat,incr_sat_5000,c,minisat2,1,,1125002,0.818007,1.28226,SAT,
pc_minisat,incr_sat_5000,c,minisat2,2,,1125002,0.813382,1.2738,SAT,
pc_minisat,mixed_sat_500,c,minisat2,1,,1033508,9.64222,10.0655,SAT,
pc_minisat,mixed_sat_500,c,minisat2,2,,1033508,9.80578,10.2317,SAT,
pc_minisat,narrow_sat_10000,c,minisat2,1,,2,9.846e-06,2.0414e-05,UNSAT,
pc_minisat,narrow_sat_10000,c,minisat2,2,,2,9.991e-06,2.2506e-05,UNSAT,
pc_minisat,overflow_sat_200,c,minisat2,1,,779549,0.0743732,0.0744068,SAT,
pc_minisat,overflow_sat_200,c,minisat2,2,,779549,0.0734558,0.0734868,SAT,
pc_minisat,sub_sat_1000,c,minisat2,1,,1494004,13.6184,14.0777,SAT,
pc_minisat,sub_sat_1000,c,minisat2,2,,1494004,13.8472,14.3078,SAT,
pc_minisat,wide_sat_1000,c,minisat2,1,,2047004,3.54907,4.14834,SAT,
pc_minisat,wide_sat_1000,c,minisat2,2,,2047004,3.52573,4.11886,SAT,
pc_minisat,add_3operand_16,smt2,minisat2,1,194,,3.6412e-05,3.6412e-05,UNSAT,
pc_minisat,add_3operand_16,smt2,minisat2,2,194,,1.6489e-05,1.6489e-05,UNSAT,
pc_minisat,add_4operand_16,smt2,minisat2,1,242,,1.6192e-05,1.6192e-05,UNSAT,
pc_minisat,add_4operand_16,smt2,minisat2,2,242,,1.8715e-05,1.8715e-05,UNSAT,
pc_minisat,add_assoc_64,smt2,minisat2,1,770,,1.5189e-05,1.5189e-05,UNSAT,
pc_minisat,add_assoc_64,smt2,minisat2,2,770,,1.7516e-05,1.7516e-05,UNSAT,
pc_minisat,add_associative_32,smt2,minisat2,1,386,,1.7391e-05,1.7391e-05,UNSAT,
pc_minisat,add_associative_32,smt2,minisat2,2,386,,1.863e-05,1.863e-05,UNSAT,
pc_minisat,add_commutative_32,smt2,minisat2,1,226,,1.7065e-05,1.7065e-05,UNSAT,
pc_minisat,add_commutative_32,smt2,minisat2,2,226,,1.9698e-05,1.9698e-05,UNSAT,
pc_minisat,add_compare_16,smt2,minisat2,1,96,,1.5883e-05,1.5883e-05,UNSAT,
pc_minisat,add_compare_16,smt2,minisat2,2,96,,1.7527e-05,1.7527e-05,UNSAT,
pc_minisat,add_identity_32,smt2,minisat2,1,33,,1.7704e-05,1.7704e-05,UNSAT,
pc_minisat,add_identity_32,smt2,minisat2,2,33,,1.5116e-05,1.5116e-05,UNSAT,
pc_minisat,add_inverse_32,smt2,minisat2,1,158,,1.8285e-05,1.8285e-05,UNSAT,
pc_minisat,add_inverse_32,smt2,minisat2,2,158,,1.7707e-05,1.7707e-05,UNSAT,
pc_minisat,add_inverse_64,smt2,minisat2,1,318,,1.8351e-05,1.8351e-05,UNSAT,
pc_minisat,add_inverse_64,smt2,minisat2,2,318,,1.7319e-05,1.7319e-05,UNSAT,
pc_minisat,add_monotone_32,smt2,minisat2,1,225,,1.8542e-05,1.8542e-05,UNSAT,
pc_minisat,add_monotone_32,smt2,minisat2,2,225,,1.5771e-05,1.5771e-05,UNSAT,
pc_minisat,adder_chain_32,smt2,minisat2,1,545,,1.9427e-05,1.9427e-05,UNSAT,
pc_minisat,adder_chain_32,smt2,minisat2,2,545,,3.2626e-05,3.2626e-05,UNSAT,
pc_minisat,adder_equiv_16,smt2,minisat2,1,194,,1.7919e-05,1.7919e-05,UNSAT,
pc_minisat,adder_equiv_16,smt2,minisat2,2,194,,1.7761e-05,1.7761e-05,UNSAT,
pc_minisat,carry_chain_16,smt2,minisat2,1,144,,1.59e-05,1.59e-05,UNSAT,
pc_minisat,carry_chain_16,smt2,minisat2,2,144,,1.4895e-05,1.4895e-05,UNSAT,
pc_minisat,carry_chain_32,smt2,minisat2,1,288,,1.5516e-05,1.5516e-05,UNSAT,
pc_minisat,carry_chain_32,smt2,minisat2,2,288,,1.4685e-05,1.4685e-05,UNSAT,
pc_minisat,carry_chain_64,smt2,minisat2,1,576,,1.5616e-05,1.5616e-05,UNSAT,
pc_minisat,carry_chain_64,smt2,minisat2,2,576,,1.627e-05,1.627e-05,UNSAT,
pc_minisat,carry_propagation_32,smt2,minisat2,1,194,,1.5319e-05,1.5319e-05,SAT,
pc_minisat,carry_propagation_32,smt2,minisat2,2,194,,1.5636e-05,1.5636e-05,SAT,
pc_minisat,carry_save_equiv_8,smt2,minisat2,1,72,,1.5096e-05,1.5096e-05,UNSAT,
pc_minisat,carry_save_equiv_8,smt2,minisat2,2,72,,1.7241e-05,1.7241e-05,UNSAT,
pc_minisat,mul_by_shift_add_16,smt2,minisat2,1,123,,1.5618e-05,1.5618e-05,UNSAT,
pc_minisat,mul_by_shift_add_16,smt2,minisat2,2,123,,1.6988e-05,1.6988e-05,UNSAT,
pc_minisat,mul_by_shift_add_32,smt2,minisat2,1,184,,3.4775e-05,3.4775e-05,UNSAT,
pc_minisat,mul_by_shift_add_32,smt2,minisat2,2,184,,1.8236e-05,1.8236e-05,UNSAT,
pc_minisat,signed_overflow_32,smt2,minisat2,1,225,,1.8391e-05,1.8391e-05,SAT,
pc_minisat,signed_overflow_32,smt2,minisat2,2,225,,1.7782e-05,1.7782e-05,SAT,
pc_minisat,sub_as_add_32,smt2,minisat2,1,288,,3.5275e-05,3.5275e-05,UNSAT,
pc_minisat,sub_as_add_32,smt2,minisat2,2,288,,1.8212e-05,1.8212e-05,UNSAT,
pc_minisat,sub_self_32,smt2,minisat2,1,97,,1.8238e-05,1.8238e-05,UNSAT,
pc_minisat,sub_self_32,smt2,minisat2,2,97,,1.5512e-05,1.5512e-05,UNSAT,
pc_minisat,unsigned_no_overflow_small_16,smt2,minisat2,1,113,,1.7886e-05,1.7886e-05,UNSAT,
pc_minisat,unsigned_no_overflow_small_16,smt2,minisat2,2,113,,1.7995e-05,1.7995e-05,UNSAT,
pc_minisat,unsigned_overflow_16,smt2,minisat2,1,113,,1.5633e-05,1.5633e-05,SAT,
pc_minisat,unsigned_overflow_16,smt2,minisat2,2,113,,1.5672e-05,1.5672e-05,SAT,
