config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_rv,add_sat_200,c,cadical,1,,204605,0.0211511,0.0212918,SAT,
pc_rv,add_sat_200,c,cadical,2,,204605,0.0210066,0.0211656,SAT,
pc_rv,add_sat_2000,c,cadical,1,,2046005,0.335011,0.336256,SAT,
pc_rv,add_sat_2000,c,cadical,2,,2046005,0.331857,0.333091,SAT,
pc_rv,add_unsat_200,c,cadical,1,,271404,5.75995,5.77711,UNSAT,
pc_rv,add_unsat_200,c,cadical,2,,271404,5.78549,5.80257,UNSAT,
pc_rv,chain_sat_500,c,cadical,1,,2019509,0.305483,0.306453,SAT,
pc_rv,chain_sat_500,c,cadical,2,,2019509,0.306757,0.307756,SAT,
pc_rv,equiv_unsat_100,c,cadical,1,,125403,4.34844,4.35727,UNSAT,
pc_rv,equiv_unsat_100,c,cadical,2,,125403,4.32667,4.33543,UNSAT,
pc_rv,incr_sat_5000,c,cadical,1,,1125003,0.463752,0.61443,SAT,
pc_rv,incr_sat_5000,c,cadical,2,,1125003,0.466322,0.617898,SAT,
pc_rv,mixed_sat_500,c,cadical,1,,1314010,0.52912,0.529916,SAT,
pc_rv,mixed_sat_500,c,cadical,2,,1314010,0.530216,0.530971,SAT,
pc_rv,narrow_sat_10000,c,cadical,1,,2660004,0.00847948,0.00849569,UNSAT,
pc_rv,narrow_sat_10000,c,cadical,2,,2660004,0.00840064,0.00841767,UNSAT,
pc_rv,sub_sat_1000,c,cadical,1,,1494005,0.0327824,0.0337737,SAT,
pc_rv,sub_sat_1000,c,cadical,2,,1494005,0.0323393,0.0332949,SAT,
pc_rv,wide_sat_1000,c,cadical,1,,2047005,0.327688,0.32889,SAT,
pc_rv,wide_sat_1000,c,cadical,2,,2047005,0.325981,0.327192,SAT,
pc_rv,add_3operand_16,smt2,cadical,1,194,,T/O,T/O,UNSAT,
pc_rv,add_3operand_16,smt2,cadical,2,194,,T/O,T/O,UNSAT,
pc_rv,add_4operand_16,smt2,cadical,1,242,,T/O,T/O,UNSAT,
pc_rv,add_4operand_16,smt2,cadical,2,242,,T/O,T/O,UNSAT,
pc_rv,add_assoc_64,smt2,cadical,1,770,,T/O,T/O,UNSAT,
pc_rv,add_assoc_64,smt2,cadical,2,770,,T/O,T/O,UNSAT,
pc_rv,add_associative_32,smt2,cadical,1,386,,T/O,T/O,UNSAT,
pc_rv,add_associative_32,smt2,cadical,2,386,,T/O,T/O,UNSAT,
pc_rv,add_commutative_32,smt2,cadical,1,226,,T/O,T/O,UNSAT,
pc_rv,add_commutative_32,smt2,cadical,2,226,,T/O,T/O,UNSAT,
pc_rv,add_compare_16,smt2,cadical,1,96,,T/O,T/O,UNSAT,
pc_rv,add_compare_16,smt2,cadical,2,96,,T/O,T/O,UNSAT,
pc_rv,add_identity_32,smt2,cadical,1,33,,T/O,T/O,UNSAT,
pc_rv,add_identity_32,smt2,cadical,2,33,,T/O,T/O,UNSAT,
pc_rv,add_inverse_32,smt2,cadical,1,158,,T/O,T/O,UNSAT,
pc_rv,add_inverse_32,smt2,cadical,2,158,,T/O,T/O,UNSAT,
pc_rv,add_inverse_64,smt2,cadical,1,318,,T/O,T/O,UNSAT,
