config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_rv_full,add_sat_200,c,cadical,1,,204605,0.0216583,0.0217984,SAT,
pc_rv_full,add_sat_200,c,cadical,2,,204605,0.0217099,0.0218842,SAT,
pc_rv_full,add_sat_2000,c,cadical,1,,2046005,0.332316,0.333501,SAT,
pc_rv_full,add_sat_2000,c,cadical,2,,2046005,0.331226,0.332474,SAT,
pc_rv_full,add_unsat_200,c,cadical,1,,271404,5.77157,5.78884,UNSAT,
pc_rv_full,add_unsat_200,c,cadical,2,,271404,5.74701,5.7644,UNSAT,
pc_rv_full,chain_sat_500,c,cadical,1,,2019509,0.306617,0.30757,SAT,
pc_rv_full,chain_sat_500,c,cadical,2,,2019509,0.30727,0.308229,SAT,
pc_rv_full,equiv_unsat_100,c,cadical,1,,125403,4.31426,4.32328,UNSAT,
pc_rv_full,equiv_unsat_100,c,cadical,2,,125403,4.31562,4.32448,UNSAT,
pc_rv_full,incr_sat_5000,c,cadical,1,,1125003,0.463324,0.612874,SAT,
pc_rv_full,incr_sat_5000,c,cadical,2,,1125003,0.461881,0.612793,SAT,
pc_rv_full,mixed_sat_500,c,cadical,1,,1314010,0.532633,0.533426,SAT,
pc_rv_full,mixed_sat_500,c,cadical,2,,1314010,0.536851,0.537623,SAT,
pc_rv_full,narrow_sat_10000,c,cadical,1,,2660004,0.00837676,0.00839351,UNSAT,
pc_rv_full,narrow_sat_10000,c,cadical,2,,2660004,0.00834936,0.00836572,UNSAT,
pc_rv_full,sub_sat_1000,c,cadical,1,,1494005,0.0327392,0.0337448,SAT,
pc_rv_full,sub_sat_1000,c,cadical,2,,1494005,0.0324681,0.0334397,SAT,
pc_rv_full,wide_sat_1000,c,cadical,1,,2047005,0.322463,0.323672,SAT,
pc_rv_full,wide_sat_1000,c,cadical,2,,2047005,0.328894,0.330071,SAT,
pc_rv_full,add_3operand_16,smt2,cadical,1,194,,2.1776e-05,2.1776e-05,UNSAT,
pc_rv_full,add_3operand_16,smt2,cadical,2,194,,1.9132e-05,1.9132e-05,UNSAT,
pc_rv_full,add_4operand_16,smt2,cadical,1,242,,1.9176e-05,1.9176e-05,UNSAT,
pc_rv_full,add_4operand_16,smt2,cadical,2,242,,1.6574e-05,1.6574e-05,UNSAT,
pc_rv_full,add_assoc_64,smt2,cadical,1,770,,1.4184e-05,1.4184e-05,UNSAT,
pc_rv_full,add_assoc_64,smt2,cadical,2,770,,1.7101e-05,1.7101e-05,UNSAT,
pc_rv_full,add_associative_32,smt2,cadical,1,386,,1.7879e-05,1.7879e-05,UNSAT,
pc_rv_full,add_associative_32,smt2,cadical,2,386,,1.7911e-05,1.7911e-05,UNSAT,
pc_rv_full,add_commutative_32,smt2,cadical,1,226,,1.5558e-05,1.5558e-05,UNSAT,
pc_rv_full,add_commutative_32,smt2,cadical,2,226,,1.4705e-05,1.4705e-05,UNSAT,
pc_rv_full,add_compare_16,smt2,cadical,1,96,,1.52e-05,1.52e-05,UNSAT,
pc_rv_full,add_compare_16,smt2,cadical,2,96,,1.778e-05,1.778e-05,UNSAT,
pc_rv_full,add_identity_32,smt2,cadical,1,33,,1.7039e-05,1.7039e-05,UNSAT,
pc_rv_full,add_identity_32,smt2,cadical,2,33,,1.7088e-05,1.7088e-05,UNSAT,
pc_rv_full,add_inverse_32,smt2,cadical,1,158,,1.7887e-05,1.7887e-05,UNSAT,
pc_rv_full,add_inverse_32,smt2,cadical,2,158,,1.6093e-05,1.6093e-05,UNSAT,
pc_rv_full,add_inverse_64,smt2,cadical,1,318,,1.807e-05,1.807e-05,UNSAT,
pc_rv_full,add_inverse_64,smt2,cadical,2,318,,1.803e-05,1.803e-05,UNSAT,
pc_rv_full,add_monotone_32,smt2,cadical,1,225,,1.8036e-05,1.8036e-05,UNSAT,
pc_rv_full,add_monotone_32,smt2,cadical,2,225,,1.9095e-05,1.9095e-05,UNSAT,
pc_rv_full,adder_chain_32,smt2,cadical,1,545,,1.6887e-05,1.6887e-05,UNSAT,
pc_rv_full,adder_chain_32,smt2,cadical,2,545,,1.6415e-05,1.6415e-05,UNSAT,
pc_rv_full,adder_equiv_16,smt2,cadical,1,194,,1.4943e-05,1.4943e-05,UNSAT,
pc_rv_full,adder_equiv_16,smt2,cadical,2,194,,1.6208e-05,1.6208e-05,UNSAT,
pc_rv_full,carry_chain_16,smt2,cadical,1,144,,1.5503e-05,1.5503e-05,UNSAT,
pc_rv_full,carry_chain_16,smt2,cadical,2,144,,1.5293e-05,1.5293e-05,UNSAT,
pc_rv_full,carry_chain_32,smt2,cadical,1,288,,1.8128e-05,1.8128e-05,UNSAT,
pc_rv_full,carry_chain_32,smt2,cadical,2,288,,1.8348e-05,1.8348e-05,UNSAT,
pc_rv_full,carry_chain_64,smt2,cadical,1,576,,1.6306e-05,1.6306e-05,UNSAT,
pc_rv_full,carry_chain_64,smt2,cadical,2,576,,1.6377e-05,1.6377e-05,UNSAT,
pc_rv_full,carry_propagation_32,smt2,cadical,1,194,,1.6068e-05,1.6068e-05,SAT,
pc_rv_full,carry_propagation_32,smt2,cadical,2,194,,1.8381e-05,1.8381e-05,SAT,
pc_rv_full,carry_save_equiv_8,smt2,cadical,1,72,,1.8189e-05,1.8189e-05,UNSAT,
pc_rv_full,carry_save_equiv_8,smt2,cadical,2,72,,1.4859e-05,1.4859e-05,UNSAT,
pc_rv_full,mul_by_shift_add_16,smt2,cadical,1,123,,1.5174e-05,1.5174e-05,UNSAT,
pc_rv_full,mul_by_shift_add_16,smt2,cadical,2,123,,1.551e-05,1.551e-05,UNSAT,
pc_rv_full,mul_by_shift_add_32,smt2,cadical,1,184,,1.726e-05,1.726e-05,UNSAT,
pc_rv_full,mul_by_shift_add_32,smt2,cadical,2,184,,1.6863e-05,1.6863e-05,UNSAT,
pc_rv_full,signed_overflow_32,smt2,cadical,1,225,,1.8157e-05,1.8157e-05,SAT,
pc_rv_full,signed_overflow_32,smt2,cadical,2,225,,1.8134e-05,1.8134e-05,SAT,
pc_rv_full,sub_as_add_32,smt2,cadical,1,288,,1.7833e-05,1.7833e-05,UNSAT,
pc_rv_full,sub_as_add_32,smt2,cadical,2,288,,1.7313e-05,1.7313e-05,UNSAT,
pc_rv_full,sub_self_32,smt2,cadical,1,97,,1.773e-05,1.773e-05,UNSAT,
pc_rv_full,sub_self_32,smt2,cadical,2,97,,1.5982e-05,1.5982e-05,UNSAT,
pc_rv_full,unsigned_no_overflow_small_16,smt2,cadical,1,113,,1.5756e-05,1.5756e-05,UNSAT,
pc_rv_full,unsigned_no_overflow_small_16,smt2,cadical,2,113,,1.7994e-05,1.7994e-05,UNSAT,
pc_rv_full,unsigned_overflow_16,smt2,cadical,1,113,,1.786e-05,1.786e-05,SAT,
pc_rv_full,unsigned_overflow_16,smt2,cadical,2,113,,1.7733e-05,1.7733e-05,SAT,
