config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_xg,add_sat_200,c,cadical,1,,204604,0.424277,0.503756,UNSAT,12800
pc_xg,add_sat_200,c,cadical,2,,204604,0.407876,0.48657,UNSAT,12800
pc_xg,add_sat_2000,c,cadical,1,,2046004,38.7201,39.5243,UNSAT,128000
pc_xg,add_sat_2000,c,cadical,2,,2046004,37.43,38.2307,UNSAT,128000
pc_xg,add_unsat_200,c,cadical,1,,271404,0.595792,0.704888,UNSAT,12800
pc_xg,add_unsat_200,c,cadical,2,,271404,0.607863,0.718602,UNSAT,12800
pc_xg,chain_sat_500,c,cadical,1,,2019506,T/O,T/O,UNKNOWN,
pc_xg,chain_sat_500,c,cadical,2,,2019506,T/O,T/O,UNKNOWN,
pc_xg,equiv_unsat_100,c,cadical,1,,125403,0.185576,0.239524,UNSAT,6400
pc_xg,equiv_unsat_100,c,cadical,2,,125403,0.183933,0.237798,UNSAT,6400
pc_xg,incr_sat_5000,c,cadical,1,,1125003,T/O,T/O,UNKNOWN,
pc_xg,incr_sat_5000,c,cadical,2,,1125003,T/O,T/O,UNKNOWN,
pc_xg,mixed_sat_500,c,cadical,1,,1314007,12.0859,12.6513,UNSAT,64000
pc_xg,mixed_sat_500,c,cadical,2,,1314007,11.9078,12.4874,UNSAT,64000
pc_xg,narrow_sat_10000,c,cadical,1,,2660003,T/O,T/O,UNKNOWN,
pc_xg,narrow_sat_10000,c,cadical,2,,2660003,T/O,T/O,UNKNOWN,
pc_xg,sub_sat_1000,c,cadical,1,,1494004,12.1275,12.7229,UNSAT,64000
pc_xg,sub_sat_1000,c,cadical,2,,1494004,11.5366,12.1295,UNSAT,64000
pc_xg,wide_sat_1000,c,cadical,1,,2047004,36.6946,37.4609,UNSAT,128000
pc_xg,wide_sat_1000,c,cadical,2,,2047004,38.2789,39.0507,UNSAT,128000
pc_xg,add_3operand_16,smt2,cadical,1,194,,T/O,T/O,UNSAT,
pc_xg,add_3operand_16,smt2,cadical,2,194,,T/O,T/O,UNSAT,
pc_xg,add_4operand_16,smt2,cadical,1,242,,T/O,T/O,UNSAT,
pc_xg,add_4operand_16,smt2,cadical,2,242,,T/O,T/O,UNSAT,
pc_xg,add_assoc_64,smt2,cadical,1,770,,T/O,T/O,UNSAT,
