config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_xg_full,add_sat_200,c,cadical,1,,204604,0.356921,0.432803,UNSAT,800
pc_xg_full,add_sat_200,c,cadical,2,,204604,0.352788,0.428592,UNSAT,800
pc_xg_full,add_sat_2000,c,cadical,1,,,T/O,T/O,UNKNOWN,
pc_xg_full,add_sat_2000,c,cadical,2,,,T/O,T/O,UNKNOWN,
pc_xg_full,add_unsat_200,c,cadical,1,,271404,0.498684,0.607543,UNSAT,800
pc_xg_full,add_unsat_200,c,cadical,2,,271404,0.501762,0.610042,UNSAT,800
pc_xg_full,chain_sat_500,c,cadical,1,,2019506,3.3229,4.03898,UNSAT,7500
pc_xg_full,chain_sat_500,c,cadical,2,,2019506,3.33446,4.05217,UNSAT,7500
pc_xg_full,equiv_unsat_100,c,cadical,1,,125403,0.434127,0.491033,UNSAT,6600
pc_xg_full,equiv_unsat_100,c,cadical,2,,125403,0.4566,0.509779,UNSAT,6600
pc_xg_full,incr_sat_5000,c,cadical,1,,1125003,T/O,T/O,UNKNOWN,
pc_xg_full,incr_sat_5000,c,cadical,2,,1125003,T/O,T/O,UNKNOWN,
pc_xg_full,mixed_sat_500,c,cadical,1,,,T/O,T/O,UNKNOWN,
pc_xg_full,mixed_sat_500,c,cadical,2,,,T/O,T/O,UNKNOWN,
pc_xg_full,narrow_sat_10000,c,cadical,1,,2660004,2.6996e-05,0.0122423,UNSAT,20000
pc_xg_full,narrow_sat_10000,c,cadical,2,,2660004,2.8965e-05,0.012211,UNSAT,20000
pc_xg_full,sub_sat_1000,c,cadical,1,,1494004,13.1797,13.7706,UNSAT,66000
pc_xg_full,sub_sat_1000,c,cadical,2,,1494004,13.2566,13.8468,UNSAT,66000
pc_xg_full,wide_sat_1000,c,cadical,1,,,T/O,T/O,UNKNOWN,
pc_xg_full,wide_sat_1000,c,cadical,2,,,T/O,T/O,UNKNOWN,
pc_xg_full,add_3operand_16,smt2,cadical,1,194,,2.2347e-05,2.2347e-05,UNSAT,
pc_xg_full,add_3operand_16,smt2,cadical,2,194,,1.7317e-05,1.7317e-05,UNSAT,
pc_xg_full,add_4operand_16,smt2,cadical,1,242,,1.8322e-05,1.8322e-05,UNSAT,
pc_xg_full,add_4operand_16,smt2,cadical,2,242,,1.737e-05,1.737e-05,UNSAT,
pc_xg_full,add_assoc_64,smt2,cadical,1,770,,1.5041e-05,1.5041e-05,UNSAT,
pc_xg_full,add_assoc_64,smt2,cadical,2,770,,1.6701e-05,1.6701e-05,UNSAT,
pc_xg_full,add_associative_32,smt2,cadical,1,386,,1.6218e-05,1.6218e-05,UNSAT,
pc_xg_full,add_associative_32,smt2,cadical,2,386,,1.5993e-05,1.5993e-05,UNSAT,
pc_xg_full,add_commutative_32,smt2,cadical,1,226,,1.5737e-05,1.5737e-05,UNSAT,
pc_xg_full,add_commutative_32,smt2,cadical,2,226,,1.3608e-05,1.3608e-05,UNSAT,
pc_xg_full,add_compare_16,smt2,cadical,1,96,,1.5445e-05,1.5445e-05,UNSAT,
pc_xg_full,add_compare_16,smt2,cadical,2,96,,1.5465e-05,1.5465e-05,UNSAT,
pc_xg_full,add_identity_32,smt2,cadical,1,33,,1.7097e-05,1.7097e-05,UNSAT,
pc_xg_full,add_identity_32,smt2,cadical,2,33,,1.6753e-05,1.6753e-05,UNSAT,
pc_xg_full,add_inverse_32,smt2,cadical,1,158,,1.7938e-05,1.7938e-05,UNSAT,
pc_xg_full,add_inverse_32,smt2,cadical,2,158,,1.4967e-05,1.4967e-05,UNSAT,
pc_xg_full,add_inverse_64,smt2,cadical,1,318,,1.9961e-05,1.9961e-05,UNSAT,
pc_xg_full,add_inverse_64,smt2,cadical,2,318,,1.9923e-05,1.9923e-05,UNSAT,
pc_xg_full,add_monotone_32,smt2,cadical,1,225,,1.7634e-05,1.7634e-05,UNSAT,
pc_xg_full,add_monotone_32,smt2,cadical,2,225,,1.8647e-05,1.8647e-05,UNSAT,
pc_xg_full,adder_chain_32,smt2,cadical,1,545,,1.8702e-05,1.8702e-05,UNSAT,
pc_xg_full,adder_chain_32,smt2,cadical,2,545,,1.8709e-05,1.8709e-05,UNSAT,
pc_xg_full,adder_equiv_16,smt2,cadical,1,194,,1.5055e-05,1.5055e-05,UNSAT,
pc_xg_full,adder_equiv_16,smt2,cadical,2,194,,1.7686e-05,1.7686e-05,UNSAT,
pc_xg_full,carry_chain_16,smt2,cadical,1,144,,1.6967e-05,1.6967e-05,UNSAT,
pc_xg_full,carry_chain_16,smt2,cadical,2,144,,1.696e-05,1.696e-05,UNSAT,
pc_xg_full,carry_chain_32,smt2,cadical,1,288,,1.7345e-05,1.7345e-05,UNSAT,
pc_xg_full,carry_chain_32,smt2,cadical,2,288,,1.5607e-05,1.5607e-05,UNSAT,
pc_xg_full,carry_chain_64,smt2,cadical,1,576,,1.5447e-05,1.5447e-05,UNSAT,
pc_xg_full,carry_chain_64,smt2,cadical,2,576,,1.6469e-05,1.6469e-05,UNSAT,
pc_xg_full,carry_propagation_32,smt2,cadical,1,194,,1.8355e-05,1.8355e-05,SAT,
pc_xg_full,carry_propagation_32,smt2,cadical,2,194,,1.5804e-05,1.5804e-05,SAT,
