config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_xg_lazy5000,add_sat_200,c,cadical,1,,204605,0.0157477,0.0161281,SAT,12800
pc_xg_lazy5000,add_sat_200,c,cadical,2,,204605,0.0158534,0.01624,SAT,12800
pc_xg_lazy5000,add_sat_2000,c,cadical,1,,2046005,0.221846,0.225581,SAT,128000
pc_xg_lazy5000,add_sat_2000,c,cadical,2,,2046005,0.224282,0.228022,SAT,128000
pc_xg_lazy5000,add_unsat_200,c,cadical,1,,271404,2.2387,2.34955,UNSAT,12800
pc_xg_lazy5000,add_unsat_200,c,cadical,2,,271404,2.18628,2.29652,UNSAT,12800
pc_xg_lazy5000,chain_sat_500,c,cadical,1,,2019506,T/O,T/O,UNKNOWN,
pc_xg_lazy5000,chain_sat_500,c,cadical,2,,2019506,T/O,T/O,UNKNOWN,
pc_xg_lazy5000,equiv_unsat_100,c,cadical,1,,125403,1.25407,1.30792,UNSAT,6400
pc_xg_lazy5000,equiv_unsat_100,c,cadical,2,,125403,1.25906,1.3127,UNSAT,6400
pc_xg_lazy5000,incr_sat_5000,c,cadical,1,,1125003,T/O,T/O,UNKNOWN,
pc_xg_lazy5000,incr_sat_5000,c,cadical,2,,1125003,T/O,T/O,UNKNOWN,
pc_xg_lazy5000,mixed_sat_500,c,cadical,1,,1314010,8.84029,8.84299,UNSAT,64000
pc_xg_lazy5000,mixed_sat_500,c,cadical,2,,1314010,8.82547,8.82817,UNSAT,64000
pc_xg_lazy5000,narrow_sat_10000,c,cadical,1,,2660003,T/O,T/O,UNKNOWN,
pc_xg_lazy5000,narrow_sat_10000,c,cadical,2,,2660003,T/O,T/O,UNKNOWN,
pc_xg_lazy5000,sub_sat_1000,c,cadical,1,,1494004,12.6523,13.2432,UNSAT,64000
pc_xg_lazy5000,sub_sat_1000,c,cadical,2,,1494004,13.1607,13.7526,UNSAT,64000
pc_xg_lazy5000,wide_sat_1000,c,cadical,1,,2047005,0.291382,0.295225,SAT,128000
pc_xg_lazy5000,wide_sat_1000,c,cadical,2,,2047005,0.297818,0.301757,SAT,128000
pc_xg_lazy5000,add_3operand_16,smt2,cadical,1,194,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_3operand_16,smt2,cadical,2,194,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_4operand_16,smt2,cadical,1,242,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_4operand_16,smt2,cadical,2,242,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_assoc_64,smt2,cadical,1,770,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_assoc_64,smt2,cadical,2,770,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_associative_32,smt2,cadical,1,386,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_associative_32,smt2,cadical,2,386,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_commutative_32,smt2,cadical,1,226,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_commutative_32,smt2,cadical,2,226,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_compare_16,smt2,cadical,1,96,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_compare_16,smt2,cadical,2,96,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_identity_32,smt2,cadical,1,33,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_identity_32,smt2,cadical,2,33,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_inverse_32,smt2,cadical,1,158,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_inverse_32,smt2,cadical,2,158,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_inverse_64,smt2,cadical,1,318,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_inverse_64,smt2,cadical,2,318,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_monotone_32,smt2,cadical,1,225,,T/O,T/O,UNSAT,
pc_xg_lazy5000,add_monotone_32,smt2,cadical,2,225,,T/O,T/O,UNSAT,
pc_xg_lazy5000,adder_chain_32,smt2,cadical,1,545,,T/O,T/O,UNSAT,
pc_xg_lazy5000,adder_chain_32,smt2,cadical,2,545,,T/O,T/O,UNSAT,
pc_xg_lazy5000,adder_equiv_16,smt2,cadical,1,194,,T/O,T/O,UNSAT,
pc_xg_lazy5000,adder_equiv_16,smt2,cadical,2,194,,T/O,T/O,UNSAT,
pc_xg_lazy5000,carry_chain_16,smt2,cadical,1,144,,T/O,T/O,UNSAT,
pc_xg_lazy5000,carry_chain_16,smt2,cadical,2,144,,T/O,T/O,UNSAT,
pc_xg_lazy5000,carry_chain_32,smt2,cadical,1,288,,T/O,T/O,UNSAT,
