config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_xg_rv,add_sat_200,c,cadical,1,,204605,0.0385668,0.0385906,SAT,800
pc_xg_rv,add_sat_200,c,cadical,2,,204605,0.0391263,0.0391501,SAT,800
pc_xg_rv,add_sat_2000,c,cadical,1,,2046004,T/O,T/O,UNKNOWN,8000
pc_xg_rv,add_sat_2000,c,cadical,2,,2046004,T/O,T/O,UNKNOWN,8000
pc_xg_rv,add_unsat_200,c,cadical,1,,,T/O,T/O,UNKNOWN,
pc_xg_rv,add_unsat_200,c,cadical,2,,,T/O,T/O,UNKNOWN,
pc_xg_rv,chain_sat_500,c,cadical,1,,2019506,5.44128,5.53305,UNSAT,7500
pc_xg_rv,chain_sat_500,c,cadical,2,,2019506,5.60671,5.69933,UNSAT,7500
pc_xg_rv,equiv_unsat_100,c,cadical,1,,125403,0.437229,0.446048,UNSAT,6600
pc_xg_rv,equiv_unsat_100,c,cadical,2,,125403,0.434721,0.443427,UNSAT,6600
pc_xg_rv,incr_sat_5000,c,cadical,1,,1125003,T/O,T/O,UNKNOWN,
pc_xg_rv,incr_sat_5000,c,cadical,2,,1125003,T/O,T/O,UNKNOWN,
pc_xg_rv,mixed_sat_500,c,cadical,1,,1314007,38.5804,38.6754,UNSAT,67000
pc_xg_rv,mixed_sat_500,c,cadical,2,,1314007,38.7676,38.8637,UNSAT,67000
pc_xg_rv,narrow_sat_10000,c,cadical,1,,2660004,0.0183893,0.0184058,UNSAT,20000
pc_xg_rv,narrow_sat_10000,c,cadical,2,,2660004,0.0184178,0.0184341,UNSAT,20000
pc_xg_rv,sub_sat_1000,c,cadical,1,,1494004,T/O,T/O,UNKNOWN,66000
pc_xg_rv,sub_sat_1000,c,cadical,2,,1494004,T/O,T/O,UNKNOWN,66000
pc_xg_rv,wide_sat_1000,c,cadical,1,,2047004,35.9287,36.0515,SAT,4000
pc_xg_rv,wide_sat_1000,c,cadical,2,,2047004,36.2344,36.3577,SAT,4000
pc_xg_rv,add_3operand_16,smt2,cadical,1,194,,T/O,T/O,UNSAT,
pc_xg_rv,add_3operand_16,smt2,cadical,2,194,,T/O,T/O,UNSAT,
pc_xg_rv,add_4operand_16,smt2,cadical,1,242,,T/O,T/O,UNSAT,
pc_xg_rv,add_4operand_16,smt2,cadical,2,242,,T/O,T/O,UNSAT,
pc_xg_rv,add_assoc_64,smt2,cadical,1,770,,T/O,T/O,UNSAT,
pc_xg_rv,add_assoc_64,smt2,cadical,2,770,,T/O,T/O,UNSAT,
pc_xg_rv,add_associative_32,smt2,cadical,1,386,,T/O,T/O,UNSAT,
pc_xg_rv,add_associative_32,smt2,cadical,2,386,,T/O,T/O,UNSAT,
pc_xg_rv,add_commutative_32,smt2,cadical,1,226,,T/O,T/O,UNSAT,
pc_xg_rv,add_commutative_32,smt2,cadical,2,226,,T/O,T/O,UNSAT,
pc_xg_rv,add_compare_16,smt2,cadical,1,96,,T/O,T/O,UNSAT,
pc_xg_rv,add_compare_16,smt2,cadical,2,96,,T/O,T/O,UNSAT,
pc_xg_rv,add_identity_32,smt2,cadical,1,33,,T/O,T/O,UNSAT,
pc_xg_rv,add_identity_32,smt2,cadical,2,33,,T/O,T/O,UNSAT,
pc_xg_rv,add_inverse_32,smt2,cadical,1,158,,T/O,T/O,UNSAT,
pc_xg_rv,add_inverse_32,smt2,cadical,2,158,,T/O,T/O,UNSAT,
pc_xg_rv,add_inverse_64,smt2,cadical,1,318,,T/O,T/O,UNSAT,
pc_xg_rv,add_inverse_64,smt2,cadical,2,318,,T/O,T/O,UNSAT,
pc_xg_rv,add_monotone_32,smt2,cadical,1,225,,T/O,T/O,UNSAT,
pc_xg_rv,add_monotone_32,smt2,cadical,2,225,,T/O,T/O,UNSAT,
pc_xg_rv,adder_chain_32,smt2,cadical,1,545,,T/O,T/O,UNSAT,
pc_xg_rv,adder_chain_32,smt2,cadical,2,545,,T/O,T/O,UNSAT,
pc_xg_rv,adder_equiv_16,smt2,cadical,1,194,,T/O,T/O,UNSAT,
pc_xg_rv,adder_equiv_16,smt2,cadical,2,194,,T/O,T/O,UNSAT,
pc_xg_rv,carry_chain_16,smt2,cadical,1,144,,T/O,T/O,UNSAT,
pc_xg_rv,carry_chain_16,smt2,cadical,2,144,,T/O,T/O,UNSAT,
pc_xg_rv,carry_chain_32,smt2,cadical,1,288,,T/O,T/O,UNSAT,
pc_xg_rv,carry_chain_32,smt2,cadical,2,288,,T/O,T/O,UNSAT,
pc_xg_rv,carry_chain_64,smt2,cadical,1,576,,T/O,T/O,UNSAT,
pc_xg_rv,carry_chain_64,smt2,cadical,2,576,,T/O,T/O,UNSAT,
pc_xg_rv,carry_propagation_32,smt2,cadical,1,194,,T/O,T/O,SAT,
pc_xg_rv,carry_propagation_32,smt2,cadical,2,194,,T/O,T/O,SAT,
pc_xg_rv,carry_save_equiv_8,smt2,cadical,1,72,,T/O,T/O,UNSAT,
pc_xg_rv,carry_save_equiv_8,smt2,cadical,2,72,,T/O,T/O,UNSAT,
pc_xg_rv,mul_by_shift_add_16,smt2,cadical,1,123,,T/O,T/O,UNSAT,
pc_xg_rv,mul_by_shift_add_16,smt2,cadical,2,123,,T/O,T/O,UNSAT,
pc_xg_rv,mul_by_shift_add_32,smt2,cadical,1,184,,T/O,T/O,UNSAT,
pc_xg_rv,mul_by_shift_add_32,smt2,cadical,2,184,,T/O,T/O,UNSAT,
pc_xg_rv,signed_overflow_32,smt2,cadical,1,225,,T/O,T/O,SAT,
pc_xg_rv,signed_overflow_32,smt2,cadical,2,225,,T/O,T/O,SAT,
pc_xg_rv,sub_as_add_32,smt2,cadical,1,288,,T/O,T/O,UNSAT,
pc_xg_rv,sub_as_add_32,smt2,cadical,2,288,,T/O,T/O,UNSAT,
pc_xg_rv,sub_self_32,smt2,cadical,1,97,,T/O,T/O,UNSAT,
pc_xg_rv,sub_self_32,smt2,cadical,2,97,,T/O,T/O,UNSAT,
pc_xg_rv,unsigned_no_overflow_small_16,smt2,cadical,1,113,,T/O,T/O,UNSAT,
pc_xg_rv,unsigned_no_overflow_small_16,smt2,cadical,2,113,,T/O,T/O,UNSAT,
pc_xg_rv,unsigned_overflow_16,smt2,cadical,1,113,,T/O,T/O,SAT,
pc_xg_rv,unsigned_overflow_16,smt2,cadical,2,113,,T/O,T/O,SAT,
