config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
pc_xg_rv_full,add_sat_200,c,cadical,1,,204605,0.0394267,0.0394498,SAT,800
pc_xg_rv_full,add_sat_200,c,cadical,2,,204605,0.0384195,0.0384432,SAT,800
pc_xg_rv_full,add_sat_2000,c,cadical,1,,2046004,T/O,T/O,UNKNOWN,8000
pc_xg_rv_full,add_sat_2000,c,cadical,2,,2046004,T/O,T/O,UNKNOWN,8000
pc_xg_rv_full,add_unsat_200,c,cadical,1,,,T/O,T/O,UNKNOWN,
pc_xg_rv_full,add_unsat_200,c,cadical,2,,,T/O,T/O,UNKNOWN,
pc_xg_rv_full,chain_sat_500,c,cadical,1,,2019506,5.47249,5.56425,UNSAT,7500
pc_xg_rv_full,chain_sat_500,c,cadical,2,,2019506,5.52053,5.61322,UNSAT,7500
pc_xg_rv_full,equiv_unsat_100,c,cadical,1,,125403,0.433092,0.441806,UNSAT,6600
pc_xg_rv_full,equiv_unsat_100,c,cadical,2,,125403,0.448002,0.456703,UNSAT,6600
pc_xg_rv_full,incr_sat_5000,c,cadical,1,,1125003,T/O,T/O,UNKNOWN,
pc_xg_rv_full,incr_sat_5000,c,cadical,2,,1125003,T/O,T/O,UNKNOWN,
pc_xg_rv_full,mixed_sat_500,c,cadical,1,,1314007,39.3159,39.412,UNSAT,67000
pc_xg_rv_full,mixed_sat_500,c,cadical,2,,1314007,39.5083,39.6052,UNSAT,67000
pc_xg_rv_full,narrow_sat_10000,c,cadical,1,,2660004,0.0183862,0.0184036,UNSAT,20000
pc_xg_rv_full,narrow_sat_10000,c,cadical,2,,2660004,0.0183877,0.0184048,UNSAT,20000
pc_xg_rv_full,sub_sat_1000,c,cadical,1,,1494004,T/O,T/O,UNKNOWN,66000
pc_xg_rv_full,sub_sat_1000,c,cadical,2,,1494004,T/O,T/O,UNKNOWN,66000
pc_xg_rv_full,wide_sat_1000,c,cadical,1,,2047004,36.6033,36.7262,SAT,4000
pc_xg_rv_full,wide_sat_1000,c,cadical,2,,2047004,36.4387,36.5614,SAT,4000
pc_xg_rv_full,add_3operand_16,smt2,cadical,1,194,,1.9011e-05,1.9011e-05,UNSAT,
pc_xg_rv_full,add_3operand_16,smt2,cadical,2,194,,1.7748e-05,1.7748e-05,UNSAT,
pc_xg_rv_full,add_4operand_16,smt2,cadical,1,242,,1.7394e-05,1.7394e-05,UNSAT,
pc_xg_rv_full,add_4operand_16,smt2,cadical,2,242,,1.5596e-05,1.5596e-05,UNSAT,
pc_xg_rv_full,add_assoc_64,smt2,cadical,1,770,,1.6857e-05,1.6857e-05,UNSAT,
pc_xg_rv_full,add_assoc_64,smt2,cadical,2,770,,1.7177e-05,1.7177e-05,UNSAT,
pc_xg_rv_full,add_associative_32,smt2,cadical,1,386,,1.7772e-05,1.7772e-05,UNSAT,
pc_xg_rv_full,add_associative_32,smt2,cadical,2,386,,1.7817e-05,1.7817e-05,UNSAT,
pc_xg_rv_full,add_commutative_32,smt2,cadical,1,226,,3.1307e-05,3.1307e-05,UNSAT,
pc_xg_rv_full,add_commutative_32,smt2,cadical,2,226,,1.5345e-05,1.5345e-05,UNSAT,
pc_xg_rv_full,add_compare_16,smt2,cadical,1,96,,1.5539e-05,1.5539e-05,UNSAT,
pc_xg_rv_full,add_compare_16,smt2,cadical,2,96,,1.5539e-05,1.5539e-05,UNSAT,
pc_xg_rv_full,add_identity_32,smt2,cadical,1,33,,1.7483e-05,1.7483e-05,UNSAT,
pc_xg_rv_full,add_identity_32,smt2,cadical,2,33,,1.8321e-05,1.8321e-05,UNSAT,
pc_xg_rv_full,add_inverse_32,smt2,cadical,1,158,,1.7409e-05,1.7409e-05,UNSAT,
pc_xg_rv_full,add_inverse_32,smt2,cadical,2,158,,1.8629e-05,1.8629e-05,UNSAT,
pc_xg_rv_full,add_inverse_64,smt2,cadical,1,318,,1.9659e-05,1.9659e-05,UNSAT,
pc_xg_rv_full,add_inverse_64,smt2,cadical,2,318,,2.0077e-05,2.0077e-05,UNSAT,
pc_xg_rv_full,add_monotone_32,smt2,cadical,1,225,,1.8535e-05,1.8535e-05,UNSAT,
pc_xg_rv_full,add_monotone_32,smt2,cadical,2,225,,1.8875e-05,1.8875e-05,UNSAT,
pc_xg_rv_full,adder_chain_32,smt2,cadical,1,545,,1.7154e-05,1.7154e-05,UNSAT,
pc_xg_rv_full,adder_chain_32,smt2,cadical,2,545,,1.6681e-05,1.6681e-05,UNSAT,
pc_xg_rv_full,adder_equiv_16,smt2,cadical,1,194,,1.6877e-05,1.6877e-05,UNSAT,
pc_xg_rv_full,adder_equiv_16,smt2,cadical,2,194,,1.6791e-05,1.6791e-05,UNSAT,
pc_xg_rv_full,carry_chain_16,smt2,cadical,1,144,,1.5122e-05,1.5122e-05,UNSAT,
pc_xg_rv_full,carry_chain_16,smt2,cadical,2,144,,1.631e-05,1.631e-05,UNSAT,
pc_xg_rv_full,carry_chain_32,smt2,cadical,1,288,,1.4827e-05,1.4827e-05,UNSAT,
pc_xg_rv_full,carry_chain_32,smt2,cadical,2,288,,1.6547e-05,1.6547e-05,UNSAT,
pc_xg_rv_full,carry_chain_64,smt2,cadical,1,576,,1.6038e-05,1.6038e-05,UNSAT,
pc_xg_rv_full,carry_chain_64,smt2,cadical,2,576,,1.4207e-05,1.4207e-05,UNSAT,
pc_xg_rv_full,carry_propagation_32,smt2,cadical,1,194,,1.7703e-05,1.7703e-05,SAT,
pc_xg_rv_full,carry_propagation_32,smt2,cadical,2,194,,1.5435e-05,1.5435e-05,SAT,
pc_xg_rv_full,carry_save_equiv_8,smt2,cadical,1,72,,1.5288e-05,1.5288e-05,UNSAT,
pc_xg_rv_full,carry_save_equiv_8,smt2,cadical,2,72,,1.5589e-05,1.5589e-05,UNSAT,
pc_xg_rv_full,mul_by_shift_add_16,smt2,cadical,1,123,,1.7847e-05,1.7847e-05,UNSAT,
pc_xg_rv_full,mul_by_shift_add_16,smt2,cadical,2,123,,1.7643e-05,1.7643e-05,UNSAT,
pc_xg_rv_full,mul_by_shift_add_32,smt2,cadical,1,184,,1.6996e-05,1.6996e-05,UNSAT,
