config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
rani,add_sat_200,c,cadical,1,,179805,0.00924427,0.00975618,SAT,
rani,add_sat_200,c,cadical,2,,179805,0.00918356,0.00970995,SAT,
rani,add_sat_2000,c,cadical,1,,1798005,0.142198,0.147491,SAT,
rani,add_sat_2000,c,cadical,2,,1798005,0.143074,0.14835,SAT,
rani,add_unsat_200,c,cadical,1,,246604,5.46883,5.57121,UNSAT,
rani,add_unsat_200,c,cadical,2,,246604,5.4167,5.5177,UNSAT,
rani,chain_sat_500,c,cadical,1,,1740509,0.0664666,0.0716187,SAT,
rani,chain_sat_500,c,cadical,2,,1740509,0.0666634,0.0719248,SAT,
rani,equiv_unsat_100,c,cadical,1,,114003,1.22777,1.27932,UNSAT,
rani,equiv_unsat_100,c,cadical,2,,114003,1.22024,1.27113,UNSAT,
rani,incr_sat_5000,c,cadical,1,,1280003,0.0697536,0.688308,SAT,
rani,incr_sat_5000,c,cadical,2,,1280003,0.0686804,0.686807,SAT,
rani,mixed_sat_500,c,cadical,1,,1190010,12.8482,12.865,SAT,
rani,mixed_sat_500,c,cadical,2,,1190010,13.009,13.0257,SAT,
rani,narrow_sat_10000,c,cadical,1,,2380004,2.4835e-05,0.00601881,UNSAT,
rani,narrow_sat_10000,c,cadical,2,,2380004,2.5621e-05,0.00599817,UNSAT,
rani,sub_sat_1000,c,cadical,1,,1370005,0.0266515,0.0313595,SAT,
rani,sub_sat_1000,c,cadical,2,,1370005,0.0262436,0.0308939,SAT,
rani,wide_sat_1000,c,cadical,1,,1795005,0.137592,0.142735,SAT,
rani,wide_sat_1000,c,cadical,2,,1795005,0.136681,0.141778,SAT,
rani,add_3operand_16,smt2,cadical,1,254,,T/O,T/O,UNSAT,
rani,add_3operand_16,smt2,cadical,2,254,,T/O,T/O,UNSAT,
rani,add_4operand_16,smt2,cadical,1,317,,T/O,T/O,UNSAT,
rani,add_4operand_16,smt2,cadical,2,317,,T/O,T/O,UNSAT,
rani,add_assoc_64,smt2,cadical,1,1022,,T/O,T/O,UNSAT,
rani,add_assoc_64,smt2,cadical,2,1022,,T/O,T/O,UNSAT,
rani,add_associative_32,smt2,cadical,1,510,,T/O,T/O,UNSAT,
rani,add_associative_32,smt2,cadical,2,510,,T/O,T/O,UNSAT,
rani,add_commutative_32,smt2,cadical,1,288,,T/O,T/O,UNSAT,
rani,add_commutative_32,smt2,cadical,2,288,,T/O,T/O,UNSAT,
rani,add_compare_16,smt2,cadical,1,96,,T/O,T/O,UNSAT,
rani,add_compare_16,smt2,cadical,2,96,,T/O,T/O,UNSAT,
rani,add_identity_32,smt2,cadical,1,128,,T/O,T/O,UNSAT,
rani,add_identity_32,smt2,cadical,2,128,,T/O,T/O,UNSAT,
rani,add_inverse_32,smt2,cadical,1,189,,T/O,T/O,UNSAT,
rani,add_inverse_32,smt2,cadical,2,189,,T/O,T/O,UNSAT,
rani,add_inverse_64,smt2,cadical,1,381,,T/O,T/O,UNSAT,
rani,add_inverse_64,smt2,cadical,2,381,,T/O,T/O,UNSAT,
rani,add_monotone_32,smt2,cadical,1,256,,T/O,T/O,UNSAT,
rani,add_monotone_32,smt2,cadical,2,256,,T/O,T/O,UNSAT,
rani,adder_chain_32,smt2,cadical,1,701,,T/O,T/O,UNSAT,
rani,adder_chain_32,smt2,cadical,2,701,,T/O,T/O,UNSAT,
rani,adder_equiv_16,smt2,cadical,1,254,,T/O,T/O,UNSAT,
rani,adder_equiv_16,smt2,cadical,2,254,,T/O,T/O,UNSAT,
rani,carry_chain_16,smt2,cadical,1,175,,T/O,T/O,UNSAT,
rani,carry_chain_16,smt2,cadical,2,175,,T/O,T/O,UNSAT,
rani,carry_chain_32,smt2,cadical,1,351,,T/O,T/O,UNSAT,
rani,carry_chain_32,smt2,cadical,2,351,,T/O,T/O,UNSAT,
rani,carry_chain_64,smt2,cadical,1,703,,T/O,T/O,UNSAT,
rani,carry_chain_64,smt2,cadical,2,703,,T/O,T/O,UNSAT,
rani,carry_propagation_32,smt2,cadical,1,225,,T/O,T/O,SAT,
rani,carry_propagation_32,smt2,cadical,2,225,,T/O,T/O,SAT,
rani,carry_save_equiv_8,smt2,cadical,1,87,,T/O,T/O,UNSAT,
rani,carry_save_equiv_8,smt2,cadical,2,87,,T/O,T/O,UNSAT,
rani,mul_by_shift_add_16,smt2,cadical,1,125,,T/O,T/O,UNSAT,
rani,mul_by_shift_add_16,smt2,cadical,2,125,,T/O,T/O,UNSAT,
rani,mul_by_shift_add_32,smt2,cadical,1,251,,T/O,T/O,UNSAT,
rani,mul_by_shift_add_32,smt2,cadical,2,251,,T/O,T/O,UNSAT,
rani,signed_overflow_32,smt2,cadical,1,256,,T/O,T/O,SAT,
rani,signed_overflow_32,smt2,cadical,2,256,,T/O,T/O,SAT,
rani,sub_as_add_32,smt2,cadical,1,350,,T/O,T/O,UNSAT,
rani,sub_as_add_32,smt2,cadical,2,350,,T/O,T/O,UNSAT,
rani,sub_self_32,smt2,cadical,1,33,,T/O,T/O,UNSAT,
rani,sub_self_32,smt2,cadical,2,33,,T/O,T/O,UNSAT,
rani,unsigned_no_overflow_small_16,smt2,cadical,1,128,,T/O,T/O,UNSAT,
rani,unsigned_no_overflow_small_16,smt2,cadical,2,128,,T/O,T/O,UNSAT,
rani,unsigned_overflow_16,smt2,cadical,1,128,,T/O,T/O,SAT,
rani,unsigned_overflow_16,smt2,cadical,2,128,,T/O,T/O,SAT,
