config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
rani_cadical,add_sat_200,c,cadical,1,,179805,0.00909368,0.00959337,SAT,
rani_cadical,add_sat_200,c,cadical,2,,179805,0.00934296,0.0098535,SAT,
rani_cadical,add_sat_2000,c,cadical,1,,1798005,0.142834,0.148175,SAT,
rani_cadical,add_sat_2000,c,cadical,2,,1798005,0.141047,0.14637,SAT,
rani_cadical,add_unsat_200,c,cadical,1,,246604,5.38491,5.48689,UNSAT,
rani_cadical,add_unsat_200,c,cadical,2,,246604,5.42043,5.52265,UNSAT,
rani_cadical,chain_sat_500,c,cadical,1,,1740509,0.0671939,0.0724245,SAT,
rani_cadical,chain_sat_500,c,cadical,2,,1740509,0.0669854,0.0722103,SAT,
rani_cadical,distrib_unsat_20,c,cadical,1,,630469,4.81862,4.82249,SAT,
rani_cadical,distrib_unsat_20,c,cadical,2,,630469,4.8239,4.82768,SAT,
rani_cadical,equiv_unsat_100,c,cadical,1,,114003,1.24975,1.30156,UNSAT,
rani_cadical,equiv_unsat_100,c,cadical,2,,114003,1.23552,1.28699,UNSAT,
rani_cadical,incr_sat_5000,c,cadical,1,,1280003,0.0683898,0.686772,SAT,
rani_cadical,incr_sat_5000,c,cadical,2,,1280003,0.0696156,0.6926,SAT,
rani_cadical,mixed_sat_500,c,cadical,1,,1190010,12.9898,13.0067,SAT,
rani_cadical,mixed_sat_500,c,cadical,2,,1190010,12.8882,12.905,SAT,
rani_cadical,narrow_sat_10000,c,cadical,1,,2380004,2.6186e-05,0.0060221,UNSAT,
rani_cadical,narrow_sat_10000,c,cadical,2,,2380004,2.4358e-05,0.0060212,UNSAT,
rani_cadical,overflow_sat_200,c,cadical,1,,887706,0.0834697,0.0894449,SAT,
rani_cadical,overflow_sat_200,c,cadical,2,,887706,0.0833404,0.0892984,SAT,
rani_cadical,sub_sat_1000,c,cadical,1,,1370005,0.026406,0.0310472,SAT,
rani_cadical,sub_sat_1000,c,cadical,2,,1370005,0.0265268,0.0310377,SAT,
rani_cadical,wide_sat_1000,c,cadical,1,,1795005,0.136279,0.141435,SAT,
rani_cadical,wide_sat_1000,c,cadical,2,,1795005,0.138357,0.143611,SAT,
rani_cadical,add_3operand_16,smt2,cadical,1,194,,1.9317e-05,1.9317e-05,UNSAT,
rani_cadical,add_3operand_16,smt2,cadical,2,194,,1.9433e-05,1.9433e-05,UNSAT,
rani_cadical,add_4operand_16,smt2,cadical,1,242,,1.7973e-05,1.7973e-05,UNSAT,
rani_cadical,add_4operand_16,smt2,cadical,2,242,,1.6117e-05,1.6117e-05,UNSAT,
rani_cadical,add_assoc_64,smt2,cadical,1,770,,1.4645e-05,1.4645e-05,UNSAT,
rani_cadical,add_assoc_64,smt2,cadical,2,770,,1.5333e-05,1.5333e-05,UNSAT,
rani_cadical,add_associative_32,smt2,cadical,1,386,,1.8316e-05,1.8316e-05,UNSAT,
