config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
rani_cadical_rv,add_sat_200,c,cadical,1,,179805,0.00305337,0.00323667,SAT,
rani_cadical_rv,add_sat_200,c,cadical,2,,179805,0.00310266,0.003313,SAT,
rani_cadical_rv,add_sat_2000,c,cadical,1,,1798005,0.0421915,0.0439045,SAT,
rani_cadical_rv,add_sat_2000,c,cadical,2,,1798005,0.0421303,0.0438148,SAT,
rani_cadical_rv,add_unsat_200,c,cadical,1,,246604,5.40522,5.42259,UNSAT,
rani_cadical_rv,add_unsat_200,c,cadical,2,,246604,5.33197,5.34893,UNSAT,
rani_cadical_rv,chain_sat_500,c,cadical,1,,1740509,0.109547,0.111039,SAT,
rani_cadical_rv,chain_sat_500,c,cadical,2,,1740509,0.1078,0.109351,SAT,
rani_cadical_rv,distrib_unsat_20,c,cadical,1,,630469,0.0957443,0.0962992,SAT,
rani_cadical_rv,distrib_unsat_20,c,cadical,2,,630469,0.0934645,0.0940054,SAT,
rani_cadical_rv,equiv_unsat_100,c,cadical,1,,114003,1.24049,1.25099,UNSAT,
rani_cadical_rv,equiv_unsat_100,c,cadical,2,,114003,1.24187,1.25222,UNSAT,
rani_cadical_rv,incr_sat_5000,c,cadical,1,,1280003,0.496371,0.655264,SAT,
rani_cadical_rv,incr_sat_5000,c,cadical,2,,1280003,0.494039,0.651298,SAT,
rani_cadical_rv,mixed_sat_500,c,cadical,1,,1190010,5.13649,5.13753,SAT,
rani_cadical_rv,mixed_sat_500,c,cadical,2,,1190010,5.17641,5.17739,SAT,
rani_cadical_rv,narrow_sat_10000,c,cadical,1,,2380004,0.0105547,0.0105715,UNSAT,
rani_cadical_rv,narrow_sat_10000,c,cadical,2,,2380004,0.0106455,0.0106623,UNSAT,
rani_cadical_rv,overflow_sat_200,c,cadical,1,,887706,0.0255785,0.0262334,SAT,
rani_cadical_rv,overflow_sat_200,c,cadical,2,,887706,0.0254446,0.0261229,SAT,
rani_cadical_rv,sub_sat_1000,c,cadical,1,,1370005,0.0332112,0.0344235,SAT,
rani_cadical_rv,sub_sat_1000,c,cadical,2,,1370005,0.0332627,0.0344695,SAT,
rani_cadical_rv,wide_sat_1000,c,cadical,1,,1795005,0.0421715,0.0438747,SAT,
rani_cadical_rv,wide_sat_1000,c,cadical,2,,1795005,0.0422807,0.0439876,SAT,
rani_cadical_rv,add_3operand_16,smt2,cadical,1,194,,2.1553e-05,2.1553e-05,UNSAT,
rani_cadical_rv,add_3operand_16,smt2,cadical,2,194,,1.9143e-05,1.9143e-05,UNSAT,
rani_cadical_rv,add_4operand_16,smt2,cadical,1,242,,1.8748e-05,1.8748e-05,UNSAT,
rani_cadical_rv,add_4operand_16,smt2,cadical,2,242,,1.7619e-05,1.7619e-05,UNSAT,
rani_cadical_rv,add_assoc_64,smt2,cadical,1,770,,1.7397e-05,1.7397e-05,UNSAT,
rani_cadical_rv,add_assoc_64,smt2,cadical,2,770,,1.6754e-05,1.6754e-05,UNSAT,
rani_cadical_rv,add_associative_32,smt2,cadical,1,386,,1.6522e-05,1.6522e-05,UNSAT,
rani_cadical_rv,add_associative_32,smt2,cadical,2,386,,1.6544e-05,1.6544e-05,UNSAT,
rani_cadical_rv,add_commutative_32,smt2,cadical,1,226,,3.1248e-05,3.1248e-05,UNSAT,
rani_cadical_rv,add_commutative_32,smt2,cadical,2,226,,1.4305e-05,1.4305e-05,UNSAT,
rani_cadical_rv,add_compare_16,smt2,cadical,1,96,,1.6709e-05,1.6709e-05,UNSAT,
rani_cadical_rv,add_compare_16,smt2,cadical,2,96,,1.542e-05,1.542e-05,UNSAT,
rani_cadical_rv,add_identity_32,smt2,cadical,1,33,,1.711e-05,1.711e-05,UNSAT,
rani_cadical_rv,add_identity_32,smt2,cadical,2,33,,1.5441e-05,1.5441e-05,UNSAT,
rani_cadical_rv,add_inverse_32,smt2,cadical,1,158,,1.6459e-05,1.6459e-05,UNSAT,
rani_cadical_rv,add_inverse_32,smt2,cadical,2,158,,1.6482e-05,1.6482e-05,UNSAT,
rani_cadical_rv,add_inverse_64,smt2,cadical,1,318,,1.757e-05,1.757e-05,UNSAT,
rani_cadical_rv,add_inverse_64,smt2,cadical,2,318,,1.9361e-05,1.9361e-05,UNSAT,
rani_cadical_rv,add_monotone_32,smt2,cadical,1,225,,1.6636e-05,1.6636e-05,UNSAT,
rani_cadical_rv,add_monotone_32,smt2,cadical,2,225,,1.9177e-05,1.9177e-05,UNSAT,
rani_cadical_rv,adder_chain_32,smt2,cadical,1,545,,1.9377e-05,1.9377e-05,UNSAT,
rani_cadical_rv,adder_chain_32,smt2,cadical,2,545,,1.8559e-05,1.8559e-05,UNSAT,
rani_cadical_rv,adder_equiv_16,smt2,cadical,1,194,,1.612e-05,1.612e-05,UNSAT,
rani_cadical_rv,adder_equiv_16,smt2,cadical,2,194,,1.7348e-05,1.7348e-05,UNSAT,
rani_cadical_rv,carry_chain_16,smt2,cadical,1,144,,1.6718e-05,1.6718e-05,UNSAT,
rani_cadical_rv,carry_chain_16,smt2,cadical,2,144,,1.7374e-05,1.7374e-05,UNSAT,
rani_cadical_rv,carry_chain_32,smt2,cadical,1,288,,1.7212e-05,1.7212e-05,UNSAT,
rani_cadical_rv,carry_chain_32,smt2,cadical,2,288,,1.6428e-05,1.6428e-05,UNSAT,
rani_cadical_rv,carry_chain_64,smt2,cadical,1,576,,1.6192e-05,1.6192e-05,UNSAT,
rani_cadical_rv,carry_chain_64,smt2,cadical,2,576,,1.6108e-05,1.6108e-05,UNSAT,
rani_cadical_rv,carry_propagation_32,smt2,cadical,1,194,,1.5609e-05,1.5609e-05,SAT,
rani_cadical_rv,carry_propagation_32,smt2,cadical,2,194,,1.7853e-05,1.7853e-05,SAT,
rani_cadical_rv,carry_save_equiv_8,smt2,cadical,1,72,,1.5125e-05,1.5125e-05,UNSAT,
rani_cadical_rv,carry_save_equiv_8,smt2,cadical,2,72,,1.6691e-05,1.6691e-05,UNSAT,
rani_cadical_rv,mul_by_shift_add_16,smt2,cadical,1,123,,1.7747e-05,1.7747e-05,UNSAT,
rani_cadical_rv,mul_by_shift_add_16,smt2,cadical,2,123,,1.7416e-05,1.7416e-05,UNSAT,
rani_cadical_rv,mul_by_shift_add_32,smt2,cadical,1,184,,1.5618e-05,1.5618e-05,UNSAT,
rani_cadical_rv,mul_by_shift_add_32,smt2,cadical,2,184,,1.8153e-05,1.8153e-05,UNSAT,
rani_cadical_rv,signed_overflow_32,smt2,cadical,1,225,,1.5732e-05,1.5732e-05,SAT,
rani_cadical_rv,signed_overflow_32,smt2,cadical,2,225,,1.8042e-05,1.8042e-05,SAT,
rani_cadical_rv,sub_as_add_32,smt2,cadical,1,288,,1.8084e-05,1.8084e-05,UNSAT,
rani_cadical_rv,sub_as_add_32,smt2,cadical,2,288,,1.7776e-05,1.7776e-05,UNSAT,
rani_cadical_rv,sub_self_32,smt2,cadical,1,97,,2.9024e-05,2.9024e-05,UNSAT,
rani_cadical_rv,sub_self_32,smt2,cadical,2,97,,1.5731e-05,1.5731e-05,UNSAT,
rani_cadical_rv,unsigned_no_overflow_small_16,smt2,cadical,1,113,,1.7694e-05,1.7694e-05,UNSAT,
rani_cadical_rv,unsigned_no_overflow_small_16,smt2,cadical,2,113,,1.734e-05,1.734e-05,UNSAT,
rani_cadical_rv,unsigned_overflow_16,smt2,cadical,1,113,,1.7039e-05,1.7039e-05,SAT,
rani_cadical_rv,unsigned_overflow_16,smt2,cadical,2,113,,1.7915e-05,1.7915e-05,SAT,
