config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
rani_cadical_xg,add_sat_200,c,cadical,1,,179805,4.6938,4.76997,SAT,25600
rani_cadical_xg,add_sat_200,c,cadical,2,,179805,4.76563,4.84159,SAT,25600
rani_cadical_xg,add_sat_2000,c,cadical,1,,1798004,T/O,T/O,UNKNOWN,
rani_cadical_xg,add_sat_2000,c,cadical,2,,1798004,T/O,T/O,UNKNOWN,
rani_cadical_xg,add_unsat_200,c,cadical,1,,246604,T/O,T/O,UNKNOWN,25600
rani_cadical_xg,add_unsat_200,c,cadical,2,,246604,T/O,T/O,UNKNOWN,25600
rani_cadical_xg,chain_sat_500,c,cadical,1,,1740506,T/O,T/O,UNKNOWN,
rani_cadical_xg,chain_sat_500,c,cadical,2,,1740506,T/O,T/O,UNKNOWN,
rani_cadical_xg,distrib_unsat_20,c,cadical,1,,630467,27.8616,28.1226,UNSAT,83100
rani_cadical_xg,distrib_unsat_20,c,cadical,2,,630467,29.0301,29.281,UNSAT,83100
rani_cadical_xg,equiv_unsat_100,c,cadical,1,,114003,1.05695,1.10819,UNSAT,18900
rani_cadical_xg,equiv_unsat_100,c,cadical,2,,114003,1.03636,1.08785,UNSAT,18900
rani_cadical_xg,incr_sat_5000,c,cadical,1,,1280003,T/O,T/O,UNKNOWN,
rani_cadical_xg,incr_sat_5000,c,cadical,2,,1280003,T/O,T/O,UNKNOWN,
rani_cadical_xg,mixed_sat_500,c,cadical,1,,1190007,T/O,T/O,UNKNOWN,
rani_cadical_xg,mixed_sat_500,c,cadical,2,,1190007,T/O,T/O,UNKNOWN,
rani_cadical_xg,narrow_sat_10000,c,cadical,1,,2380003,T/O,T/O,UNKNOWN,
rani_cadical_xg,narrow_sat_10000,c,cadical,2,,2380003,T/O,T/O,UNKNOWN,
rani_cadical_xg,overflow_sat_200,c,cadical,1,,887704,24.4935,24.8748,UNSAT,102000
rani_cadical_xg,overflow_sat_200,c,cadical,2,,887704,26.3142,26.6983,UNSAT,102000
rani_cadical_xg,sub_sat_1000,c,cadical,1,,1370004,T/O,T/O,UNKNOWN,
rani_cadical_xg,sub_sat_1000,c,cadical,2,,1370004,T/O,T/O,UNKNOWN,
rani_cadical_xg,wide_sat_1000,c,cadical,1,,1795004,T/O,T/O,UNKNOWN,
rani_cadical_xg,wide_sat_1000,c,cadical,2,,1795004,T/O,T/O,UNKNOWN,
rani_cadical_xg,add_3operand_16,smt2,cadical,1,194,,2.1129e-05,2.1129e-05,UNSAT,
rani_cadical_xg,add_3operand_16,smt2,cadical,2,194,,1.974e-05,1.974e-05,UNSAT,
rani_cadical_xg,add_4operand_16,smt2,cadical,1,242,,1.7161e-05,1.7161e-05,UNSAT,
rani_cadical_xg,add_4operand_16,smt2,cadical,2,242,,1.8791e-05,1.8791e-05,UNSAT,
rani_cadical_xg,add_assoc_64,smt2,cadical,1,770,,1.6977e-05,1.6977e-05,UNSAT,
rani_cadical_xg,add_assoc_64,smt2,cadical,2,770,,1.5373e-05,1.5373e-05,UNSAT,
rani_cadical_xg,add_associative_32,smt2,cadical,1,386,,1.8074e-05,1.8074e-05,UNSAT,
rani_cadical_xg,add_associative_32,smt2,cadical,2,386,,1.8716e-05,1.8716e-05,UNSAT,
rani_cadical_xg,add_commutative_32,smt2,cadical,1,226,,1.4436e-05,1.4436e-05,UNSAT,
rani_cadical_xg,add_commutative_32,smt2,cadical,2,226,,1.3739e-05,1.3739e-05,UNSAT,
rani_cadical_xg,add_compare_16,smt2,cadical,1,96,,1.799e-05,1.799e-05,UNSAT,
rani_cadical_xg,add_compare_16,smt2,cadical,2,96,,1.7048e-05,1.7048e-05,UNSAT,
rani_cadical_xg,add_identity_32,smt2,cadical,1,33,,1.5025e-05,1.5025e-05,UNSAT,
rani_cadical_xg,add_identity_32,smt2,cadical,2,33,,1.7306e-05,1.7306e-05,UNSAT,
rani_cadical_xg,add_inverse_32,smt2,cadical,1,158,,3.2667e-05,3.2667e-05,UNSAT,
rani_cadical_xg,add_inverse_32,smt2,cadical,2,158,,1.5856e-05,1.5856e-05,UNSAT,
rani_cadical_xg,add_inverse_64,smt2,cadical,1,318,,2.0552e-05,2.0552e-05,UNSAT,
rani_cadical_xg,add_inverse_64,smt2,cadical,2,318,,1.8111e-05,1.8111e-05,UNSAT,
rani_cadical_xg,add_monotone_32,smt2,cadical,1,225,,1.93e-05,1.93e-05,UNSAT,
rani_cadical_xg,add_monotone_32,smt2,cadical,2,225,,1.6979e-05,1.6979e-05,UNSAT,
rani_cadical_xg,adder_chain_32,smt2,cadical,1,545,,1.8479e-05,1.8479e-05,UNSAT,
rani_cadical_xg,adder_chain_32,smt2,cadical,2,545,,1.6738e-05,1.6738e-05,UNSAT,
rani_cadical_xg,adder_equiv_16,smt2,cadical,1,194,,1.7868e-05,1.7868e-05,UNSAT,
rani_cadical_xg,adder_equiv_16,smt2,cadical,2,194,,1.7069e-05,1.7069e-05,UNSAT,
rani_cadical_xg,carry_chain_16,smt2,cadical,1,144,,1.5494e-05,1.5494e-05,UNSAT,
rani_cadical_xg,carry_chain_16,smt2,cadical,2,144,,1.8752e-05,1.8752e-05,UNSAT,
rani_cadical_xg,carry_chain_32,smt2,cadical,1,288,,1.8551e-05,1.8551e-05,UNSAT,
rani_cadical_xg,carry_chain_32,smt2,cadical,2,288,,1.6407e-05,1.6407e-05,UNSAT,
rani_cadical_xg,carry_chain_64,smt2,cadical,1,576,,1.366e-05,1.366e-05,UNSAT,
rani_cadical_xg,carry_chain_64,smt2,cadical,2,576,,1.5473e-05,1.5473e-05,UNSAT,
rani_cadical_xg,carry_propagation_32,smt2,cadical,1,194,,1.5647e-05,1.5647e-05,SAT,
rani_cadical_xg,carry_propagation_32,smt2,cadical,2,194,,1.797e-05,1.797e-05,SAT,
rani_cadical_xg,carry_save_equiv_8,smt2,cadical,1,72,,1.7311e-05,1.7311e-05,UNSAT,
rani_cadical_xg,carry_save_equiv_8,smt2,cadical,2,72,,1.7914e-05,1.7914e-05,UNSAT,
rani_cadical_xg,mul_by_shift_add_16,smt2,cadical,1,123,,1.8538e-05,1.8538e-05,UNSAT,
rani_cadical_xg,mul_by_shift_add_16,smt2,cadical,2,123,,1.83e-05,1.83e-05,UNSAT,
rani_cadical_xg,mul_by_shift_add_32,smt2,cadical,1,184,,1.5199e-05,1.5199e-05,UNSAT,
rani_cadical_xg,mul_by_shift_add_32,smt2,cadical,2,184,,1.5898e-05,1.5898e-05,UNSAT,
rani_cadical_xg,signed_overflow_32,smt2,cadical,1,225,,1.6596e-05,1.6596e-05,SAT,
rani_cadical_xg,signed_overflow_32,smt2,cadical,2,225,,1.8095e-05,1.8095e-05,SAT,
rani_cadical_xg,sub_as_add_32,smt2,cadical,1,288,,1.6813e-05,1.6813e-05,UNSAT,
rani_cadical_xg,sub_as_add_32,smt2,cadical,2,288,,1.826e-05,1.826e-05,UNSAT,
rani_cadical_xg,sub_self_32,smt2,cadical,1,97,,1.7246e-05,1.7246e-05,UNSAT,
rani_cadical_xg,sub_self_32,smt2,cadical,2,97,,1.5332e-05,1.5332e-05,UNSAT,
rani_cadical_xg,unsigned_no_overflow_small_16,smt2,cadical,1,113,,1.5915e-05,1.5915e-05,UNSAT,
rani_cadical_xg,unsigned_no_overflow_small_16,smt2,cadical,2,113,,1.7572e-05,1.7572e-05,UNSAT,
rani_cadical_xg,unsigned_overflow_16,smt2,cadical,1,113,,1.5171e-05,1.5171e-05,SAT,
rani_cadical_xg,unsigned_overflow_16,smt2,cadical,2,113,,1.5938e-05,1.5938e-05,SAT,
