config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
rani_cadical_xg_rv,add_sat_200,c,cadical,1,,179804,T/O,T/O,UNKNOWN,25600
rani_cadical_xg_rv,add_sat_200,c,cadical,2,,179804,T/O,T/O,UNKNOWN,25600
rani_cadical_xg_rv,add_sat_2000,c,cadical,1,,1798004,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,add_sat_2000,c,cadical,2,,1798004,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,add_unsat_200,c,cadical,1,,246604,10.0067,10.024,UNSAT,25600
rani_cadical_xg_rv,add_unsat_200,c,cadical,2,,246604,10.5126,10.5299,UNSAT,25600
rani_cadical_xg_rv,chain_sat_500,c,cadical,1,,1740506,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,chain_sat_500,c,cadical,2,,1740506,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,distrib_unsat_20,c,cadical,1,,630467,27.3714,27.4143,UNSAT,83100
rani_cadical_xg_rv,distrib_unsat_20,c,cadical,2,,630467,27.8952,27.9388,UNSAT,83100
rani_cadical_xg_rv,equiv_unsat_100,c,cadical,1,,114003,1.41827,1.42861,UNSAT,18900
rani_cadical_xg_rv,equiv_unsat_100,c,cadical,2,,114003,1.50236,1.51279,UNSAT,18900
rani_cadical_xg_rv,incr_sat_5000,c,cadical,1,,1280003,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,incr_sat_5000,c,cadical,2,,1280003,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,mixed_sat_500,c,cadical,1,,1190007,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,mixed_sat_500,c,cadical,2,,1190007,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,narrow_sat_10000,c,cadical,1,,2380003,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,narrow_sat_10000,c,cadical,2,,2380003,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,overflow_sat_200,c,cadical,1,,887704,T/O,T/O,UNKNOWN,102000
rani_cadical_xg_rv,overflow_sat_200,c,cadical,2,,887704,T/O,T/O,UNKNOWN,102000
rani_cadical_xg_rv,sub_sat_1000,c,cadical,1,,1370004,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,sub_sat_1000,c,cadical,2,,1370004,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,wide_sat_1000,c,cadical,1,,1795004,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,wide_sat_1000,c,cadical,2,,1795004,T/O,T/O,UNKNOWN,
rani_cadical_xg_rv,add_3operand_16,smt2,cadical,1,194,,2.3032e-05,2.3032e-05,UNSAT,
rani_cadical_xg_rv,add_3operand_16,smt2,cadical,2,194,,1.7224e-05,1.7224e-05,UNSAT,
rani_cadical_xg_rv,add_4operand_16,smt2,cadical,1,242,,1.882e-05,1.882e-05,UNSAT,
rani_cadical_xg_rv,add_4operand_16,smt2,cadical,2,242,,1.5862e-05,1.5862e-05,UNSAT,
rani_cadical_xg_rv,add_assoc_64,smt2,cadical,1,770,,1.6937e-05,1.6937e-05,UNSAT,
rani_cadical_xg_rv,add_assoc_64,smt2,cadical,2,770,,1.7048e-05,1.7048e-05,UNSAT,
rani_cadical_xg_rv,add_associative_32,smt2,cadical,1,386,,1.58e-05,1.58e-05,UNSAT,
rani_cadical_xg_rv,add_associative_32,smt2,cadical,2,386,,1.7407e-05,1.7407e-05,UNSAT,
rani_cadical_xg_rv,add_commutative_32,smt2,cadical,1,226,,1.559e-05,1.559e-05,UNSAT,
rani_cadical_xg_rv,add_commutative_32,smt2,cadical,2,226,,1.704e-05,1.704e-05,UNSAT,
rani_cadical_xg_rv,add_compare_16,smt2,cadical,1,96,,1.5411e-05,1.5411e-05,UNSAT,
rani_cadical_xg_rv,add_compare_16,smt2,cadical,2,96,,1.5504e-05,1.5504e-05,UNSAT,
rani_cadical_xg_rv,add_identity_32,smt2,cadical,1,33,,1.7268e-05,1.7268e-05,UNSAT,
rani_cadical_xg_rv,add_identity_32,smt2,cadical,2,33,,1.5849e-05,1.5849e-05,UNSAT,
rani_cadical_xg_rv,add_inverse_32,smt2,cadical,1,158,,3.2501e-05,3.2501e-05,UNSAT,
rani_cadical_xg_rv,add_inverse_32,smt2,cadical,2,158,,1.5268e-05,1.5268e-05,UNSAT,
rani_cadical_xg_rv,add_inverse_64,smt2,cadical,1,318,,1.8146e-05,1.8146e-05,UNSAT,
rani_cadical_xg_rv,add_inverse_64,smt2,cadical,2,318,,2.5611e-05,2.5611e-05,UNSAT,
rani_cadical_xg_rv,add_monotone_32,smt2,cadical,1,225,,1.9284e-05,1.9284e-05,UNSAT,
rani_cadical_xg_rv,add_monotone_32,smt2,cadical,2,225,,1.8113e-05,1.8113e-05,UNSAT,
rani_cadical_xg_rv,adder_chain_32,smt2,cadical,1,545,,1.662e-05,1.662e-05,UNSAT,
rani_cadical_xg_rv,adder_chain_32,smt2,cadical,2,545,,1.9211e-05,1.9211e-05,UNSAT,
rani_cadical_xg_rv,adder_equiv_16,smt2,cadical,1,194,,1.7602e-05,1.7602e-05,UNSAT,
rani_cadical_xg_rv,adder_equiv_16,smt2,cadical,2,194,,1.7991e-05,1.7991e-05,UNSAT,
rani_cadical_xg_rv,carry_chain_16,smt2,cadical,1,144,,1.7104e-05,1.7104e-05,UNSAT,
rani_cadical_xg_rv,carry_chain_16,smt2,cadical,2,144,,1.7289e-05,1.7289e-05,UNSAT,
rani_cadical_xg_rv,carry_chain_32,smt2,cadical,1,288,,1.7915e-05,1.7915e-05,UNSAT,
rani_cadical_xg_rv,carry_chain_32,smt2,cadical,2,288,,1.7734e-05,1.7734e-05,UNSAT,
rani_cadical_xg_rv,carry_chain_64,smt2,cadical,1,576,,1.3887e-05,1.3887e-05,UNSAT,
rani_cadical_xg_rv,carry_chain_64,smt2,cadical,2,576,,1.3905e-05,1.3905e-05,UNSAT,
rani_cadical_xg_rv,carry_propagation_32,smt2,cadical,1,194,,1.6777e-05,1.6777e-05,SAT,
rani_cadical_xg_rv,carry_propagation_32,smt2,cadical,2,194,,1.7359e-05,1.7359e-05,SAT,
rani_cadical_xg_rv,carry_save_equiv_8,smt2,cadical,1,72,,1.6786e-05,1.6786e-05,UNSAT,
rani_cadical_xg_rv,carry_save_equiv_8,smt2,cadical,2,72,,1.5272e-05,1.5272e-05,UNSAT,
rani_cadical_xg_rv,mul_by_shift_add_16,smt2,cadical,1,123,,1.6836e-05,1.6836e-05,UNSAT,
rani_cadical_xg_rv,mul_by_shift_add_16,smt2,cadical,2,123,,1.4866e-05,1.4866e-05,UNSAT,
rani_cadical_xg_rv,mul_by_shift_add_32,smt2,cadical,1,184,,1.5764e-05,1.5764e-05,UNSAT,
