config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
rani_minisat,add_sat_200,c,minisat2,1,,179804,0.175457,0.232951,SAT,
rani_minisat,add_sat_200,c,minisat2,2,,179804,0.175456,0.233069,SAT,
rani_minisat,add_sat_2000,c,minisat2,1,,1798004,8.37661,8.9747,SAT,
rani_minisat,add_sat_2000,c,minisat2,2,,1798004,8.3958,8.99385,SAT,
rani_minisat,add_unsat_200,c,minisat2,1,,245604,8.51583,8.59693,UNSAT,
rani_minisat,add_unsat_200,c,minisat2,2,,245604,8.38369,8.46449,UNSAT,
rani_minisat,chain_sat_500,c,minisat2,1,,1427728,0.144828,0.144862,SAT,
rani_minisat,chain_sat_500,c,minisat2,2,,1427728,0.14575,0.145781,SAT,
rani_minisat,distrib_unsat_20,c,minisat2,1,,415409,1.38323,1.5637,SAT,
rani_minisat,distrib_unsat_20,c,minisat2,2,,415409,1.4141,1.59615,SAT,
rani_minisat,equiv_unsat_100,c,minisat2,1,,113902,7.08689,7.12541,UNSAT,
rani_minisat,equiv_unsat_100,c,minisat2,2,,113902,7.17622,7.21446,UNSAT,
rani_minisat,incr_sat_5000,c,minisat2,1,,1125002,0.828978,1.29274,SAT,
rani_minisat,incr_sat_5000,c,minisat2,2,,1125002,0.818045,1.27747,SAT,
rani_minisat,mixed_sat_500,c,minisat2,1,,982104,25.6065,26.0264,SAT,
rani_minisat,mixed_sat_500,c,minisat2,2,,982104,25.2536,25.6751,SAT,
rani_minisat,narrow_sat_10000,c,minisat2,1,,2,9.172e-06,1.9939e-05,UNSAT,
rani_minisat,narrow_sat_10000,c,minisat2,2,,2,9.206e-06,1.9858e-05,UNSAT,
rani_minisat,overflow_sat_200,c,minisat2,1,,720439,0.130878,0.130912,SAT,
rani_minisat,overflow_sat_200,c,minisat2,2,,720439,0.132288,0.132322,SAT,
rani_minisat,sub_sat_1000,c,minisat2,1,,1370004,1.77631,2.23118,SAT,
rani_minisat,sub_sat_1000,c,minisat2,2,,1370004,1.79413,2.24873,SAT,
rani_minisat,wide_sat_1000,c,minisat2,1,,1795004,8.54745,9.10949,SAT,
rani_minisat,wide_sat_1000,c,minisat2,2,,1795004,8.46409,9.0291,SAT,
rani_minisat,add_3operand_16,smt2,minisat2,1,194,,2.1484e-05,2.1484e-05,UNSAT,
rani_minisat,add_3operand_16,smt2,minisat2,2,194,,3.255e-05,3.255e-05,UNSAT,
rani_minisat,add_4operand_16,smt2,minisat2,1,242,,1.8646e-05,1.8646e-05,UNSAT,
rani_minisat,add_4operand_16,smt2,minisat2,2,242,,1.6418e-05,1.6418e-05,UNSAT,
rani_minisat,add_assoc_64,smt2,minisat2,1,770,,1.6419e-05,1.6419e-05,UNSAT,
rani_minisat,add_assoc_64,smt2,minisat2,2,770,,1.6245e-05,1.6245e-05,UNSAT,
rani_minisat,add_associative_32,smt2,minisat2,1,386,,1.7615e-05,1.7615e-05,UNSAT,
rani_minisat,add_associative_32,smt2,minisat2,2,386,,3.6269e-05,3.6269e-05,UNSAT,
rani_minisat,add_commutative_32,smt2,minisat2,1,226,,3.1351e-05,3.1351e-05,UNSAT,
rani_minisat,add_commutative_32,smt2,minisat2,2,226,,1.578e-05,1.578e-05,UNSAT,
rani_minisat,add_compare_16,smt2,minisat2,1,96,,1.7379e-05,1.7379e-05,UNSAT,
rani_minisat,add_compare_16,smt2,minisat2,2,96,,1.4939e-05,1.4939e-05,UNSAT,
rani_minisat,add_identity_32,smt2,minisat2,1,33,,1.628e-05,1.628e-05,UNSAT,
rani_minisat,add_identity_32,smt2,minisat2,2,33,,1.7332e-05,1.7332e-05,UNSAT,
rani_minisat,add_inverse_32,smt2,minisat2,1,158,,1.5927e-05,1.5927e-05,UNSAT,
rani_minisat,add_inverse_32,smt2,minisat2,2,158,,1.7841e-05,1.7841e-05,UNSAT,
rani_minisat,add_inverse_64,smt2,minisat2,1,318,,2.0295e-05,2.0295e-05,UNSAT,
rani_minisat,add_inverse_64,smt2,minisat2,2,318,,1.8503e-05,1.8503e-05,UNSAT,
rani_minisat,add_monotone_32,smt2,minisat2,1,225,,1.6576e-05,1.6576e-05,UNSAT,
rani_minisat,add_monotone_32,smt2,minisat2,2,225,,1.9264e-05,1.9264e-05,UNSAT,
rani_minisat,adder_chain_32,smt2,minisat2,1,545,,1.8975e-05,1.8975e-05,UNSAT,
rani_minisat,adder_chain_32,smt2,minisat2,2,545,,1.6723e-05,1.6723e-05,UNSAT,
rani_minisat,adder_equiv_16,smt2,minisat2,1,194,,1.5644e-05,1.5644e-05,UNSAT,
rani_minisat,adder_equiv_16,smt2,minisat2,2,194,,1.7725e-05,1.7725e-05,UNSAT,
rani_minisat,carry_chain_16,smt2,minisat2,1,144,,3.1836e-05,3.1836e-05,UNSAT,
rani_minisat,carry_chain_16,smt2,minisat2,2,144,,3.3356e-05,3.3356e-05,UNSAT,
rani_minisat,carry_chain_32,smt2,minisat2,1,288,,1.8013e-05,1.8013e-05,UNSAT,
rani_minisat,carry_chain_32,smt2,minisat2,2,288,,1.7613e-05,1.7613e-05,UNSAT,
rani_minisat,carry_chain_64,smt2,minisat2,1,576,,1.4386e-05,1.4386e-05,UNSAT,
rani_minisat,carry_chain_64,smt2,minisat2,2,576,,1.6593e-05,1.6593e-05,UNSAT,
rani_minisat,carry_propagation_32,smt2,minisat2,1,194,,1.6786e-05,1.6786e-05,SAT,
