config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
rani_rv,add_sat_200,c,cadical,1,,179805,0.00315682,0.00334114,SAT,
rani_rv,add_sat_200,c,cadical,2,,179805,0.00309078,0.00330235,SAT,
rani_rv,add_sat_2000,c,cadical,1,,1798005,0.042602,0.0442981,SAT,
rani_rv,add_sat_2000,c,cadical,2,,1798005,0.0422827,0.0439638,SAT,
rani_rv,add_unsat_200,c,cadical,1,,246604,5.40569,5.42295,UNSAT,
rani_rv,add_unsat_200,c,cadical,2,,246604,5.34279,5.35987,UNSAT,
rani_rv,chain_sat_500,c,cadical,1,,1740509,0.109704,0.111213,SAT,
rani_rv,chain_sat_500,c,cadical,2,,1740509,0.108967,0.110553,SAT,
rani_rv,equiv_unsat_100,c,cadical,1,,114003,1.25114,1.26158,UNSAT,
rani_rv,equiv_unsat_100,c,cadical,2,,114003,1.23925,1.24964,UNSAT,
rani_rv,incr_sat_5000,c,cadical,1,,1280003,0.496723,0.654954,SAT,
rani_rv,incr_sat_5000,c,cadical,2,,1280003,0.493868,0.653035,SAT,
rani_rv,mixed_sat_500,c,cadical,1,,1190010,5.11259,5.11364,SAT,
rani_rv,mixed_sat_500,c,cadical,2,,1190010,5.08038,5.08138,SAT,
rani_rv,narrow_sat_10000,c,cadical,1,,2380004,0.0105983,0.0106163,UNSAT,
rani_rv,narrow_sat_10000,c,cadical,2,,2380004,0.0105465,0.0105627,UNSAT,
rani_rv,sub_sat_1000,c,cadical,1,,1370005,0.0335002,0.03476,SAT,
rani_rv,sub_sat_1000,c,cadical,2,,1370005,0.0337542,0.0350184,SAT,
rani_rv,wide_sat_1000,c,cadical,1,,1795005,0.0420307,0.0437138,SAT,
rani_rv,wide_sat_1000,c,cadical,2,,1795005,0.0422282,0.0439342,SAT,
rani_rv,add_3operand_16,smt2,cadical,1,254,,T/O,T/O,UNSAT,
rani_rv,add_3operand_16,smt2,cadical,2,254,,T/O,T/O,UNSAT,
rani_rv,add_4operand_16,smt2,cadical,1,317,,T/O,T/O,UNSAT,
rani_rv,add_4operand_16,smt2,cadical,2,317,,T/O,T/O,UNSAT,
rani_rv,add_assoc_64,smt2,cadical,1,1022,,T/O,T/O,UNSAT,
rani_rv,add_assoc_64,smt2,cadical,2,1022,,T/O,T/O,UNSAT,
rani_rv,add_associative_32,smt2,cadical,1,510,,T/O,T/O,UNSAT,
rani_rv,add_associative_32,smt2,cadical,2,510,,T/O,T/O,UNSAT,
rani_rv,add_commutative_32,smt2,cadical,1,288,,T/O,T/O,UNSAT,
rani_rv,add_commutative_32,smt2,cadical,2,288,,T/O,T/O,UNSAT,
rani_rv,add_compare_16,smt2,cadical,1,96,,T/O,T/O,UNSAT,
rani_rv,add_compare_16,smt2,cadical,2,96,,T/O,T/O,UNSAT,
rani_rv,add_identity_32,smt2,cadical,1,128,,T/O,T/O,UNSAT,
rani_rv,add_identity_32,smt2,cadical,2,128,,T/O,T/O,UNSAT,
rani_rv,add_inverse_32,smt2,cadical,1,189,,T/O,T/O,UNSAT,
rani_rv,add_inverse_32,smt2,cadical,2,189,,T/O,T/O,UNSAT,
rani_rv,add_inverse_64,smt2,cadical,1,381,,T/O,T/O,UNSAT,
rani_rv,add_inverse_64,smt2,cadical,2,381,,T/O,T/O,UNSAT,
rani_rv,add_monotone_32,smt2,cadical,1,256,,T/O,T/O,UNSAT,
rani_rv,add_monotone_32,smt2,cadical,2,256,,T/O,T/O,UNSAT,
rani_rv,adder_chain_32,smt2,cadical,1,701,,T/O,T/O,UNSAT,
rani_rv,adder_chain_32,smt2,cadical,2,701,,T/O,T/O,UNSAT,
rani_rv,adder_equiv_16,smt2,cadical,1,254,,T/O,T/O,UNSAT,
rani_rv,adder_equiv_16,smt2,cadical,2,254,,T/O,T/O,UNSAT,
rani_rv,carry_chain_16,smt2,cadical,1,175,,T/O,T/O,UNSAT,
rani_rv,carry_chain_16,smt2,cadical,2,175,,T/O,T/O,UNSAT,
rani_rv,carry_chain_32,smt2,cadical,1,351,,T/O,T/O,UNSAT,
rani_rv,carry_chain_32,smt2,cadical,2,351,,T/O,T/O,UNSAT,
rani_rv,carry_chain_64,smt2,cadical,1,703,,T/O,T/O,UNSAT,
rani_rv,carry_chain_64,smt2,cadical,2,703,,T/O,T/O,UNSAT,
rani_rv,carry_propagation_32,smt2,cadical,1,225,,T/O,T/O,SAT,
rani_rv,carry_propagation_32,smt2,cadical,2,225,,T/O,T/O,SAT,
rani_rv,carry_save_equiv_8,smt2,cadical,1,87,,T/O,T/O,UNSAT,
rani_rv,carry_save_equiv_8,smt2,cadical,2,87,,T/O,T/O,UNSAT,
rani_rv,mul_by_shift_add_16,smt2,cadical,1,125,,T/O,T/O,UNSAT,
rani_rv,mul_by_shift_add_16,smt2,cadical,2,125,,T/O,T/O,UNSAT,
rani_rv,mul_by_shift_add_32,smt2,cadical,1,251,,T/O,T/O,UNSAT,
rani_rv,mul_by_shift_add_32,smt2,cadical,2,251,,T/O,T/O,UNSAT,
rani_rv,signed_overflow_32,smt2,cadical,1,256,,T/O,T/O,SAT,
rani_rv,signed_overflow_32,smt2,cadical,2,256,,T/O,T/O,SAT,
rani_rv,sub_as_add_32,smt2,cadical,1,350,,T/O,T/O,UNSAT,
rani_rv,sub_as_add_32,smt2,cadical,2,350,,T/O,T/O,UNSAT,
rani_rv,sub_self_32,smt2,cadical,1,33,,T/O,T/O,UNSAT,
rani_rv,sub_self_32,smt2,cadical,2,33,,T/O,T/O,UNSAT,
rani_rv,unsigned_no_overflow_small_16,smt2,cadical,1,128,,T/O,T/O,UNSAT,
rani_rv,unsigned_no_overflow_small_16,smt2,cadical,2,128,,T/O,T/O,UNSAT,
rani_rv,unsigned_overflow_16,smt2,cadical,1,128,,T/O,T/O,SAT,
rani_rv,unsigned_overflow_16,smt2,cadical,2,128,,T/O,T/O,SAT,
