config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
rani_xg,add_sat_200,c,cadical,1,,179805,0.00879204,0.00925414,SAT,
rani_xg,add_sat_200,c,cadical,2,,179805,0.00894467,0.00943316,SAT,
rani_xg,add_sat_2000,c,cadical,1,,1798005,0.139814,0.144785,SAT,
rani_xg,add_sat_2000,c,cadical,2,,1798005,0.139132,0.144018,SAT,
rani_xg,add_unsat_200,c,cadical,1,,246604,5.32218,5.41811,UNSAT,
rani_xg,add_unsat_200,c,cadical,2,,246604,5.3534,5.45091,UNSAT,
rani_xg,chain_sat_500,c,cadical,1,,1740509,0.0639242,0.0689283,SAT,
rani_xg,chain_sat_500,c,cadical,2,,1740509,0.0635793,0.0686261,SAT,
rani_xg,equiv_unsat_100,c,cadical,1,,114003,1.2112,1.25855,UNSAT,
rani_xg,equiv_unsat_100,c,cadical,2,,114003,1.21057,1.26081,UNSAT,
rani_xg,incr_sat_5000,c,cadical,1,,1280003,0.0677712,0.651465,SAT,
rani_xg,incr_sat_5000,c,cadical,2,,1280003,0.0680636,0.652996,SAT,
rani_xg,mixed_sat_500,c,cadical,1,,1190010,11.7079,11.724,SAT,
rani_xg,mixed_sat_500,c,cadical,2,,1190010,11.716,11.7322,SAT,
rani_xg,narrow_sat_10000,c,cadical,1,,2380004,2.4563e-05,0.00555021,UNSAT,
rani_xg,narrow_sat_10000,c,cadical,2,,2380004,2.2246e-05,0.00548729,UNSAT,
rani_xg,sub_sat_1000,c,cadical,1,,1370005,0.0263978,0.0309496,SAT,
rani_xg,sub_sat_1000,c,cadical,2,,1370005,0.0264238,0.0309397,SAT,
rani_xg,wide_sat_1000,c,cadical,1,,1795005,0.136009,0.140864,SAT,
rani_xg,wide_sat_1000,c,cadical,2,,1795005,0.132901,0.137643,SAT,
rani_xg,add_3operand_16,smt2,cadical,1,254,,T/O,T/O,UNSAT,
