config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
rani_xg_rv,add_sat_200,c,cadical,1,,179804,T/O,T/O,UNKNOWN,25600
rani_xg_rv,add_sat_200,c,cadical,2,,179804,T/O,T/O,UNKNOWN,25600
rani_xg_rv,add_sat_2000,c,cadical,1,,1798004,T/O,T/O,UNKNOWN,
rani_xg_rv,add_sat_2000,c,cadical,2,,1798004,T/O,T/O,UNKNOWN,
rani_xg_rv,add_unsat_200,c,cadical,1,,246604,10.1958,10.2131,UNSAT,25600
rani_xg_rv,add_unsat_200,c,cadical,2,,246604,10.4249,10.4419,UNSAT,25600
rani_xg_rv,chain_sat_500,c,cadical,1,,1740506,T/O,T/O,UNKNOWN,
rani_xg_rv,chain_sat_500,c,cadical,2,,1740506,T/O,T/O,UNKNOWN,
rani_xg_rv,equiv_unsat_100,c,cadical,1,,114003,1.50437,1.51484,UNSAT,18900
rani_xg_rv,equiv_unsat_100,c,cadical,2,,114003,1.49313,1.50355,UNSAT,18900
rani_xg_rv,incr_sat_5000,c,cadical,1,,1280003,T/O,T/O,UNKNOWN,
rani_xg_rv,incr_sat_5000,c,cadical,2,,1280003,T/O,T/O,UNKNOWN,
rani_xg_rv,mixed_sat_500,c,cadical,1,,1190007,T/O,T/O,UNKNOWN,
rani_xg_rv,mixed_sat_500,c,cadical,2,,1190007,T/O,T/O,UNKNOWN,
rani_xg_rv,narrow_sat_10000,c,cadical,1,,2380003,T/O,T/O,UNKNOWN,
rani_xg_rv,narrow_sat_10000,c,cadical,2,,2380003,T/O,T/O,UNKNOWN,
rani_xg_rv,sub_sat_1000,c,cadical,1,,1370004,T/O,T/O,UNKNOWN,
rani_xg_rv,sub_sat_1000,c,cadical,2,,1370004,T/O,T/O,UNKNOWN,
rani_xg_rv,wide_sat_1000,c,cadical,1,,1795004,T/O,T/O,UNKNOWN,
rani_xg_rv,wide_sat_1000,c,cadical,2,,1795004,T/O,T/O,UNKNOWN,
rani_xg_rv,add_3operand_16,smt2,cadical,1,254,,T/O,T/O,UNSAT,
rani_xg_rv,add_3operand_16,smt2,cadical,2,254,,T/O,T/O,UNSAT,
rani_xg_rv,add_4operand_16,smt2,cadical,1,317,,T/O,T/O,UNSAT,
rani_xg_rv,add_4operand_16,smt2,cadical,2,317,,T/O,T/O,UNSAT,
rani_xg_rv,add_assoc_64,smt2,cadical,1,1022,,T/O,T/O,UNSAT,
rani_xg_rv,add_assoc_64,smt2,cadical,2,1022,,T/O,T/O,UNSAT,
rani_xg_rv,add_associative_32,smt2,cadical,1,510,,T/O,T/O,UNSAT,
rani_xg_rv,add_associative_32,smt2,cadical,2,510,,T/O,T/O,UNSAT,
rani_xg_rv,add_commutative_32,smt2,cadical,1,288,,T/O,T/O,UNSAT,
rani_xg_rv,add_commutative_32,smt2,cadical,2,288,,T/O,T/O,UNSAT,
rani_xg_rv,add_compare_16,smt2,cadical,1,96,,T/O,T/O,UNSAT,
rani_xg_rv,add_compare_16,smt2,cadical,2,96,,T/O,T/O,UNSAT,
rani_xg_rv,add_identity_32,smt2,cadical,1,128,,T/O,T/O,UNSAT,
rani_xg_rv,add_identity_32,smt2,cadical,2,128,,T/O,T/O,UNSAT,
rani_xg_rv,add_inverse_32,smt2,cadical,1,189,,T/O,T/O,UNSAT,
rani_xg_rv,add_inverse_32,smt2,cadical,2,189,,T/O,T/O,UNSAT,
rani_xg_rv,add_inverse_64,smt2,cadical,1,381,,T/O,T/O,UNSAT,
rani_xg_rv,add_inverse_64,smt2,cadical,2,381,,T/O,T/O,UNSAT,
rani_xg_rv,add_monotone_32,smt2,cadical,1,256,,T/O,T/O,UNSAT,
rani_xg_rv,add_monotone_32,smt2,cadical,2,256,,T/O,T/O,UNSAT,
rani_xg_rv,adder_chain_32,smt2,cadical,1,701,,T/O,T/O,UNSAT,
rani_xg_rv,adder_chain_32,smt2,cadical,2,701,,T/O,T/O,UNSAT,
rani_xg_rv,adder_equiv_16,smt2,cadical,1,254,,T/O,T/O,UNSAT,
rani_xg_rv,adder_equiv_16,smt2,cadical,2,254,,T/O,T/O,UNSAT,
rani_xg_rv,carry_chain_16,smt2,cadical,1,175,,T/O,T/O,UNSAT,
rani_xg_rv,carry_chain_16,smt2,cadical,2,175,,T/O,T/O,UNSAT,
rani_xg_rv,carry_chain_32,smt2,cadical,1,351,,T/O,T/O,UNSAT,
rani_xg_rv,carry_chain_32,smt2,cadical,2,351,,T/O,T/O,UNSAT,
rani_xg_rv,carry_chain_64,smt2,cadical,1,703,,T/O,T/O,UNSAT,
rani_xg_rv,carry_chain_64,smt2,cadical,2,703,,T/O,T/O,UNSAT,
rani_xg_rv,carry_propagation_32,smt2,cadical,1,225,,T/O,T/O,SAT,
rani_xg_rv,carry_propagation_32,smt2,cadical,2,225,,T/O,T/O,SAT,
rani_xg_rv,carry_save_equiv_8,smt2,cadical,1,87,,T/O,T/O,UNSAT,
rani_xg_rv,carry_save_equiv_8,smt2,cadical,2,87,,T/O,T/O,UNSAT,
rani_xg_rv,mul_by_shift_add_16,smt2,cadical,1,125,,T/O,T/O,UNSAT,
rani_xg_rv,mul_by_shift_add_16,smt2,cadical,2,125,,T/O,T/O,UNSAT,
rani_xg_rv,mul_by_shift_add_32,smt2,cadical,1,251,,T/O,T/O,UNSAT,
rani_xg_rv,mul_by_shift_add_32,smt2,cadical,2,251,,T/O,T/O,UNSAT,
rani_xg_rv,signed_overflow_32,smt2,cadical,1,256,,T/O,T/O,SAT,
rani_xg_rv,signed_overflow_32,smt2,cadical,2,256,,T/O,T/O,SAT,
rani_xg_rv,sub_as_add_32,smt2,cadical,1,350,,T/O,T/O,UNSAT,
rani_xg_rv,sub_as_add_32,smt2,cadical,2,350,,T/O,T/O,UNSAT,
rani_xg_rv,sub_self_32,smt2,cadical,1,33,,T/O,T/O,UNSAT,
rani_xg_rv,sub_self_32,smt2,cadical,2,33,,T/O,T/O,UNSAT,
rani_xg_rv,unsigned_no_overflow_small_16,smt2,cadical,1,128,,T/O,T/O,UNSAT,
rani_xg_rv,unsigned_no_overflow_small_16,smt2,cadical,2,128,,T/O,T/O,UNSAT,
rani_xg_rv,unsigned_overflow_16,smt2,cadical,1,128,,T/O,T/O,SAT,
rani_xg_rv,unsigned_overflow_16,smt2,cadical,2,128,,T/O,T/O,SAT,
