config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
simple,add_sat_200,c,cadical,1,,292205,0.0185271,0.0193919,SAT,
simple,add_sat_200,c,cadical,2,,292205,0.0183407,0.0192206,SAT,
simple,add_sat_2000,c,cadical,1,,2922005,0.243434,0.253407,SAT,
simple,add_sat_2000,c,cadical,2,,2922005,0.245939,0.255932,SAT,
simple,add_unsat_200,c,cadical,1,,359004,4.83522,4.98433,UNSAT,
simple,add_unsat_200,c,cadical,2,,359004,4.88696,5.03995,UNSAT,
simple,chain_sat_500,c,cadical,1,,3005009,0.145212,0.154673,SAT,
simple,chain_sat_500,c,cadical,2,,3005009,0.142769,0.152012,SAT,
simple,equiv_unsat_100,c,cadical,1,,168503,1.8681,1.93652,UNSAT,
simple,equiv_unsat_100,c,cadical,2,,168503,1.86715,1.93528,UNSAT,
simple,incr_sat_5000,c,cadical,1,,1445003,0.0752109,0.838344,SAT,
simple,incr_sat_5000,c,cadical,2,,1445003,0.0756038,0.839659,SAT,
simple,mixed_sat_500,c,cadical,1,,1752010,1.07826,1.09587,SAT,
simple,mixed_sat_500,c,cadical,2,,1752010,1.09115,1.10896,SAT,
simple,narrow_sat_10000,c,cadical,1,,3680004,2.7015e-05,0.00960965,UNSAT,
simple,narrow_sat_10000,c,cadical,2,,3680004,2.5076e-05,0.00951379,UNSAT,
simple,sub_sat_1000,c,cadical,1,,1932005,0.057602,0.0645618,SAT,
simple,sub_sat_1000,c,cadical,2,,1932005,0.056777,0.0637549,SAT,
simple,wide_sat_1000,c,cadical,1,,2933005,0.238555,0.247615,SAT,
simple,wide_sat_1000,c,cadical,2,,2933005,0.238421,0.247506,SAT,
simple,add_3operand_16,smt2,cadical,1,438,,T/O,T/O,UNSAT,
simple,add_3operand_16,smt2,cadical,2,438,,T/O,T/O,UNSAT,
simple,add_4operand_16,smt2,cadical,1,547,,T/O,T/O,UNSAT,
simple,add_4operand_16,smt2,cadical,2,547,,T/O,T/O,UNSAT,
simple,add_assoc_64,smt2,cadical,1,1782,,T/O,T/O,UNSAT,
simple,add_assoc_64,smt2,cadical,2,1782,,T/O,T/O,UNSAT,
simple,add_associative_32,smt2,cadical,1,886,,T/O,T/O,UNSAT,
simple,add_associative_32,smt2,cadical,2,886,,T/O,T/O,UNSAT,
simple,add_commutative_32,smt2,cadical,1,476,,T/O,T/O,UNSAT,
simple,add_commutative_32,smt2,cadical,2,476,,T/O,T/O,UNSAT,
simple,add_compare_16,smt2,cadical,1,112,,T/O,T/O,UNSAT,
simple,add_compare_16,smt2,cadical,2,112,,T/O,T/O,UNSAT,
simple,add_identity_32,smt2,cadical,1,33,,T/O,T/O,UNSAT,
simple,add_identity_32,smt2,cadical,2,33,,T/O,T/O,UNSAT,
simple,add_inverse_32,smt2,cadical,1,283,,T/O,T/O,UNSAT,
simple,add_inverse_32,smt2,cadical,2,283,,T/O,T/O,UNSAT,
simple,add_inverse_64,smt2,cadical,1,571,,T/O,T/O,UNSAT,
simple,add_inverse_64,smt2,cadical,2,571,,T/O,T/O,UNSAT,
simple,add_monotone_32,smt2,cadical,1,350,,T/O,T/O,UNSAT,
simple,add_monotone_32,smt2,cadical,2,350,,T/O,T/O,UNSAT,
simple,adder_chain_32,smt2,cadical,1,1166,,T/O,T/O,UNSAT,
simple,adder_chain_32,smt2,cadical,2,1166,,T/O,T/O,UNSAT,
simple,adder_equiv_16,smt2,cadical,1,438,,T/O,T/O,UNSAT,
simple,adder_equiv_16,smt2,cadical,2,438,,T/O,T/O,UNSAT,
simple,carry_chain_16,smt2,cadical,1,262,,T/O,T/O,UNSAT,
simple,carry_chain_16,smt2,cadical,2,262,,T/O,T/O,UNSAT,
simple,carry_chain_32,smt2,cadical,1,534,,T/O,T/O,UNSAT,
simple,carry_chain_32,smt2,cadical,2,534,,T/O,T/O,UNSAT,
simple,carry_chain_64,smt2,cadical,1,1078,,T/O,T/O,UNSAT,
simple,carry_chain_64,smt2,cadical,2,1078,,T/O,T/O,UNSAT,
simple,carry_propagation_32,smt2,cadical,1,319,,T/O,T/O,SAT,
simple,carry_propagation_32,smt2,cadical,2,319,,T/O,T/O,SAT,
simple,carry_save_equiv_8,smt2,cadical,1,126,,T/O,T/O,UNSAT,
simple,carry_save_equiv_8,smt2,cadical,2,126,,T/O,T/O,UNSAT,
simple,mul_by_shift_add_16,smt2,cadical,1,253,,T/O,T/O,UNSAT,
simple,mul_by_shift_add_16,smt2,cadical,2,253,,T/O,T/O,UNSAT,
simple,mul_by_shift_add_32,smt2,cadical,1,418,,T/O,T/O,UNSAT,
simple,mul_by_shift_add_32,smt2,cadical,2,418,,T/O,T/O,UNSAT,
simple,signed_overflow_32,smt2,cadical,1,350,,T/O,T/O,SAT,
simple,signed_overflow_32,smt2,cadical,2,350,,T/O,T/O,SAT,
simple,sub_as_add_32,smt2,cadical,1,538,,T/O,T/O,UNSAT,
simple,sub_as_add_32,smt2,cadical,2,538,,T/O,T/O,UNSAT,
simple,sub_self_32,smt2,cadical,1,160,,T/O,T/O,UNSAT,
simple,sub_self_32,smt2,cadical,2,160,,T/O,T/O,UNSAT,
simple,unsigned_no_overflow_small_16,smt2,cadical,1,174,,T/O,T/O,UNSAT,
simple,unsigned_no_overflow_small_16,smt2,cadical,2,174,,T/O,T/O,UNSAT,
simple,unsigned_overflow_16,smt2,cadical,1,174,,T/O,T/O,SAT,
simple,unsigned_overflow_16,smt2,cadical,2,174,,T/O,T/O,SAT,
